Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"North East,  Professional occupations",252,718.6,3.6,768.2,2.3,403.80,518.50,551.70,592.80,656.40,798.60,863.00,913.50,957.60,1143.00,2023-01-01
"North East, Science, research, engineering and technology professionals",52,822.4,8.5,823.9,5.5,453.60,576.60,613.50,660.00,742.10,862.80,919.90,987.10,1049.50,x,2023-01-01
"North East, Health professionals",86,681.7,5.9,773.7,0.1,390.60,509.20,527.30,563.80,637.30,777.90,852.00,913.50,940.30,x,2023-01-01
"North East, Teaching and other educational professionals",47,698.6,0.2,750.7,2.8,330.90,534.80,564.90,608.50,662.30,780.10,850.00,906.10,940.60,x,2023-01-01
"North East, Business, media and public service professionals",67,710.7,2,731,2.1,401.90,486.40,527.60,575.00,639.10,770.70,827.10,862.40,911.40,x,2023-01-01
"North East,  Associate professional occupations",156,562.7,6,627,8.5,335.40,428.20,450.50,471.20,518.20,613.30,699.90,753.90,824.10,977.40,2023-01-01
"North East, Science, engineering and technology associate professionals",37,564.1,10,635.2,13.4,405.70,462.30,479.20,498.70,536.60,612.80,705.90,743.90,789.50,x,2023-01-01
"North East, Health and social care associate professionals",26,448.7,9.7,469.2,10,192.60,276.10,330.40,367.90,415.10,473.10,553.30,575.60,583.70,x,2023-01-01
"North East, Protective service occupations",17,822.8,4.4,754.1,-0.1,511.40,562.10,597.20,641.10,710.20,827.00,846.00,863.70,x,x,2023-01-01
"North East, Business and public service associate professionals",71,564.2,3.1,673.4,11.2,388.30,444.50,462.80,484.90,532.90,625.20,717.60,768.80,842.70,x,2023-01-01
"North East,  Administrative and secretarial occupations",118,430.5,5.7,436.1,5.8,203.00,280.00,318.90,355.10,404.90,461.00,504.10,531.90,546.90,668.70,2023-01-01
"North East, Administrative occupations",99,437.8,5.7,454.1,6.3,229.10,311.70,343.10,381.70,416.50,479.10,525.30,539.10,566.70,685.50,2023-01-01
"North East, Secretarial and related occupations",20,351.8,3.3,346.4,2.7,156.10,196.50,229.10,238.40,296.00,401.10,421.30,438.70,444.20,x,2023-01-01
"North East,  Skilled trades occupations",70,563.2,8.8,603.7,7.9,314.40,411.20,431.70,458.00,507.70,624.00,690.60,731.80,784.70,987.80,2023-01-01
"North East, Skilled metal, electrical and electronic trades",36,662.8,6.9,710.5,6.8,417.20,489.10,516.80,547.60,597.20,718.20,788.80,874.40,943.00,x,2023-01-01
"North East, Skilled construction and building trades",14,590.8,4.5,598.6,8.7,350.40,444.40,480.70,500.30,526.80,625.40,656.40,674.50,725.00,x,2023-01-01
"North East, Textiles, printing and other skilled trades",17,412.2,4.2,415,12.4,166.70,250.90,279.20,334.60,385.10,443.50,477.80,482.30,x,x,2023-01-01
"North East,  Caring, leisure and other service occupations",89,396.6,9.6,393,9.5,166.90,247.00,272.60,305.00,355.60,427.70,463.10,483.50,509.50,608.10,2023-01-01
"North East, Caring personal service occupations",74,403.9,10.3,401.1,10.9,176.50,258.20,287.50,327.00,365.00,431.10,467.10,488.50,513.70,617.00,2023-01-01
"North East, Leisure, travel and related personal service occupations",14,326.1,13.8,345,6.1,x,176.30,220.80,233.20,280.20,389.20,420.70,431.80,x,x,2023-01-01
"North East,  Sales and customer service occupations",75,301.1,-0.9,333.4,6.4,131.90,176.10,195.80,217.30,254.40,366.10,425.10,447.80,479.30,556.30,2023-01-01
"North East, Sales occupations",52,266.6,2.9,302.9,6.5,124.30,166.70,177.70,195.10,229.10,313.00,369.70,398.50,424.50,529.50,2023-01-01
"North East, Customer service occupations",23,430.5,9.6,403.6,7,x,224.90,255.20,295.40,370.10,455.80,497.20,515.30,536.60,x,2023-01-01
"North East,  Process, plant and machine operatives",55,559.9,5.7,593.2,8.3,287.60,418.10,443.50,467.80,504.60,629.30,692.20,733.00,774.00,897.70,2023-01-01
"North East, Process, plant and machine operatives",29,565.5,5.2,598,11.7,393.50,429.40,461.00,478.40,511.40,638.10,700.30,727.00,757.30,x,2023-01-01
"North East, Transport and mobile machine drivers and operatives",26,546.9,7.4,587.8,4.4,259.00,380.80,424.60,446.30,498.10,603.70,685.10,740.50,798.10,x,2023-01-01
"North East,  Elementary occupations",111,273.7,6,307.2,5.8,63.30,113.60,136.20,161.60,209.70,364.10,430.30,460.70,487.20,568.40,2023-01-01
"North East, Elementary trades and related occupations",13,457,14.3,447.6,14.1,x,323.30,364.30,392.00,424.00,478.80,532.50,555.30,x,x,2023-01-01
"North East, Elementary administration and service occupations",99,249.9,1.8,289.5,3.2,62.50,108.70,126.80,141.90,194.50,321.70,408.80,440.00,475.30,549.90,2023-01-01
North West,2904,552.2,9.4,626.9,7.9,198.00,330.30,389.40,422.60,484.50,634.70,733.60,793.90,862.40,1091.60,2023-01-01
"North West, Managers, directors and senior officials",279,809.4,2.8,967.4,7.3,419.10,517.60,560.50,609.90,713.90,931.40,1073.20,1149.90,1278.20,1640.00,2023-01-01
"North West, Corporate managers and directors",221,883.7,5,1035.5,7.1,415.40,537.00,587.80,635.60,769.20,1015.70,1149.90,1250.60,1386.70,1763.30,2023-01-01
"North West, Other managers and proprietors",58,659.9,7.6,706,8.5,422.10,478.60,503.60,534.20,595.70,720.80,783.00,815.90,862.50,x,2023-01-01
"North West, Professional occupations",794,772.3,3.1,831,4.2,439.80,539.20,588.20,628.80,691.70,841.80,932.50,993.20,1076.10,1281.90,2023-01-01
"North West, Science, research, engineering and technology professionals",187,850.6,6.2,904.2,7.5,505.20,606.60,659.20,690.80,769.70,929.80,1053.90,1108.90,1177.30,1342.20,2023-01-01
"North West, Health professionals",242,719,0.4,816.7,1.7,410.20,523.70,559.20,604.00,650.90,787.10,857.60,913.60,983.90,1257.10,2023-01-01
"North West, Teaching and other educational professionals",153,758.8,2.3,773.9,2.1,372.70,490.30,536.60,590.20,672.70,837.20,919.20,972.00,1014.90,1199.00,2023-01-01
"North West, Business, media and public service professionals",213,766.6,3.5,824.1,4.1,459.00,542.40,588.30,623.10,698.00,851.20,935.50,992.00,1077.70,1281.70,2023-01-01
"North West, Associate professional occupations",418,586.9,5.6,650.6,7.6,304.20,421.60,451.90,479.10,531.70,661.50,743.30,786.40,846.70,1042.80,2023-01-01
"North West, Science, engineering and technology associate professionals",88,610.3,6.6,658.1,8.5,383.80,443.40,473.00,498.00,541.80,685.90,750.70,793.00,848.10,x,2023-01-01
"North West, Health and social care associate professionals",66,459,11.3,448.5,13.3,197.60,298.10,321.50,347.80,419.50,503.20,538.40,572.60,585.50,x,2023-01-01
"North West, Protective service occupations",20,763.1,6.3,783.8,6.6,507.20,556.50,600.30,624.20,692.60,825.60,872.70,897.70,924.00,x,2023-01-01
"North West, Culture, media and sports occupations",27,479.1,-2.1,497.3,-1.1,x,x,x,x,379.60,553.40,640.20,698.60,717.00,x,2023-01-01
"North West, Business and public service associate professionals",217,643.3,5.3,716,7.2,402.30,460.00,488.10,512.60,574.90,709.40,797.30,850.00,930.80,1144.20,2023-01-01
"North West, Administrative and secretarial occupations",335,451.5,7.6,466.7,5.4,191.70,276.70,325.00,371.40,417.20,496.10,538.90,574.60,612.80,728.80,2023-01-01
"North West, Administrative occupations",277,466.2,7.8,485.8,5.7,210.50,311.10,363.20,396.30,437.30,514.20,556.50,591.20,631.20,755.60,2023-01-01
"North West, Secretarial and related occupations",58,367.2,5.1,375.3,4.9,160.70,222.00,238.60,262.00,310.80,408.90,452.50,465.40,503.70,x,2023-01-01
"North West, Skilled trades occupations",181,588.6,5.4,620.4,7.1,340.20,429.80,461.00,483.00,538.40,643.00,702.40,746.10,792.10,939.30,2023-01-01
"North West, Skilled agricultural and related trades",11,476,10,485.5,14.2,x,381.20,407.30,413.80,439.10,484.30,561.70,574.90,x,x,2023-01-01
"North West, Skilled metal, electrical and electronic trades",99,649.8,5.5,693,6,420.10,493.30,521.80,552.80,599.70,705.30,768.50,807.90,857.20,1016.50,2023-01-01
"North West, Skilled construction and building trades",31,615.1,9.8,642.9,11,356.40,450.80,482.00,523.50,569.70,664.60,712.30,764.10,818.50,x,2023-01-01
"North West, Textiles, printing and other skilled trades",40,472.9,10.5,462.4,7.3,198.00,267.90,326.20,374.40,437.00,507.40,541.20,566.20,602.90,x,2023-01-01
"North West, Caring, leisure and other service occupations",252,383.1,10.1,381.6,10.6,138.20,228.90,251.10,279.40,341.70,420.60,457.30,481.80,510.70,607.10,2023-01-01
"North West, Caring personal service occupations",214,382.9,8.8,382.9,9.6,149.20,235.60,256.30,283.20,344.00,418.70,453.50,478.60,506.70,603.80,2023-01-01
"North West, Leisure, travel and related personal service occupations",37,371.6,17.2,371,17.5,105.30,167.90,213.60,246.90,303.70,422.70,462.90,494.00,532.40,x,2023-01-01
"North West, Sales and customer service occupations",187,323,3.8,344.8,3.7,125.00,177.10,197.80,220.10,271.20,388.50,435.90,457.80,494.20,573.00,2023-01-01
"North West, Sales occupations",138,285.8,6,317,3.3,115.90,168.20,183.70,200.80,242.80,336.50,396.60,421.70,446.70,536.60,2023-01-01
"North West, Customer service occupations",49,437.8,11,422.6,8.8,172.10,249.20,294.90,332.70,407.40,469.30,511.70,534.10,560.00,636.40,2023-01-01
"North West, Process, plant and machine operatives",135,579.1,16.4,607.3,12.3,309.80,422.40,447.90,467.70,519.00,630.10,693.60,729.00,770.00,908.10,2023-01-01
"North West, Process, plant and machine operatives",59,529.8,16.3,557.8,11.6,326.40,412.00,431.80,451.10,492.60,583.40,631.30,672.40,706.10,821.00,2023-01-01
"North West, Transport and mobile machine drivers and operatives",76,614.4,14.1,645.6,11.9,290.80,436.10,462.00,489.60,544.00,678.20,735.30,767.90,831.60,998.10,2023-01-01
"North West, Elementary occupations",324,314.6,3.9,333.9,7.5,74.20,120.70,143.50,166.70,231.50,399.40,451.90,480.70,507.90,610.60,2023-01-01
"North West, Elementary trades and related occupations",30,465.6,2.3,475.6,6.8,179.10,351.90,379.50,403.40,434.40,511.40,549.90,575.50,609.50,x,2023-01-01
"North West, Elementary administration and service occupations",294,288.9,7.5,319.5,8.2,71.90,113.90,134.60,158.40,211.70,384.30,436.70,465.10,495.40,594.20,2023-01-01
Yorkshire and The Humber,2133,536.6,8,604.6,7.4,188.80,312.60,373.80,414.00,473.50,613.30,705.30,768.70,837.20,1058.80,2023-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",208,804.9,11.8,940.4,8.4,404.00,526.30,563.00,597.60,689.20,921.80,1069.70,1154.20,1270.20,1676.10,2023-01-01
"Yorkshire and The Humber, Corporate managers and directors",163,874.3,12.4,1002,8.5,414.00,548.10,574.90,639.20,750.10,987.00,1149.90,1249.60,1360.20,1769.60,2023-01-01
"Yorkshire and The Humber, Other managers and proprietors",45,629.7,6,716,8.8,391.00,460.00,494.90,536.60,595.20,704.90,783.30,816.10,880.50,x,2023-01-01
"Yorkshire and The Humber, Professional occupations",513,760.4,7.4,811.3,7.7,421.60,529.60,571.40,608.50,675.30,837.20,934.10,992.00,1061.00,1262.10,2023-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",131,829.5,8.2,874.3,7.9,487.00,574.90,627.20,668.90,750.40,905.50,1015.70,1068.20,1140.30,1289.60,2023-01-01
