Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
Business and public service associate professionals,2198,18.19,5.9,21.59,6,11.98,13.50,14.31,15,16.61,20.18,22.82,24.41,26.45,34.26,2023-01-01
Administrative and secretarial occupations,2984,13.5,7,15.22,6.1,10.74,11.32,11.68,11.93,12.6,14.56,15.83,16.67,17.75,21.51,2023-01-01
Administrative occupations,2449,13.89,7.6,15.47,6,10.90,11.54,11.85,12.13,12.93,14.87,16.18,17.03,18.08,22.14,2023-01-01
Secretarial and related occupations,535,12.2,8.2,13.91,6.5,10.46,10.83,11,11.12,11.66,13,14.00,14.71,15.58,18.57,2023-01-01
Skilled trades occupations,1700,14.88,8.2,16.1,7.5,10.67,11.60,12.1,12.62,13.7,16.03,17.45,18.29,19.22,22.37,2023-01-01
Skilled agricultural and related trades,107,12.5,8.3,13.19,7.9,10.50,10.96,11.18,11.39,11.94,13,13.84,14.43,14.85,16.70,2023-01-01
"Skilled metal, electrical and electronic trades",874,16.59,7.4,17.59,7.9,11.48,13.00,13.74,14.33,15.49,17.84,19.22,20.14,21.18,24.53,2023-01-01
Skilled construction and building trades,299,15.6,7.6,16.19,7,10.74,12.32,12.88,13.5,14.58,16.55,17.78,18.50,19.19,21.58,2023-01-01
"Textiles, printing and other skilled trades",420,12.28,11.7,13.17,8.7,10.42,10.75,11,11.25,11.76,12.89,13.63,14.17,14.77,16.50,2023-01-01
"Caring, leisure and other service occupations",2288,12.08,8.6,13.16,9.9,10.46,10.89,11,11.16,11.63,12.76,13.56,14.14,14.89,17.19,2023-01-01
Caring personal service occupations,1897,12.14,8.8,13.11,9.7,10.50,10.90,11.03,11.2,11.68,12.79,13.57,14.11,14.88,17.14,2023-01-01
"Leisure, travel and related personal service occupations",373,11.84,10.9,13.34,11.5,10.42,10.53,10.76,10.94,11.35,12.5,13.40,14.05,14.79,17.37,2023-01-01
Community and civil enforcement occupations,18,13.72,3.7,14.4,8,10.74,11.58,11.91,12.26,12.95,14.94,15.77,16.17,16.63,x,2023-01-01
Sales and customer service occupations,1646,11.16,7.2,12.64,7.5,10.20,10.42,10.52,10.64,10.95,11.67,12.28,12.82,13.49,15.92,2023-01-01
Sales occupations,1244,11,7.9,12.13,6.9,10.11,10.42,10.45,10.55,10.85,11.3,11.82,12.11,12.59,14.49,2023-01-01
Customer service occupations,402,12.43,9.5,13.92,9.7,10.42,10.78,10.93,11.24,11.86,13.21,14.36,15.00,15.95,18.43,2023-01-01
"Process, plant and machine operatives",1244,13.47,8.1,14.87,6.9,10.53,11.18,11.52,11.89,12.61,14.37,15.46,16.19,17.04,19.83,2023-01-01
"Process, plant and machine operatives",580,13.1,7.8,14.4,7.1,10.50,11.01,11.34,11.59,12.3,14.02,15.19,15.90,16.77,19.61,2023-01-01
Transport and mobile machine drivers and operatives,664,13.72,8,15.24,6.4,10.57,11.42,11.78,12.09,12.92,14.63,15.66,16.43,17.31,20.00,2023-01-01
Elementary occupations,2828,11.19,9.9,12.41,9.1,9.85,10.42,10.46,10.55,10.89,11.76,12.44,12.89,13.50,15.22,2023-01-01
Elementary trades and related occupations,299,11.75,8.9,12.66,7.9,10.42,10.50,10.63,10.89,11.21,12.38,13.04,13.48,14.06,15.98,2023-01-01
Elementary administration and service occupations,2529,11.11,10,12.37,9.3,9.59,10.42,10.44,10.52,10.86,11.68,12.34,12.78,13.44,15.06,2023-01-01
North East,1007,14.39,7.9,17.61,6.7,10.52,11.10,11.52,11.92,13,16.17,18.45,20.12,21.62,26.91,2023-01-01
"North East,  Managers, directors and senior officials",80,20.25,4.5,25.03,4.3,11.94,13.55,14.23,15.37,17.02,23.48,27.69,30.14,35.05,x,2023-01-01
"North East, Corporate managers and directors",59,22.96,8,27.48,6.3,12.51,14.34,15.25,16.39,19.96,26.29,30.89,35.70,38.15,x,2023-01-01
"North East, Other managers and proprietors",21,15.84,8.5,17.91,4.1,11.02,11.65,12.25,12.83,14.15,16.41,18.23,20.57,x,x,2023-01-01
"North East,  Professional occupations",252,21.04,3.5,22.7,2.2,13.83,16.31,16.95,17.61,19.3,22.62,24.44,25.61,27.34,33.67,2023-01-01
"North East, Science, research, engineering and technology professionals",52,21.83,9,22.21,6.7,13.72,16.12,17.24,17.87,19.99,23.06,24.69,26.34,27.84,x,2023-01-01
"North East, Health professionals",86,20.75,3.7,23.09,-0.2,13.87,16.57,16.95,17.24,18.79,22.1,23.40,24.38,24.92,x,2023-01-01
"North East, Teaching and other educational professionals",47,24.85,8.6,25.65,4.6,15.92,17.95,18.81,20,22.61,25.84,28.57,29.92,32.38,x,2023-01-01
"North East, Business, media and public service professionals",67,19.94,3.1,20.9,2,12.26,14.41,15.5,16.66,18.12,21.1,22.63,23.47,24.65,x,2023-01-01
"North East,  Associate professional occupations",156,15.26,5.7,17.78,8,11.25,12.33,12.78,13.28,14.34,16.84,18.81,20.31,21.05,26.39,2023-01-01
"North East, Science, engineering and technology associate professionals",37,14.9,9.4,17.05,12.4,11.90,12.65,12.9,13.32,14.11,16.14,17.71,19.51,20.76,x,2023-01-01
"North East, Health and social care associate professionals",26,13.09,6,14.89,6.5,10.45,10.97,11.24,11.61,12.25,13.97,15.65,16.57,16.96,x,2023-01-01
"North East, Protective service occupations",17,19.7,0.3,18.49,0.2,12.81,13.95,14.48,15.4,16.91,20.66,21.03,21.10,x,x,2023-01-01
"North East, Business and public service associate professionals",71,15.64,1.2,19.06,9.1,11.49,12.55,13.21,13.8,14.7,17.65,19.65,21.00,22.63,x,2023-01-01
"North East,  Administrative and secretarial occupations",118,12.59,7.3,13.84,6,10.59,11.05,11.25,11.55,11.87,13.49,14.36,14.68,15.60,18.80,2023-01-01
"North East, Administrative occupations",99,12.88,7,14.06,5.4,10.78,11.16,11.43,11.8,12.04,13.76,14.56,15.05,16.24,19.03,2023-01-01
"North East, Secretarial and related occupations",20,11.68,11,12.53,9.1,10.42,10.50,10.64,10.87,11.21,11.88,12.98,13.44,13.68,x,2023-01-01
"North East,  Skilled trades occupations",70,14.34,7.8,15.72,7.6,10.42,11.09,11.48,12,12.95,15.61,17.17,18.01,19.06,x,2023-01-01
"North East, Skilled metal, electrical and electronic trades",36,16.06,5,17.37,7.5,11.12,12.43,12.99,13.97,15.03,17.85,19.45,20.10,20.89,x,2023-01-01
"North East, Skilled construction and building trades",14,15.59,7.3,15.47,6.3,10.63,12.04,12.32,13,13.95,16.02,16.97,17.17,x,x,2023-01-01
"North East, Textiles, printing and other skilled trades",17,11.32,9.9,12.28,10.8,x,10.42,10.5,10.57,10.97,11.55,12.36,12.77,x,x,2023-01-01
"North East,  Caring, leisure and other service occupations",89,11.8,9.9,12.67,7.8,10.42,10.84,10.95,11.03,11.36,12.25,12.95,13.42,13.95,15.49,2023-01-01
"North East, Caring personal service occupations",74,11.86,9.8,12.67,9.1,10.46,10.90,10.97,11.1,11.45,12.33,13.09,13.52,14.10,15.59,2023-01-01
"North East, Leisure, travel and related personal service occupations",14,11.38,13.8,12.55,2.9,10.38,10.49,10.6,10.85,11,11.62,12.21,12.48,x,x,2023-01-01
"North East,  Sales and customer service occupations",75,11.21,8.3,12.52,8.5,10.42,10.42,10.53,10.62,10.94,11.77,12.41,13.00,14.00,15.95,2023-01-01
"North East, Sales occupations",52,11,8.5,12.1,9.2,10.41,10.42,10.43,10.54,10.73,11.21,11.68,11.98,12.65,x,2023-01-01
"North East, Customer service occupations",23,12.41,10.2,13.33,7.7,10.42,10.77,10.99,11.48,11.97,13.28,14.48,14.76,15.36,x,2023-01-01
"North East,  Process, plant and machine operatives",55,13.21,8,14.62,7.6,10.50,11.00,11.29,11.77,12.46,14.46,15.53,16.18,17.21,19.52,2023-01-01
"North East, Process, plant and machine operatives",29,13.98,6.8,15.01,8.9,10.56,11.30,11.89,12.22,13.03,15.14,16.48,17.18,17.94,x,2023-01-01
"North East, Transport and mobile machine drivers and operatives",26,12.64,9,14.19,6.1,10.47,10.77,11,11.25,11.85,13.46,14.62,15.02,15.39,x,2023-01-01
"North East,  Elementary occupations",111,11,10.2,11.99,7.6,9.11,x,10.42,10.46,10.72,11.37,12.02,12.39,12.82,14.31,2023-01-01
"North East, Elementary trades and related occupations",13,11.48,11.6,12.4,9.6,x,10.42,10.53,10.68,11.02,12.01,12.67,12.97,13.71,x,2023-01-01
"North East, Elementary administration and service occupations",99,10.95,10.2,11.92,7.2,8.93,x,10.42,10.44,10.7,11.24,12.00,12.24,12.71,14.19,2023-01-01
North West,2904,15.17,9.8,18.83,8.2,10.57,11.28,11.78,12.25,13.5,17.26,20.14,21.65,23.69,29.80,2023-01-01
"North West, Managers, directors and senior officials",279,22.02,6.1,26.55,8.1,12.09,14.23,15.33,16.5,19.29,24.99,28.62,30.67,34.02,44.45,2023-01-01
"North West, Corporate managers and directors",221,24.1,8,28.87,8.3,12.65,15.29,16.81,18.16,21.29,27.32,30.79,33.57,38.07,47.47,2023-01-01
"North West, Other managers and proprietors",58,16.18,6.9,18.27,8.2,11.51,12.85,13.1,13.62,15.1,17.82,20.15,21.35,22.42,x,2023-01-01
"North West, Professional occupations",794,22.13,2.7,24.12,3.8,13.84,16.73,17.47,18.33,20.51,24.36,26.63,28.23,30.09,35.78,2023-01-01
"North West, Science, research, engineering and technology professionals",187,22.91,7.4,24.2,7.9,13.77,16.38,17.85,18.65,20.7,24.85,27.73,29.12,30.67,35.60,2023-01-01
"North West, Health professionals",242,20.91,3.4,24.12,3.2,14.24,16.84,17.23,17.55,19.19,22.24,24.38,25.12,27.65,36.17,2023-01-01
"North West, Teaching and other educational professionals",153,25.32,3,26.1,2.3,14.82,18.46,20.14,21.45,23.17,27.31,29.45,30.35,31.98,37.77,2023-01-01
"North West, Business, media and public service professionals",213,21.08,3.3,22.87,3.7,13.29,15.38,16.84,17.82,19.46,23.24,25.80,27.35,29.71,34.77,2023-01-01
"North West, Associate professional occupations",418,16.15,7.4,18.56,7.8,11.21,12.30,12.81,13.45,14.78,18.01,19.98,21.02,22.51,27.37,2023-01-01
"North West, Science, engineering and technology associate professionals",88,16.19,15.6,17.74,10.3,11.08,12.15,12.69,13.01,14.43,17.63,19.95,20.81,22.25,x,2023-01-01
"North West, Health and social care associate professionals",66,13.68,15.9,14.47,10.5,10.62,11.46,11.85,12.21,12.68,14.67,15.57,16.07,16.54,x,2023-01-01
"North West, Protective service occupations",20,18.87,11.6,19.1,10.9,13.48,14.41,15.34,15.72,16.72,20.52,20.80,21.56,22.45,x,2023-01-01
"North West, Culture, media and sports occupations",27,14.77,4.5,17.41,-1.3,10.56,11.59,12.06,12.61,13.73,15.54,18.26,19.19,19.94,x,2023-01-01
"North West, Business and public service associate professionals",217,17.74,6.4,20.05,6.7,11.65,12.80,13.53,14.36,16.02,19.4,21.76,23.27,24.83,30.47,2023-01-01
"North West, Administrative and secretarial occupations",335,13.16,6.8,14.7,5.3,10.64,11.12,11.49,11.8,12.28,14.25,15.25,16.10,17.03,20.57,2023-01-01
"North West, Administrative occupations",277,13.54,7.2,14.99,5.3,10.86,11.45,11.77,11.86,12.53,14.56,15.65,16.59,17.59,21.47,2023-01-01
"North West, Secretarial and related occupations",58,11.82,6.6,13.17,5.5,10.42,10.63,10.84,10.92,11.21,12.32,13.35,13.57,14.30,x,2023-01-01
"North West, Skilled trades occupations",181,14.65,6.2,15.9,7.5,10.53,11.50,12,12.57,13.5,15.89,17.14,17.89,18.84,22.07,2023-01-01
"North West, Skilled agricultural and related trades",11,12.77,9.3,13.07,9.6,x,10.79,10.91,11,11.86,13.23,13.99,14.21,x,x,2023-01-01
"North West, Skilled metal, electrical and electronic trades",99,16.07,7,17.1,6.4,11.12,12.61,13.35,13.83,14.99,17.24,18.61,19.42,20.46,23.49,2023-01-01
"North West, Skilled construction and building trades",31,15.76,9.2,16.21,9.9,10.42,12.11,12.65,13.25,14.36,16.48,17.94,18.54,19.19,x,2023-01-01
"North West, Textiles, printing and other skilled trades",40,12.42,12.9,13.11,9.6,10.42,10.56,10.95,11.19,11.82,12.97,13.56,14.15,14.78,x,2023-01-01
"North West, Caring, leisure and other service occupations",252,11.87,9.8,12.84,10.3,10.48,10.89,10.95,11.09,11.45,12.5,13.23,13.62,14.23,16.60,2023-01-01
"North West, Caring personal service occupations",214,11.91,9,12.81,9.7,10.50,10.90,10.97,11.11,11.5,12.55,13.24,13.61,14.19,16.63,2023-01-01
"North West, Leisure, travel and related personal service occupations",37,11.49,12.4,12.97,14.1,10.40,10.57,10.73,10.9,11.13,12.15,13.10,13.92,14.30,x,2023-01-01
"North West, Sales and customer service occupations",187,11.04,6,12.54,6.3,10.20,10.42,10.5,10.61,10.88,11.59,12.20,12.66,13.35,15.65,2023-01-01
"North West, Sales occupations",138,10.98,8.2,12.14,5.8,10.18,10.42,10.43,10.52,10.8,11.16,11.64,12.04,12.44,14.25,2023-01-01
"North West, Customer service occupations",49,12.26,9.6,13.47,8.6,10.42,10.65,10.86,11.14,11.86,13.03,14.05,14.56,15.43,17.92,2023-01-01
"North West, Process, plant and machine operatives",135,13.67,12.4,15.07,10.7,10.56,11.21,11.62,11.97,12.83,14.63,15.59,16.16,17.22,20.15,2023-01-01
"North West, Process, plant and machine operatives",59,13.49,16,14.57,10.4,10.49,11.06,11.43,11.8,12.57,14.41,15.51,16.06,17.14,19.66,2023-01-01
"North West, Transport and mobile machine drivers and operatives",76,13.7,7.9,15.43,10.5,10.58,11.42,11.83,12.12,13.04,14.65,15.65,16.16,17.23,x,2023-01-01
"North West, Elementary occupations",324,11,9.7,12.29,10.5,9.47,x,10.42,10.5,10.8,11.5,12.10,12.63,13.18,14.83,2023-01-01
"North West, Elementary trades and related occupations",30,11.97,10.1,12.96,8.5,10.42,10.50,10.8,11,11.41,12.43,13.06,13.55,14.04,x,2023-01-01
"North West, Elementary administration and service occupations",294,11,10,12.2,11,9.20,x,10.42,10.48,10.73,11.39,12.00,12.50,13.10,14.67,2023-01-01
Yorkshire and The Humber,2133,14.67,8.8,18.2,7.7,10.53,11.24,11.66,12.1,13.22,16.57,19.16,20.76,22.75,29.20,2023-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",208,21.56,12.4,25.91,9,12.21,14.06,14.88,15.99,18.94,24.92,28.76,31.42,34.55,45.70,2023-01-01
"Yorkshire and The Humber, Corporate managers and directors",163,23.94,13.3,27.96,8.8,12.78,14.84,16.19,17.84,20.77,26.83,31.23,34.06,37.55,47.94,2023-01-01
"Yorkshire and The Humber, Other managers and proprietors",45,15.88,6.9,18.86,10.7,11.30,12.49,13.12,13.59,14.5,17.56,20.16,20.87,22.23,x,2023-01-01
"Yorkshire and The Humber, Professional occupations",513,22.03,6.3,23.74,6.8,13.77,16.22,17.24,18.14,20.03,24.15,26.84,28.45,30.29,35.75,2023-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",131,21.71,5.9,23.32,7.3,13.46,15.56,16.67,17.84,19.61,23.75,26.75,28.73,30.78,34.75,2023-01-01
"Yorkshire and The Humber, Health professionals",114,21.3,4.3,23.72,8.2,14.52,16.84,17.24,17.89,19.93,23.54,25.26,26.76,28.30,x,2023-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",114,24.95,6.2,25.96,7.1,14.66,17.83,18.7,19.9,22.65,26.8,29.51,31.24,32.82,38.18,2023-01-01
"Yorkshire and The Humber, Business, media and public service professionals",155,21.12,6.3,22.74,6.1,12.98,15.25,16.33,17.51,19.17,22.82,25.72,27.40,29.29,34.77,2023-01-01
"Yorkshire and The Humber, Associate professional occupations",330,15.87,6.2,17.82,3,11.30,12.38,12.92,13.47,14.65,17.2,19.16,20.39,21.42,25.50,2023-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",66,15.84,11,16.95,4.2,11.48,12.76,13.13,13.63,14.79,16.95,18.48,19.16,20.32,x,2023-01-01
"Yorkshire and The Humber, Health and social care associate professionals",57,13.73,12.7,14.32,11.4,10.65,11.54,11.85,12.2,12.81,14.42,15.55,16.07,16.55,x,2023-01-01
"Yorkshire and The Humber, Protective service occupations",30,19.09,-3.1,18.26,0.2,12.66,13.74,14.36,15.18,16.77,20.62,20.93,21.35,21.85,x,2023-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",16,14.96,7.2,16.77,-5.8,x,11.00,11.28,11.98,12.96,15.65,16.86,x,x,x,2023-01-01
"Yorkshire and The Humber, Business and public service associate professionals",161,16.99,2.5,19.24,1.5,11.40,12.73,13.42,14.01,15.33,18.59,20.78,22.22,23.96,29.75,2023-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",223,13.06,8.6,14.64,8.3,10.59,11.08,11.4,11.73,12.23,14.06,15.04,15.71,16.63,19.93,2023-01-01
"Yorkshire and The Humber, Administrative occupations",182,13.52,10.2,14.9,8.2,10.77,11.39,11.69,11.88,12.5,14.44,15.38,16.00,16.98,20.83,2023-01-01
"Yorkshire and The Humber, Secretarial and related occupations",41,11.69,6.7,13.19,8.3,10.42,10.60,10.84,10.98,11.27,12.2,13.15,13.70,14.50,x,2023-01-01
"Yorkshire and The Humber, Skilled trades occupations",151,15,11.2,15.9,8.7,10.81,11.67,12.26,12.65,13.7,16.12,17.29,18.13,19.16,21.17,2023-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",84,16.46,9.6,17.2,8.9,11.47,13.00,13.64,14.36,15.5,17.63,18.88,19.68,20.48,22.90,2023-01-01
"Yorkshire and The Humber, Skilled construction and building trades",28,14.82,8.4,15.56,8.4,10.86,12.26,12.78,13.17,14,15.73,17.12,17.91,18.50,x,2023-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,12.33,14.2,13.07,11.1,10.42,10.94,11.16,11.34,11.78,12.65,13.29,13.73,14.48,x,2023-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",184,11.8,9.8,12.66,8.8,10.42,10.85,10.93,11.05,11.41,12.42,13.02,13.40,13.99,16.04,2023-01-01
"Yorkshire and The Humber, Caring personal service occupations",155,11.85,8.7,12.69,8.7,10.45,10.87,10.96,11.09,11.45,12.44,13.03,13.41,14.02,16.21,2023-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",28,11.42,11.3,12.47,9.3,10.42,10.52,10.65,10.89,11.18,12.01,12.78,13.07,13.78,x,2023-01-01
"Yorkshire and The Humber, Sales and customer service occupations",145,11.09,8.4,12.51,8.6,10.28,10.42,10.5,10.63,10.9,11.6,12.18,12.60,13.15,16.26,2023-01-01
"Yorkshire and The Humber, Sales occupations",107,11,9.3,12.17,7.4,10.18,10.42,10.44,10.54,10.8,11.19,11.73,12.10,12.52,15.50,2023-01-01
"Yorkshire and The Humber, Customer service occupations",38,12.08,10.2,13.27,11.4,10.42,10.75,10.89,11.18,11.78,12.64,13.26,13.98,14.97,x,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",125,13.38,7.4,14.6,7.2,10.50,11.19,11.52,11.87,12.61,14.16,15.12,15.65,16.34,18.92,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",64,12.92,8.2,14.2,7.8,10.43,10.91,11.21,11.5,12.07,13.77,15.00,15.61,16.33,x,2023-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",61,13.67,6.9,14.98,6.2,10.61,11.63,12,12.4,13.16,14.52,15.32,15.66,16.36,x,2023-01-01
"Yorkshire and The Humber, Elementary occupations",255,11.08,9.6,12.15,7.5,10.00,x,10.42,10.52,10.84,11.63,12.23,12.62,13.03,14.43,2023-01-01
"Yorkshire and The Humber, Elementary trades and related occupations",30,11.75,9.3,12.44,6.7,10.42,10.51,10.69,10.88,11.16,12.2,12.92,13.06,13.27,x,2023-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",225,11,10,12.1,7.5,9.63,x,10.42,10.5,10.75,11.51,12.15,12.50,12.99,14.34,2023-01-01
East Midlands,1858,14.49,7.7,17.9,6.9,10.50,11.11,11.53,11.98,13.05,16.31,18.80,20.51,22.40,28.26,2023-01-01
"East Midlands, Managers, directors and senior officials",170,20.9,4,25.69,6.4,11.89,13.92,15,16.09,18.74,24.56,27.62,30.68,34.53,44.51,2023-01-01
"East Midlands, Corporate managers and directors",126,24.13,12.4,28.16,9.2,12.35,15.01,16.46,17.98,20.51,26.77,31.39,34.73,38.15,49.39,2023-01-01
"East Midlands, Other managers and proprietors",44,16.3,-1.3,19.05,2.3,11.50,12.26,12.76,13.25,14.95,18.15,20.00,20.98,22.98,x,2023-01-01
"East Midlands, Professional occupations",416,22.03,6.2,23.6,6.1,14.00,16.59,17.51,18.34,20.42,24.14,26.44,27.96,29.34,34.88,2023-01-01
"East Midlands, Science, research, engineering and technology professionals",110,21.99,9.2,23.28,8.1,14.02,15.81,16.77,17.99,19.85,23.96,26.67,28.28,30.67,x,2023-01-01
"East Midlands, Health professionals",94,21.36,6.6,24.59,6.1,14.92,17.24,17.99,18.64,20.74,23.06,25.01,26.81,29.23,x,2023-01-01
"East Midlands, Teaching and other educational professionals",97,24.84,5,25.57,8.4,15.57,19.34,20.52,21.24,23.3,26.91,28.38,29.27,30.51,x,2023-01-01
"East Midlands, Business, media and public service professionals",115,20.05,4.8,21.8,3.3,12.49,15.02,16.12,16.94,18.47,21.97,24.58,25.83,27.28,x,2023-01-01
"East Midlands, Associate professional occupations",275,15.73,5.1,18.24,6,11.15,12.36,12.93,13.45,14.56,17.24,19.42,20.72,22.32,27.28,2023-01-01
"East Midlands, Science, engineering and technology associate professionals",62,15.33,6.4,16.62,7.3,11.18,12.37,13.02,13.33,14.19,16.29,17.74,18.63,19.76,x,2023-01-01
"East Midlands, Health and social care associate professionals",42,13.55,6,14.09,5.9,10.74,11.15,11.69,12.09,12.55,14.14,15.56,15.62,16.28,x,2023-01-01
"East Midlands, Protective service occupations",24,18.22,-7.3,18.87,2.1,12.66,13.77,14.47,15.28,16.07,20.63,20.87,21.09,21.97,x,2023-01-01
"East Midlands, Culture, media and sports occupations",18,14.4,15.3,18.29,1.6,10.73,11.93,12.14,12.78,13.41,14.98,16.54,x,x,x,2023-01-01
"East Midlands, Business and public service associate professionals",130,17.39,5.4,20.1,5.7,11.53,12.82,13.67,14.35,15.81,19.52,22.25,23.89,25.37,30.67,2023-01-01
"East Midlands, Administrative and secretarial occupations",201,12.83,7.4,14.22,6.4,10.56,11.08,11.29,11.57,12.18,13.84,14.89,15.50,16.31,19.81,2023-01-01
"East Midlands, Administrative occupations",166,13.14,8.7,14.49,6.9,10.72,11.20,11.49,11.8,12.42,14.14,15.13,15.85,16.69,20.38,2023-01-01
"East Midlands, Secretarial and related occupations",35,11.81,9.2,12.85,3.8,10.42,10.53,10.81,11,11.29,12.45,13.44,13.87,14.37,x,2023-01-01
"East Midlands, Skilled trades occupations",146,14.95,8.4,16.05,8.5,10.50,11.44,12,12.5,13.78,16.02,17.54,18.20,18.94,22.20,2023-01-01
"East Midlands, Skilled agricultural and related trades",6,11.85,-0.2,12.22,-3.1,x,x,10.67,10.8,11.27,12.14,12.74,x,x,x,2023-01-01
"East Midlands, Skilled metal, electrical and electronic trades",81,16.78,11.1,17.49,10.6,12.00,13.40,14.03,14.78,15.6,17.82,18.88,19.72,20.54,23.37,2023-01-01
"East Midlands, Skilled construction and building trades",22,15.37,4.4,16.17,7,10.42,11.96,12.58,13,14.04,16.52,17.46,18.44,18.86,x,2023-01-01
"East Midlands, Textiles, printing and other skilled trades",36,11.69,8.3,12.59,6,10.42,10.50,10.71,10.94,11.16,12.14,13.00,13.61,14.01,x,2023-01-01
"East Midlands, Caring, leisure and other service occupations",161,11.81,8.6,12.45,7,10.42,10.68,10.89,11,11.33,12.25,12.97,13.47,14.11,15.74,2023-01-01
"East Midlands, Caring personal service occupations",137,11.81,8,12.42,6.5,10.42,10.70,10.91,11,11.34,12.28,13.01,13.54,14.21,15.83,2023-01-01
"East Midlands, Leisure, travel and related personal service occupations",23,11.76,13,12.47,9.5,10.41,10.45,10.69,10.85,11.19,12.12,12.48,12.98,13.43,x,2023-01-01
"East Midlands, Sales and customer service occupations",109,11,7.4,12.43,8,10.18,10.42,10.5,10.57,10.84,11.47,12.02,12.48,13.19,15.55,2023-01-01
"East Midlands, Sales occupations",82,10.98,8.4,11.99,6.3,10.07,x,10.42,10.52,10.69,11.1,11.59,11.90,12.34,14.36,2023-01-01
"East Midlands, Customer service occupations",27,12.08,10.5,13.57,12.9,10.42,10.62,10.75,10.9,11.45,12.81,13.66,14.38,15.11,x,2023-01-01
"East Midlands, Process, plant and machine operatives",117,13,6.4,14.44,5.4,10.60,11.11,11.42,11.64,12.34,14,15.20,15.89,16.58,19.22,2023-01-01
"East Midlands, Process, plant and machine operatives",60,12.67,5.5,14.16,5.8,10.56,11.07,11.25,11.5,11.99,13.39,14.57,15.74,16.42,19.13,2023-01-01
"East Midlands, Transport and mobile machine drivers and operatives",57,13.55,8.3,14.7,4.7,10.63,11.21,11.53,12,12.75,14.47,15.47,15.98,16.85,x,2023-01-01
"East Midlands, Elementary occupations",264,11.29,8.6,12.45,8,10.06,10.42,10.5,10.59,10.9,11.87,12.54,12.98,13.51,15.11,2023-01-01
"East Midlands, Elementary trades and related occupations",32,12.36,11.5,12.77,5.2,10.42,10.46,10.65,11.04,11.61,12.84,13.52,14.07,14.49,x,2023-01-01
