Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27645,16,8.2,20.25,8,10.69,11.54,12.03,12.67,14.14,18.33,21.43,23.32,25.55,32.77,2023-01-01
"Managers, directors and senior officials",2903,24.15,9.2,30.22,8.1,12.63,15.06,16.33,17.78,20.76,27.96,33.27,36.99,41.04,53.67,2023-01-01
Corporate managers and directors,2294,26.94,9.6,33.11,9,13.35,16.58,18.33,19.98,23.5,31.2,37.21,40.73,45.02,57.48,2023-01-01
Other managers and proprietors,609,16.9,5.8,19.82,6.1,11.58,12.82,13.44,14.13,15.46,18.94,21.10,22.39,23.96,29.16,2023-01-01
Professional occupations,7810,23.57,6.3,25.73,6.6,14.56,17.24,18.33,19.47,21.46,25.72,28.32,30.00,32.09,38.35,2023-01-01
"Science, research, engineering and technology professionals",1941,23.92,6.9,26.03,8.3,14.45,17.16,18.35,19.46,21.72,26.41,29.63,31.46,33.39,39.37,2023-01-01
Health professionals,1940,22.05,7,24.81,8.4,14.82,17.12,17.81,18.66,20.76,24.25,26.17,27.91,29.20,36.45,2023-01-01
Teaching and other educational professionals,1590,25.75,5.1,26.79,6.4,16.07,19.22,20.66,21.84,23.87,27.39,29.82,31.15,33.07,38.53,2023-01-01
"Business, media and public service professionals",2339,22.92,6.2,25.56,4.2,14.02,16.59,17.76,18.78,20.83,25.17,28.08,29.74,31.76,38.33,2023-01-01
Associate professional occupations,4242,16.86,5.7,19.73,6.7,11.56,12.82,13.45,14.11,15.36,18.51,20.70,21.92,23.43,28.85,2023-01-01
"Science, engineering and technology associate professionals",846,16.17,7.8,17.6,7.7,11.53,12.74,13.23,13.81,15,17.58,19.24,20.35,21.47,24.79,2023-01-01
Health and social care associate professionals,622,13.95,8.4,14.99,7.1,10.78,11.59,11.96,12.27,13.1,14.97,16.01,16.69,17.31,19.83,2023-01-01
Protective service occupations,323,20.42,3.6,19.77,2.1,13.51,15.25,15.87,16.4,18.24,21.13,22.06,22.75,23.31,25.82,2023-01-01
"Culture, media and sports occupations",252,14.96,5.6,21.42,18.3,10.65,11.66,12.14,12.63,13.83,16.29,18.38,19.96,21.23,26.15,2023-01-01
