Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27111,14.12,,17.97,,9.04,9.95,10.38,10.96,12.37,16.33,19.32,20.95,23.00,29.54,2021-01-01
"Managers, directors and senior officials",2820,20.9,,26.48,,10.63,12.96,14.27,15.38,18.09,24.5,29.16,32.12,36.38,47.91,2021-01-01
Corporate managers and directors,2210,23.46,,29.16,,11.42,14.37,15.70,17.25,20.12,27.48,32.34,35.97,39.66,51.61,2021-01-01
Other managers and proprietors,609,15.04,,17.26,,9.71,11.00,11.59,12.20,13.44,16.79,18.99,20.12,21.88,26.41,2021-01-01
Professional occupations,7175,21.76,,23.64,,13.37,16.04,16.98,18.02,19.86,23.66,26.02,27.37,29.22,35.55,2021-01-01
"Science, research, engineering and technology professionals",1671,21.63,,23.33,,13.13,15.66,16.75,17.83,19.73,23.82,26.34,27.78,29.60,34.75,2021-01-01
Health professionals,1693,20.12,,22.5,,13.58,15.88,16.63,17.29,19.14,21.84,23.63,24.69,26.31,33.26,2021-01-01
Teaching and other educational professionals,1788,23.91,,24.73,,15.06,17.76,19.02,20.17,22.27,25.51,27.57,28.92,30.52,36.05,2021-01-01
"Business, media and public service professionals",2024,21.08,,23.99,,12.74,15.32,16.39,17.29,19.22,23.15,25.96,27.57,29.64,36.65,2021-01-01
Associate professional occupations,4050,15.2,,18.12,,10.02,11.40,12.04,12.67,13.89,16.73,18.84,20.04,21.40,26.27,2021-01-01
"Science, engineering and technology associate professionals",782,14.33,,15.75,,10.06,11.09,11.64,12.18,13.19,15.58,16.98,17.77,18.88,22.50,2021-01-01
Health and social care associate professionals,685,12.37,,13.2,,9.13,9.89,10.22,10.66,11.49,13.28,14.24,14.74,15.43,17.28,2021-01-01
Protective service occupations,357,19.71,,18.87,,12.83,14.44,14.90,15.77,17.84,20.24,21.07,21.59,22.27,23.99,2021-01-01
Business and public service associate professionals,2013,16.64,,19.69,,10.65,12.30,13.02,13.75,15.15,18.44,20.71,22.17,24.11,30.93,2021-01-01
Administrative and secretarial occupations,3253,12.05,,13.91,,9.19,9.91,10.15,10.50,11.18,13.08,14.28,15.14,16.21,20.22,2021-01-01
Administrative occupations,2694,12.34,,14.15,,9.33,10.02,10.40,10.76,11.4,13.39,14.56,15.43,16.47,20.83,2021-01-01
Secretarial and related occupations,559,10.81,,12.63,,8.91,9.21,9.48,9.74,10.17,11.65,12.62,13.30,14.32,17.80,2021-01-01
Skilled trades occupations,1706,12.75,,14,,8.91,9.74,10.07,10.61,11.63,14,15.38,16.20,17.09,19.91,2021-01-01
Skilled agricultural and related trades,101,10.88,,11.61,,8.98,9.45,9.74,9.91,10.31,11.49,12.14,12.65,13.00,15.04,2021-01-01
"Skilled metal, electrical and electronic trades",882,14.5,,15.4,,9.89,11.25,11.87,12.36,13.46,15.71,16.98,17.73,18.69,21.74,2021-01-01
Skilled construction and building trades,303,13.79,,14.5,,9.50,10.80,11.29,11.78,12.75,14.67,15.75,16.47,17.27,19.52,2021-01-01
"Textiles, printing and other skilled trades",420,9.84,,10.7,,7.70,8.89,8.91,8.98,9.37,10.32,11.00,11.36,11.97,13.95,2021-01-01
"Caring, leisure and other service occupations",2249,10.38,,11.29,,8.91,9.23,9.45,9.62,9.99,10.97,11.69,12.14,12.73,14.81,2021-01-01
Caring personal service occupations,1898,10.43,,11.24,,8.99,9.31,9.50,9.70,10.01,11,11.71,12.12,12.70,14.63,2021-01-01
"Leisure, travel and related personal service occupations",330,10,,11.48,,7.66,8.83,8.91,9.03,9.53,10.58,11.48,12.01,12.76,15.25,2021-01-01
Community and civil enforcement occupations,21,12.69,,12.81,,9.54,10.50,10.83,11.05,11.7,13.47,14.09,14.89,15.29,x,2021-01-01
Sales and customer service occupations,1859,9.99,,11.34,,8.38,8.91,9.01,9.22,9.5,10.36,11.13,11.79,12.60,14.51,2021-01-01
Sales occupations,1389,9.77,,11.07,,8.18,8.91,9.00,9.17,9.38,10.05,10.77,11.29,12.21,13.91,2021-01-01
Customer service occupations,470,10.47,,12.03,,8.88,8.97,9.21,9.41,9.96,11.23,12.17,12.71,13.54,16.31,2021-01-01
"Process, plant and machine operatives",1351,11.48,,12.89,,8.94,9.43,9.74,10.00,10.75,12.34,13.39,14.09,14.91,17.64,2021-01-01
"Process, plant and machine operatives",631,11.19,,12.42,,8.91,9.29,9.54,9.85,10.41,12.04,13.10,13.88,14.72,17.35,2021-01-01
Transport and mobile machine drivers and operatives,720,11.7,,13.28,,8.99,9.58,9.99,10.28,11.03,12.61,13.62,14.26,15.01,17.97,2021-01-01
Elementary occupations,2649,9.57,,10.77,,7.22,8.76,8.91,8.93,9.23,10,10.76,11.24,11.96,13.71,2021-01-01
Elementary trades and related occupations,329,10.03,,11.06,,8.80,8.97,9.04,9.26,9.67,10.58,11.29,11.70,12.27,14.07,2021-01-01
Elementary administration and service occupations,2321,9.5,,10.71,,7.13,8.65,8.91,8.91,9.18,9.98,10.69,11.15,11.89,13.67,2021-01-01
North East,927,12.73,,15.78,,8.93,9.58,9.96,10.34,11.28,14.38,16.69,18.28,19.96,25.10,2021-01-01
"North East,  Managers, directors and senior officials",75,17.38,,22.29,,9.83,11.24,12.11,12.92,15,21.34,24.78,27.00,29.92,x,2021-01-01
"North East, Corporate managers and directors",56,18.93,,24.08,,9.88,11.81,12.76,13.74,15.77,23.17,27.02,29.14,33.26,x,2021-01-01
"North East, Other managers and proprietors",19,14.28,,17.13,,9.59,10.54,10.72,11.61,12.69,15.72,19.75,x,x,x,2021-01-01
"North East,  Professional occupations",217,20.1,,22.04,,13.34,15.56,16.28,17.00,18.71,22.02,24.24,25.69,27.52,34.02,2021-01-01
"North East, Science, research, engineering and technology professionals",46,19.7,,20.51,,12.12,14.80,15.33,16.24,18.6,21.53,23.56,23.90,25.00,x,2021-01-01
"North East, Health professionals",56,19.84,,22.83,,13.71,15.69,16.58,17.01,18.92,21.71,23.41,24.53,27.04,x,2021-01-01
"North East, Teaching and other educational professionals",55,23.66,,25.22,,14.06,17.51,18.38,19.00,21.28,26.44,29.66,31.46,32.63,x,2021-01-01
"North East, Business, media and public service professionals",60,18.54,,20.07,,12.54,14.59,15.35,15.96,17.13,20.05,21.87,23.37,24.35,x,2021-01-01
"North East,  Associate professional occupations",139,13.66,,15.16,,9.73,10.83,11.27,11.56,12.58,14.84,16.63,17.50,18.79,21.82,2021-01-01
"North East, Science, engineering and technology associate professionals",31,12.73,,14.23,,9.94,10.96,11.36,11.52,12.12,14,15.31,15.70,16.93,x,2021-01-01
"North East, Health and social care associate professionals",30,12.14,,12.97,,9.28,10.09,10.85,11.13,11.52,13.03,13.98,14.37,14.91,x,2021-01-01
"North East, Protective service occupations",16,18.47,,18.21,,x,14.60,14.92,15.25,17.12,19.71,20.02,20.75,x,x,2021-01-01
