Date,Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile
2023-01-01,East Midlands,1544,26944,4.4,30515,3.9,9502.00,15025.00,17807.00,20076.00,23651.00,30655,35347.00,38295.00,41955.00,52219.00
2023-01-01,London,3268,39133,6.3,52605,5.6,12500.00,22003.00,25230.00,28000.00,33387.00,45507,53805.00,59121.00,66330.00,91955.00
2023-01-01,North East,857,26449,5.7,29835,5.1,9802.00,15432.00,18135.00,20044.00,23249.00,30199,35049.00,38002.00,41176.00,50065.00
2023-01-01,North West,2418,28382,8.4,32471,7.1,10442.00,16495.00,19367.00,21344.00,24770.00,32744,37784.00,40914.00,44591.00,55885.00
2023-01-01,Northern Ireland,867,26789,5.4,31410,5.8,9360.00,15165.00,17936.00,20104.00,23637.00,31077,36418.00,39980.00,42927.00,54009.00
2023-01-01,Scotland,1965,29464,7.1,33268,6,10195.00,16608.00,19511.00,21856.00,25620.00,34314,39577.00,42324.00,45478.00,56181.00
2023-01-01,South East,3158,30757,6,35804,5.7,10080.00,16890.00,20054.00,22399.00,26546.00,35754,41757.00,45141.00,49362.00,63703.00
2023-01-01,South West,1943,27993,6.3,31817,7.1,9658.00,15769.00,18521.00,20778.00,24416.00,32322,37390.00,40634.00,43940.00,55232.00
2023-01-01,United Kingdom,22783,29511,6.3,35393,5.8,10050.00,16461.00,19437.00,21693.00,25598.00,34244,40000.00,43160.00,47283.00,60776.00
2023-01-01,Wales,1034,27372,5.7,29948,5.3,9879.00,15553.00,18412.00,20636.00,23978.00,31199,36130.00,39141.00,42018.00,50361.00
2023-01-01,West Midlands,1922,28244,6.4,32667,7.2,9878.00,15867.00,18771.00,21070.00,24604.00,32492,37891.00,40670.00,43834.00,54458.00
2023-01-01,Yorkshire and The Humber,1788,27304,5.6,31136,4.3,9954.00,15850.00,18525.00,20762.00,24141.00,31295,36223.00,39361.00,42503.00,53991.00
2024-01-01,East,2073,30455,6.2,35782,8.9,9567.00,15589.00,18937.00,21920.00,26186.00,35107.00,40908.00,44509.00,48733.00,62002.00
2024-01-01,East Midlands,1577,28897,7.2,32536,6.6,10239.00,16378.00,19374.00,21930.00,25288.00,32740.00,37791.00,40832.00,44697.00,55997.00
2024-01-01,London,3561,41581,6.3,56752,7.9,13004.00,23776.00,26992.00,30000.00,35750.00,48209.00,57066.00,62548.00,69870.00,96646.00
2024-01-01,North East,807,28153,6.4,31978,7.2,10658.00,16604.00,19376.00,21752.00,24989.00,31865.00,36989.00,39681.00,43469.00,53719.00
2024-01-01,North West,2455,30296,6.7,35029,7.9,11147.00,18043.00,21070.00,23150.00,26563.00,34717.00,40215.00,43674.00,47703.00,60422.00
2024-01-01,Northern Ireland,822,28825,7.6,32796,4.4,10028.00,16396.00,19510.00,21996.00,25465.00,33154.00,38201.00,41094.00,43871.00,55472.00
2024-01-01,Scotland,2093,31836,8,36017,8.3,11568.00,18474.00,21503.00,23857.00,27781.00,36697.00,42450.00,45769.00,48964.00,60698.00
2024-01-01,South East,3279,32823,6.7,38463,7.4,11310.00,18492.00,21788.00,24225.00,28500.00,38041.00,44215.00,48000.00,52377.00,67088.00
2024-01-01,South West,1940,29569,5.6,33455,5.1,10006.00,16426.00,19728.00,22250.00,26000.00,34191.00,39274.00,42426.00,45771.00,58134.00
2024-01-01,United Kingdom,23385,31602,7.1,38224,8,11004.00,17995.00,21216.00,23541.00,27440.00,36538.00,42519.00,46084.00,50344.00,65227.00
2024-01-01,Wales,1042,29067,6.2,31925,6.6,9966.00,16597.00,19638.00,21985.00,25436.00,33032.00,37953.00,41134.00,44767.00,53668.00
2024-01-01,West Midlands,1874,29891,5.8,34774,6.5,10758.00,17417.00,20475.00,22581.00,26042.00,34081.00,39429.00,42914.00,46776.00,58517.00
2024-01-01,Yorkshire and The Humber,1863,29811,9.2,33676,8.2,11105.00,17839.00,20682.00,22816.00,26081.00,33857.00,38833.00,42114.00,45889.00,57023.00
