Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27111,505.1,,596.4,,171.70,281.30,333.30,369.70,435.20,586.70,690.50,755.90,824.10,1054.10,2021-01-01
"Managers, directors and senior officials",2820,779.7,,965.9,,347.00,468.70,523.10,574.90,670.80,911.10,1085.70,1197.80,1341.70,1763.90,2021-01-01
Corporate managers and directors,2210,862.4,,1051.2,,352.00,506.00,572.70,615.50,742.90,1015.70,1203.70,1337.00,1466.60,1916.50,2021-01-01
Other managers and proprietors,609,585.5,,656.4,,337.10,414.60,444.60,472.70,533.30,657.70,746.00,791.20,849.70,1017.70,2021-01-01
Professional occupations,7175,740.6,,794.3,,375.90,496.20,541.60,583.70,664.80,808.50,899.80,958.20,1022.00,1238.20,2021-01-01
"Science, research, engineering and technology professionals",1671,806,,866.8,,473.50,574.90,618.90,661.00,736.90,897.30,985.70,1046.30,1110.00,1298.40,2021-01-01
Health professionals,1693,670.8,,732.8,,300.90,436.20,479.70,521.30,601.10,745.30,830.90,877.00,936.50,1155.30,2021-01-01
Teaching and other educational professionals,1788,708.4,,723.7,,318.90,474.90,511.20,550.70,637.90,793.70,852.40,890.80,939.40,1105.90,2021-01-01
"Business, media and public service professionals",2024,760.5,,848.2,,410.30,519.40,568.00,603.70,682.10,839.10,944.10,1009.50,1088.80,1342.10,2021-01-01
Associate professional occupations,4050,555.8,,637.3,,274.30,383.30,416.90,444.40,500.00,617.10,697.80,756.40,809.40,994.60,2021-01-01
"Science, engineering and technology associate professionals",782,552.1,,590.4,,345.00,406.50,430.60,454.90,501.70,595.20,655.10,686.30,731.40,871.00,2021-01-01
Health and social care associate professionals,685,409,,409,,181.40,258.70,286.70,318.40,368.60,446.30,494.90,517.50,540.00,605.50,2021-01-01
Protective service occupations,357,786.5,,754.9,,489.90,555.10,596.00,625.30,689.20,809.40,855.50,879.70,909.80,1033.00,2021-01-01
Business and public service associate professionals,2013,607.6,,700.8,,341.30,426.10,460.00,488.70,548.30,674.10,766.60,820.70,892.80,1149.90,2021-01-01
Administrative and secretarial occupations,3253,402.7,,430.4,,164.30,231.90,268.30,304.90,363.40,447.70,498.30,528.30,571.00,698.20,2021-01-01
Administrative occupations,2694,416,,447.5,,175.60,252.00,295.70,333.20,378.40,461.60,512.90,541.20,579.70,713.20,2021-01-01
Secretarial and related occupations,559,317.3,,347.9,,117.30,171.30,191.60,219.30,267.10,366.70,412.50,442.40,473.20,614.30,2021-01-01
Skilled trades occupations,1706,520.4,,549.3,,260.30,361.80,390.10,418.00,468.50,574.50,638.40,674.70,714.10,858.80,2021-01-01
Skilled agricultural and related trades,101,421.6,,426.5,,222.80,345.00,362.30,373.70,397.90,447.50,469.40,486.10,509.50,589.50,2021-01-01
"Skilled metal, electrical and electronic trades",882,600,,634.8,,377.80,448.70,479.10,504.70,554.50,655.40,711.00,749.10,792.20,933.70,2021-01-01
Skilled construction and building trades,303,563.7,,589.3,,345.00,421.70,453.70,475.00,524.40,603.90,661.60,691.30,722.00,865.40,2021-01-01
"Textiles, printing and other skilled trades",420,365.7,,370.3,,165.00,219.60,247.20,278.30,328.40,402.30,440.50,460.20,480.20,559.00,2021-01-01
"Caring, leisure and other service occupations",2249,324.1,,331.8,,125.90,190.10,215.80,240.40,284.40,361.80,400.50,422.20,449.20,529.60,2021-01-01
Caring personal service occupations,1898,324.1,,331.2,,132.30,197.10,222.10,245.60,287.10,360.40,398.50,419.40,445.30,520.40,2021-01-01
"Leisure, travel and related personal service occupations",330,302.9,,327.5,,100.40,148.80,174.60,197.30,249.00,357.10,402.20,429.00,463.90,563.00,2021-01-01
Community and civil enforcement occupations,21,470.1,,459.7,,x,387.40,401.80,416.00,443.50,498.60,523.90,543.80,561.20,x,2021-01-01
Sales and customer service occupations,1859,276.9,,305.6,,99.40,147.50,166.20,185.10,226.80,332.60,375.40,398.00,426.60,521.00,2021-01-01
Sales occupations,1389,249.8,,283.5,,92.90,139.90,155.60,172.10,209.30,295.40,350.50,370.70,396.40,481.70,2021-01-01
Customer service occupations,470,370.4,,370.8,,127.40,191.50,222.80,255.30,330.40,400.20,443.80,469.10,498.20,604.80,2021-01-01
"Process, plant and machine operatives",1351,485.2,,521.8,,252.00,354.40,374.30,395.20,440.00,536.70,600.90,638.10,679.50,809.60,2021-01-01
"Process, plant and machine operatives",631,455.4,,491.2,,281.70,353.70,368.00,383.50,417.50,500.00,561.30,591.10,628.30,745.50,2021-01-01
Transport and mobile machine drivers and operatives,720,512.7,,548.5,,227.60,355.20,385.80,414.00,466.70,574.90,641.50,677.20,717.30,860.70,2021-01-01
Elementary occupations,2649,287.5,,305.8,,71.30,115.00,137.40,160.40,215.40,353.60,399.10,428.20,462.40,556.90,2021-01-01
Elementary trades and related occupations,329,411.2,,427.1,,210.10,309.10,338.60,354.90,380.00,445.40,481.00,505.00,531.20,626.70,2021-01-01
Elementary administration and service occupations,2321,254.7,,288.7,,66.80,105.70,126.10,144.00,193.20,328.40,381.10,408.70,446.00,541.20,2021-01-01
North East,927,459,,521.5,,165.60,264.90,310.50,346.40,400.30,525.40,613.10,667.00,730.80,907.30,2021-01-01
"North East,  Managers, directors and senior officials",75,627.8,,809.8,,324.10,402.30,438.90,466.10,536.60,805.50,923.20,999.00,1132.20,x,2021-01-01
"North East, Corporate managers and directors",56,658.4,,870.8,,342.00,404.70,447.20,491.10,564.30,877.60,990.30,1114.00,1249.90,x,2021-01-01
"North East, Other managers and proprietors",19,562.7,,630.3,,283.60,371.50,409.10,439.90,478.70,605.60,760.50,843.90,x,x,2021-01-01
"North East,  Professional occupations",217,707.9,,740.4,,374.00,499.00,535.00,568.50,635.10,752.30,837.10,887.20,939.40,1128.60,2021-01-01
"North East, Science, research, engineering and technology professionals",46,728.4,,751.5,,396.70,542.80,596.00,613.20,694.70,801.60,887.50,919.20,946.00,x,2021-01-01
"North East, Health professionals",56,668.2,,761,,330.00,446.80,501.80,529.80,610.50,746.80,855.50,912.60,979.40,x,2021-01-01
"North East, Teaching and other educational professionals",55,708.4,,756.1,,391.70,518.20,546.00,572.60,654.70,753.20,818.70,884.40,955.70,x,2021-01-01
"North East, Business, media and public service professionals",60,670.5,,698.4,,375.70,492.60,532.70,554.40,613.30,730.70,801.20,824.50,868.30,x,2021-01-01
"North East,  Associate professional occupations",139,494.5,,534.7,,266.40,363.90,385.10,412.10,455.40,540.40,616.40,651.60,711.80,858.30,2021-01-01
"North East, Science, engineering and technology associate professionals",31,475.8,,512.1,,314.70,382.80,408.60,421.60,455.50,512.10,563.00,597.20,641.20,x,2021-01-01
"North East, Health and social care associate professionals",30,421.3,,403,,x,261.60,279.80,302.50,353.80,452.00,497.70,523.90,535.50,x,2021-01-01
"North East, Protective service occupations",16,799.4,,751.6,,x,608.90,626.90,650.30,711.20,852.70,867.50,885.90,x,x,2021-01-01
"North East, Business and public service associate professionals",57,511.3,,575.9,,333.10,384.80,402.70,418.00,469.50,574.60,628.90,678.40,740.30,x,2021-01-01
"North East,  Administrative and secretarial occupations",116,397.7,,412.5,,184.00,265.80,292.60,316.20,362.00,425.10,479.10,508.10,528.30,655.90,2021-01-01
"North East, Administrative occupations",99,404.1,,431.6,,203.40,284.80,313.50,344.20,377.80,446.00,489.90,527.70,551.20,682.20,2021-01-01
"North East, Secretarial and related occupations",17,296.2,,299.8,,x,168.60,186.50,203.50,264.40,324.20,356.30,390.40,x,x,2021-01-01
"North East,  Skilled trades occupations",65,518.3,,541.7,,230.00,347.80,378.40,400.40,463.40,566.80,615.80,658.10,704.00,x,2021-01-01
"North East, Skilled metal, electrical and electronic trades",36,590.6,,618.8,,355.70,429.40,455.60,493.60,546.30,645.70,703.70,742.00,773.30,x,2021-01-01
"North East, Skilled construction and building trades",13,532.8,,608.8,,380.60,450.80,469.90,487.10,530.80,576.20,604.80,x,x,x,2021-01-01
"North East, Textiles, printing and other skilled trades",15,304.6,,310.7,,x,175.80,188.00,225.60,254.80,353.10,377.50,388.50,x,x,2021-01-01
"North East,  Caring, leisure and other service occupations",78,324.2,,324,,133.00,195.90,223.90,244.40,294.70,362.00,392.20,415.90,430.90,482.80,2021-01-01
"North East, Caring personal service occupations",65,333,,327.3,,142.00,212.20,236.10,259.00,300.50,364.10,395.00,416.30,429.90,481.70,2021-01-01
"North East, Leisure, travel and related personal service occupations",13,256.2,,294.1,,x,158.80,172.00,193.50,220.20,299.10,342.40,x,x,x,2021-01-01
"North East,  Sales and customer service occupations",84,271.1,,291.7,,102.90,152.30,168.40,189.80,227.20,317.10,364.10,377.00,394.90,487.60,2021-01-01
"North East, Sales occupations",63,245.9,,275.8,,100.30,148.10,159.00,178.50,210.40,283.10,330.10,356.20,376.60,x,2021-01-01
"North East, Customer service occupations",21,355.7,,338.3,,124.10,188.10,210.00,251.70,316.10,376.90,392.50,402.40,423.90,x,2021-01-01
"North East,  Process, plant and machine operatives",54,452.4,,488.8,,265.60,351.50,365.60,376.50,412.70,488.70,546.50,601.00,663.70,x,2021-01-01
"North East, Process, plant and machine operatives",28,458.1,,490.6,,302.70,353.30,365.70,374.30,409.90,489.50,560.80,622.60,670.60,x,2021-01-01
"North East, Transport and mobile machine drivers and operatives",26,450.6,,486.9,,249.50,348.60,363.50,380.90,417.40,486.50,527.00,588.20,644.90,x,2021-01-01
"North East,  Elementary occupations",99,252.8,,288.2,,73.00,105.10,124.20,142.60,192.10,333.60,390.60,419.50,445.60,521.50,2021-01-01
"North East, Elementary trades and related occupations",11,423.9,,434.1,,x,311.30,350.20,360.00,399.60,449.40,490.20,520.20,x,x,2021-01-01
"North East, Elementary administration and service occupations",88,222,,270.2,,69.00,101.80,115.00,130.20,173.30,307.60,364.50,399.10,426.90,510.20,2021-01-01
North West,2806,479.1,,549.2,,167.70,271.20,319.90,356.40,413.30,551.60,647.40,709.10,777.80,973.00,2021-01-01
"North West, Managers, directors and senior officials",270,723.5,,863.3,,334.50,447.30,504.90,551.40,629.70,835.50,958.20,1054.10,1149.90,1532.90,2021-01-01
"North West, Corporate managers and directors",210,785.4,,935.6,,338.70,480.10,543.30,582.50,680.80,916.30,1067.20,1149.90,1285.40,1661.10,2021-01-01
"North West, Other managers and proprietors",59,568.2,,607.9,,317.10,404.70,423.00,453.30,514.80,639.60,695.20,738.30,782.60,x,2021-01-01
"North West, Professional occupations",687,726.2,,758.5,,392.70,492.80,535.40,574.90,646.20,795.90,871.90,919.90,978.10,1165.10,2021-01-01
"North West, Science, research, engineering and technology professionals",141,782.4,,828.4,,468.50,561.00,609.30,648.40,735.20,868.70,956.70,986.10,1065.80,1239.50,2021-01-01
"North West, Health professionals",187,696.9,,743.9,,352.00,477.30,515.20,559.00,614.40,759.50,836.70,874.50,915.90,1073.90,2021-01-01
"North West, Teaching and other educational professionals",181,708.4,,717.8,,341.10,484.10,504.50,550.70,610.50,797.30,852.40,883.90,931.80,1100.10,2021-01-01
"North West, Business, media and public service professionals",178,707.6,,760.2,,396.40,493.00,537.20,574.90,643.30,770.30,882.80,948.90,1016.60,1181.60,2021-01-01
"North West, Associate professional occupations",393,518.2,,576.8,,262.90,365.00,396.20,419.60,466.60,583.60,653.50,707.50,766.60,937.10,2021-01-01
"North West, Science, engineering and technology associate professionals",78,524.7,,566.7,,327.40,383.30,403.50,431.30,475.90,589.20,641.10,666.90,692.50,x,2021-01-01
"North West, Health and social care associate professionals",74,403.1,,387.8,,190.20,247.60,269.50,299.50,368.50,431.00,459.70,488.20,503.10,x,2021-01-01
"North West, Protective service occupations",24,690.1,,714,,451.90,519.10,551.20,572.10,615.30,788.60,832.30,861.70,885.60,x,2021-01-01
"North West, Culture, media and sports occupations",20,525.1,,541.3,,x,x,x,x,461.70,594.20,664.30,674.20,x,x,2021-01-01
"North West, Business and public service associate professionals",198,561.1,,638.2,,332.60,402.60,421.60,453.10,508.50,631.20,728.50,773.80,842.20,1021.50,2021-01-01
"North West, Administrative and secretarial occupations",351,396.8,,416.8,,162.20,240.00,279.10,318.70,362.90,430.20,484.40,512.10,542.20,655.80,2021-01-01
"North West, Administrative occupations",290,409.5,,434.6,,181.50,260.00,306.80,335.50,379.10,448.70,498.50,528.30,556.30,678.40,2021-01-01
"North West, Secretarial and related occupations",61,328.4,,331.8,,111.60,175.10,203.60,226.90,278.60,357.10,385.60,410.60,439.80,x,2021-01-01
"North West, Skilled trades occupations",179,507.4,,537.8,,256.30,361.50,395.10,421.50,466.60,557.60,620.40,662.10,700.20,859.10,2021-01-01
"North West, Skilled agricultural and related trades",10,449.2,,461.5,,x,384.50,394.30,412.20,429.60,467.00,481.30,493.00,x,x,2021-01-01
"North West, Skilled metal, electrical and electronic trades",98,578,,620.2,,371.80,445.30,472.70,498.50,532.30,627.90,694.80,729.00,787.40,931.80,2021-01-01
"North West, Skilled construction and building trades",27,528.6,,554.7,,311.80,391.00,407.60,447.30,494.00,574.90,631.10,670.90,686.10,x,2021-01-01
"North West, Textiles, printing and other skilled trades",44,365.7,,360,,139.10,194.30,229.00,260.10,318.70,409.60,443.90,460.00,475.30,x,2021-01-01
"North West, Caring, leisure and other service occupations",248,322.7,,321.7,,126.30,187.40,212.00,237.80,286.40,355.70,385.20,407.40,429.80,508.10,2021-01-01
"North West, Caring personal service occupations",213,327,,325.4,,133.20,193.40,218.30,242.50,291.30,358.80,389.70,411.80,433.70,509.90,2021-01-01
"North West, Leisure, travel and related personal service occupations",33,288.1,,292.2,,98.00,142.40,163.90,190.00,243.10,337.50,358.20,375.70,385.00,x,2021-01-01
"North West, Sales and customer service occupations",215,280.3,,308.8,,106.50,151.40,170.50,191.40,232.70,333.00,375.70,392.20,415.60,508.40,2021-01-01
"North West, Sales occupations",161,253.1,,287.6,,100.30,142.10,158.00,176.60,212.80,291.30,350.90,369.00,388.00,473.70,2021-01-01
"North West, Customer service occupations",54,375.6,,371.7,,142.60,212.50,241.30,276.20,344.20,400.50,430.80,458.60,483.90,593.40,2021-01-01
"North West, Process, plant and machine operatives",159,486.4,,517.8,,239.00,346.30,376.60,399.50,437.70,527.40,599.40,640.80,678.00,810.90,2021-01-01
"North West, Process, plant and machine operatives",64,460.9,,491.8,,273.60,346.40,373.50,389.50,418.70,502.50,560.10,593.90,637.40,730.80,2021-01-01
"North West, Transport and mobile machine drivers and operatives",95,498.4,,535.3,,213.10,346.20,378.40,409.30,461.00,556.90,631.20,665.20,708.30,866.70,2021-01-01
"North West, Elementary occupations",307,272.4,,296.3,,71.00,111.00,133.00,158.40,206.80,348.00,392.70,420.70,453.00,534.40,2021-01-01
"North West, Elementary trades and related occupations",35,400,,412.8,,187.10,294.60,332.20,352.80,373.30,432.50,465.10,485.50,519.20,x,2021-01-01
"North West, Elementary administration and service occupations",273,246.8,,281.5,,67.20,102.80,122.10,143.80,187.80,318.70,377.50,402.40,438.60,523.60,2021-01-01
Yorkshire and The Humber,2143,465.9,,536.9,,171.00,268.60,317.80,354.20,405.90,539.20,625.00,683.20,749.40,948.70,2021-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",205,697.9,,838.6,,311.90,423.70,466.20,517.80,592.50,798.00,938.40,1006.20,1122.20,1518.60,2021-01-01
"Yorkshire and The Humber, Corporate managers and directors",160,766.6,,906.1,,287.20,448.40,498.30,550.50,664.70,869.40,1006.20,1111.10,1228.30,1668.20,2021-01-01
"Yorkshire and The Humber, Other managers and proprietors",46,574.9,,602.2,,321.90,371.20,399.20,439.90,504.40,620.10,695.60,750.00,810.30,x,2021-01-01
"Yorkshire and The Humber, Professional occupations",483,698.6,,736.4,,381.30,481.90,521.30,556.00,621.70,766.60,844.50,890.60,954.00,1133.30,2021-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",109,762.5,,793.3,,464.50,536.80,575.70,622.80,686.30,825.40,912.80,960.00,1018.30,1169.60,2021-01-01
"Yorkshire and The Humber, Health professionals",113,673.9,,741.2,,371.40,470.20,508.70,529.10,601.00,732.40,828.00,891.20,935.00,x,2021-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",123,693.7,,701.7,,324.10,460.10,492.80,529.50,609.00,769.00,823.30,864.10,939.40,1094.00,2021-01-01
"Yorkshire and The Humber, Business, media and public service professionals",138,670.8,,718.3,,383.30,468.30,500.40,544.50,603.30,740.60,820.70,862.30,904.00,1085.60,2021-01-01
"Yorkshire and The Humber, Associate professional occupations",312,512,,567,,237.90,352.10,381.20,409.70,461.00,573.60,650.90,701.40,767.10,904.90,2021-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",55,514.8,,587,,317.30,372.10,399.90,421.70,470.70,579.50,671.00,749.30,769.10,x,2021-01-01
"Yorkshire and The Humber, Health and social care associate professionals",69,399,,393.2,,183.60,255.60,290.30,310.10,363.40,433.90,464.50,480.20,517.50,x,2021-01-01
"Yorkshire and The Humber, Protective service occupations",23,729.2,,712.3,,494.80,545.20,551.00,589.00,623.60,788.30,803.20,844.50,858.40,x,2021-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",15,443.7,,451.8,,x,x,x,x,x,511.70,551.10,x,x,x,2021-01-01
"Yorkshire and The Humber, Business and public service associate professionals",150,571.6,,629.4,,277.50,387.60,436.80,457.40,504.80,630.80,709.10,766.80,824.90,1052.70,2021-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",238,384.4,,402.4,,168.10,233.10,267.60,306.60,355.10,418.10,462.80,491.20,528.30,622.40,2021-01-01
"Yorkshire and The Humber, Administrative occupations",198,402.5,,421.1,,184.00,258.80,303.20,332.80,369.10,430.60,478.80,509.50,536.60,630.70,2021-01-01
"Yorkshire and The Humber, Secretarial and related occupations",41,289.9,,311,,97.00,154.60,184.30,203.90,247.20,338.90,379.00,390.30,428.50,x,2021-01-01
"Yorkshire and The Humber, Skilled trades occupations",159,522.4,,554.5,,272.20,370.00,392.60,418.70,459.90,577.40,641.90,675.00,711.90,868.00,2021-01-01
"Yorkshire and The Humber, Skilled agricultural and related trades",8,377.7,,381.8,,x,x,338.40,356.20,370.10,401.90,444.70,x,x,x,2021-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",81,599.8,,642.2,,374.40,429.90,464.60,490.20,560.00,656.40,719.90,754.30,814.70,x,2021-01-01
"Yorkshire and The Humber, Skilled construction and building trades",36,555.2,,574,,354.60,420.00,437.60,457.40,517.30,581.60,636.90,671.70,688.10,x,2021-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",35,373.5,,366.7,,174.70,215.20,254.10,277.00,329.00,406.90,423.90,437.50,453.40,x,2021-01-01
