Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"North East, Other managers and proprietors",20,30679,5.6,33262,-0.6,x,x,22708.00,24994.00,26998.00,34500,38561.00,42992.00,x,x,2023-01-01
"North East,  Professional occupations",223,37444,3.8,39322,0.4,19165.00,26353.00,27934.00,30000.00,34035.00,40626,44211.00,46576.00,48658.00,58144.00,2023-01-01
"North East, Science, research, engineering and technology professionals",45,41992,3.3,43016,5.7,23912.00,30140.00,32789.00,34595.00,38420.00,45078,49271.00,51303.00,53189.00,x,2023-01-01
"North East, Health professionals",76,35590,5.4,39218,-0.8,18202.00,24248.00,26772.00,28671.00,32182.00,39176,43340.00,45816.00,47871.00,x,2023-01-01
"North East, Teaching and other educational professionals",45,34944,-5.3,36496,-8.9,x,24335.00,27453.00,28249.00,32128.00,39399,42940.00,45722.00,46651.00,x,2023-01-01
"North East, Business, media and public service professionals",57,37186,6.6,38792,6.2,19184.00,25374.00,27515.00,30005.00,33840.00,39645,42280.00,43992.00,47530.00,x,2023-01-01
"North East,  Associate professional occupations",127,29382,6.8,33031,9.8,17010.00,22313.00,23322.00,24527.00,26966.00,31968,37205.00,39790.00,43253.00,x,2023-01-01
"North East, Science, engineering and technology associate professionals",33,28928,9.1,31644,8.5,19037.00,22504.00,23839.00,24668.00,26476.00,31378,35077.00,37770.00,x,x,2023-01-01
"North East, Health and social care associate professionals",21,22971,,24447,16.3,x,13829.00,16566.00,18341.00,20635.00,25498,28642.00,x,x,x,2023-01-01
"North East, Protective service occupations",14,42730,3.5,41247,9.1,x,32209.00,33748.00,36075.00,42162.00,44318,47709.00,x,x,x,2023-01-01
"North East, Business and public service associate professionals",56,29508,4.6,35538,9.9,19964.00,22974.00,24036.00,25068.00,27629.00,33255,37916.00,40999.00,46863.00,x,2023-01-01
"North East,  Administrative and secretarial occupations",103,21503,4.6,21558,3.6,9096.00,13241.00,15003.00,16921.00,19396.00,23310,25714.00,26671.00,28468.00,34004.00,2023-01-01
"North East, Administrative occupations",86,21995,3.5,22449,4.4,10319.00,14514.00,15943.00,18200.00,20558.00,24191,26356.00,27886.00,29279.00,34801.00,2023-01-01
"North East, Secretarial and related occupations",17,17010,3.4,17029,-0.7,x,9858.00,10959.00,11788.00,14272.00,19237,20748.00,22226.00,x,x,2023-01-01
"North East,  Skilled trades occupations",63,27736,1.7,29782,4.2,14597.00,19507.00,20796.00,22074.00,25241.00,31320,34445.00,36546.00,39927.00,x,2023-01-01
