Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27882,613.3,6.7,715.5,6.8,214.10,360.00,429.00,466.40,536.60,704.30,818.60,887.50,967.30,1249.30,2024-01-01
"Managers, directors and senior officials",3035,958.2,7.1,1188.4,8.2,460.00,586.40,642.40,700.00,824.70,1120.60,1326.10,1446.70,1619.00,2115.40,2024-01-01
Corporate managers and directors,2386,1069.4,7.3,1295.3,8.7,464.30,625.00,699.50,768.50,923.10,1245.70,1464.40,1608.20,1766.90,2297.80,2024-01-01
Other managers and proprietors,649,712,5.8,795.2,6.6,437.20,523.20,562.40,591.90,648.80,789.60,877.00,926.40,985.90,1195.90,2024-01-01
Professional occupations,7930,838.3,4.3,913.4,5,446.30,575.60,625.80,672.30,757.00,926.60,1032.40,1101.50,1184.20,1437.40,2024-01-01
"Science, research, engineering and technology professionals",1892,944.2,5.7,1021.5,5.4,565.80,675.10,723.90,766.60,850.90,1044.70,1165.90,1239.40,1321.80,1550.10,2024-01-01
Health professionals,2068,754.1,3.9,832.6,4.4,339.20,506.10,552.60,601.20,678.30,836.70,924.90,977.10,1051.70,1320.00,2024-01-01
Teaching and other educational professionals,1725,814.2,6.1,813.1,4.2,344.00,534.80,580.20,628.20,727.60,891.60,958.20,1013.00,1073.60,1258.60,2024-01-01
"Business, media and public service professionals",2245,862.4,5.2,973.7,7.3,487.00,598.30,650.60,694.10,777.90,959.90,1077.00,1150.30,1247.20,1500.60,2024-01-01
Associate professional occupations,4329,651.4,5.7,730.2,5.2,333.00,465.60,498.30,528.90,584.30,718.70,808.20,862.40,927.90,1149.80,2024-01-01
"Science, engineering and technology associate professionals",810,645.2,4.8,690.8,5.4,432.90,489.20,517.50,539.90,587.90,705.30,777.40,819.70,862.40,1022.00,2024-01-01
Health and social care associate professionals,679,503.1,7.2,495.3,6.4,233.40,326.70,371.60,414.00,462.50,543.90,587.90,614.70,644.60,716.70,2024-01-01
Protective service occupations,407,857.1,5.3,848.9,7.2,561.90,636.70,670.60,696.80,765.40,916.10,959.50,989.00,1033.50,1168.30,2024-01-01
"Culture, media and sports occupations",283,498.3,1.9,647.7,7.6,68.70,148.70,194.40,249.50,414.00,564.50,651.60,702.30,751.90,910.10,2024-01-01
Business and public service associate professionals,2150,700.1,5.2,807.7,4.9,415.30,503.10,536.60,569.20,633.30,774.00,876.50,946.70,1025.20,1330.10,2024-01-01
Administrative and secretarial occupations,2776,488.3,6.7,501.3,6.6,200.40,285.00,335.70,383.30,451.40,534.70,584.40,621.00,664.10,792.10,2024-01-01
Administrative occupations,2286,503.4,7.2,519.9,6.6,224.60,315.90,370.70,421.60,466.60,550.20,601.10,635.40,676.60,806.30,2024-01-01
Secretarial and related occupations,490,400.4,6.9,414.4,6.7,159.50,220.80,241.00,269.80,332.20,452.40,501.20,530.40,572.30,691.60,2024-01-01
Skilled trades occupations,1686,640,6.9,669.3,7,345.00,468.60,500.00,528.50,583.00,702.80,767.30,808.00,858.40,1003.30,2024-01-01
Skilled agricultural and related trades,103,515.1,7.4,515.7,5.7,271.60,417.00,448.50,466.50,494.90,546.70,587.00,609.80,638.00,712.50,2024-01-01
"Skilled metal, electrical and electronic trades",870,722.5,6.1,761.3,6.4,471.20,547.40,577.20,611.60,670.80,781.00,855.50,899.40,950.80,1101.10,2024-01-01
Skilled construction and building trades,298,670.3,6.8,695.5,7.7,418.40,515.00,547.40,575.10,623.10,723.70,776.50,812.80,856.00,987.80,2024-01-01
"Textiles, printing and other skilled trades",415,498.8,7.1,496.1,8.4,223.30,300.00,354.90,398.60,457.60,543.00,589.60,619.70,652.70,757.00,2024-01-01
"Caring, leisure and other service occupations",2429,423.1,10.1,417.3,8.3,150.80,237.40,273.00,306.30,367.60,464.50,508.40,534.70,569.90,665.80,2024-01-01
Caring personal service occupations,2021,423.3,10.3,419,8.4,158.60,246.10,280.80,313.00,371.80,463.70,507.70,533.80,567.20,662.70,2024-01-01
"Leisure, travel and related personal service occupations",386,405.6,8.1,399.6,6.7,115.60,186.20,216.10,253.90,335.30,460.30,501.80,527.20,563.30,672.90,2024-01-01
Community and civil enforcement occupations,23,591.5,16,560.7,12.3,x,461.20,482.20,505.60,553.00,617.60,641.00,654.40,669.30,x,2024-01-01
Sales and customer service occupations,1692,335.1,9.2,361.9,7.7,118.20,178.80,196.50,221.00,272.00,409.50,466.30,491.30,523.20,613.30,2024-01-01
Sales occupations,1261,288.2,6.4,327.8,7.1,108.10,161.60,183.00,198.20,240.00,347.70,423.30,454.60,483.10,571.70,2024-01-01
Customer service occupations,431,468.6,7.8,461.7,7.5,182.50,270.40,313.60,359.30,436.10,503.20,548.90,574.90,605.60,704.70,2024-01-01
"Process, plant and machine operatives",1363,599.9,6.3,630.2,5.8,314.20,454.10,478.80,501.80,546.20,658.80,728.00,768.50,813.90,945.40,2024-01-01
"Process, plant and machine operatives",644,564.7,7,592.9,6.1,353.90,453.60,469.00,488.30,523.40,613.30,668.30,703.60,743.10,853.10,2024-01-01
Transport and mobile machine drivers and operatives,719,643.8,6.9,663.6,5.7,283.80,455.20,491.80,518.90,577.40,708.90,784.70,824.10,872.50,1021.80,2024-01-01
Elementary occupations,2641,341.2,5.7,353.5,4.9,75.20,130.00,160.80,185.90,252.50,431.50,485.80,512.90,542.10,636.80,2024-01-01
Elementary trades and related occupations,255,506.7,8.6,507,8.1,207.30,366.10,422.80,446.20,474.50,543.30,588.00,614.20,647.10,730.60,2024-01-01
Elementary administration and service occupations,2387,307.2,6.7,337.1,4.9,71.00,120.90,149.40,177.30,234.00,403.80,469.60,497.60,528.90,619.00,2024-01-01
North East,947,556.3,7.1,619.6,6.8,201.10,325.70,391.20,440.80,495.60,630.00,717.00,776.20,847.60,1046.20,2024-01-01
"North East,  Managers, directors and senior officials",81,814.7,8.3,978.4,8.8,395.80,509.20,555.70,577.60,689.90,938.80,1155.90,1262.00,1378.80,x,2024-01-01
"North East, Corporate managers and directors",62,890.8,9.4,1053.3,6.4,396.40,529.60,569.40,633.00,752.90,1007.70,1252.60,1357.60,1433.90,x,2024-01-01
"North East, Other managers and proprietors",19,636.3,4.7,728.2,14.2,358.90,469.00,527.10,556.20,575.80,695.80,815.50,867.10,x,x,2024-01-01
"North East,  Professional occupations",224,766.6,6.7,813.2,5.8,435.20,544.40,592.90,629.50,695.00,838.40,935.20,976.50,1037.00,1228.30,2024-01-01
"North East, Science, research, engineering and technology professionals",52,844.3,2.7,895,8.6,481.20,615.80,632.70,693.00,772.00,958.20,1042.20,1063.40,1140.00,x,2024-01-01
"North East, Health professionals",68,710,4.1,775.5,0.2,408.40,539.20,559.80,602.90,661.80,779.90,870.20,908.70,959.30,x,2024-01-01
"North East, Teaching and other educational professionals",44,764.5,9.4,794.8,5.9,367.20,562.90,603.00,636.10,708.80,828.80,891.60,953.20,988.30,x,2024-01-01
"North East, Business, media and public service professionals",61,760.9,7.1,799.1,9.3,399.30,499.70,551.30,595.90,676.40,838.30,929.00,989.60,1046.60,x,2024-01-01
"North East,  Associate professional occupations",155,606.3,7.8,670.1,6.9,322.70,455.80,479.10,506.80,552.60,673.20,752.60,798.70,862.90,1038.10,2024-01-01
