Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27111,37,,33.2,,16.00,24.00,28.70,32.00,35.00,37.50,38.00,39.70,40.00,42.60,2021-01-01
"Managers, directors and senior officials",2820,37.5,,36.5,,28.00,35.00,35.00,36.00,37.00,38.30,40.00,40.00,40.00,43.60,2021-01-01
Corporate managers and directors,2210,37.5,,36.1,,27.00,35.00,35.00,35.00,37.00,37.50,39.90,40.00,40.00,42.40,2021-01-01
Other managers and proprietors,609,39,,38,,30.00,35.00,36.80,37.00,37.50,40.00,40.00,40.50,42.30,45.90,2021-01-01
Professional occupations,7175,36.9,,33.6,,21.00,30.00,32.40,32.50,35.00,37.40,37.50,37.50,37.90,40.00,2021-01-01
"Science, research, engineering and technology professionals",1671,37.5,,37.2,,35.00,36.00,36.90,37.00,37.40,37.50,38.00,39.40,40.00,40.50,2021-01-01
Health professionals,1693,37.4,,32.6,,15.90,23.00,26.50,30.00,35.00,37.50,37.50,37.50,38.90,40.00,2021-01-01
Teaching and other educational professionals,1788,32.5,,29.3,,16.00,23.50,25.50,27.50,32.30,32.50,34.00,35.00,35.00,37.00,2021-01-01
"Business, media and public service professionals",2024,37,,35.3,,28.80,x,35.00,35.00,36.20,37.40,37.50,37.50,38.10,40.00,2021-01-01
Associate professional occupations,4050,37,,35.2,,22.50,33.10,35.00,35.00,37.00,37.50,38.80,40.00,40.00,42.00,2021-01-01
"Science, engineering and technology associate professionals",782,37.5,,37.5,,32.00,35.30,36.70,37.00,37.30,37.90,39.90,40.00,40.30,43.30,2021-01-01
Health and social care associate professionals,685,35,,31,,16.00,22.40,25.00,28.30,32.50,37.00,37.00,37.40,37.50,40.00,2021-01-01
Protective service occupations,357,40,,40,,36.10,38.60,x,x,40.00,40.50,42.00,42.10,42.60,45.70,2021-01-01
"Culture, media and sports occupations",214,35,,28,,4.60,12.10,16.40,20.00,30.00,37.00,37.50,38.00,39.90,40.10,2021-01-01
Business and public service associate professionals,2013,37,,35.6,,26.40,35.00,35.00,35.00,37.00,37.50,37.50,38.80,39.90,40.50,2021-01-01
Administrative and secretarial occupations,3253,35,,30.9,,14.50,20.50,23.80,27.00,33.50,37.00,37.50,37.50,37.60,40.00,2021-01-01
Administrative occupations,2694,36.1,,31.6,,15.00,22.00,25.00,29.90,35.00,37.00,37.50,37.50,37.90,40.00,2021-01-01
Secretarial and related occupations,559,30,,27.6,,10.70,16.10,18.40,20.70,25.00,35.00,36.50,37.00,37.50,39.90,2021-01-01
Skilled trades occupations,1706,40,,39.2,,27.70,36.20,37.00,37.50,39.00,40.00,42.00,43.20,45.00,48.60,2021-01-01
Skilled agricultural and related trades,101,38.4,,36.7,,20.90,34.90,36.10,37.00,37.40,40.00,40.00,40.00,40.70,44.40,2021-01-01
"Skilled metal, electrical and electronic trades",882,40,,41.2,,36.00,37.40,37.50,38.40,39.90,40.90,43.00,44.30,45.50,49.60,2021-01-01
Skilled construction and building trades,303,40,,40.6,,35.00,37.30,37.80,39.00,40.00,40.30,42.50,44.00,45.00,49.30,2021-01-01
"Textiles, printing and other skilled trades",420,37.5,,34.6,,17.90,24.00,27.10,30.00,35.00,39.50,40.00,40.90,42.50,47.80,2021-01-01
"Caring, leisure and other service occupations",2249,30.8,,29.4,,12.00,18.40,20.80,23.00,27.50,34.60,37.00,37.50,38.20,42.30,2021-01-01
Caring personal service occupations,1898,30.4,,29.5,,12.00,18.70,21.00,23.10,27.50,34.00,37.00,37.50,37.90,42.60,2021-01-01
"Leisure, travel and related personal service occupations",330,32,,28.5,,10.90,16.00,18.50,21.00,26.00,36.00,37.00,37.50,39.00,40.90,2021-01-01
Community and civil enforcement occupations,21,37,,35.9,,x,35.80,36.80,36.90,37.00,37.00,37.20,38.70,40.00,x,2021-01-01
Sales and customer service occupations,1859,27.6,,26.9,,10.80,15.50,16.80,19.00,22.60,32.30,36.50,37.40,37.60,40.20,2021-01-01
Sales occupations,1389,24.4,,25.6,,10.00,14.50,16.00,17.50,20.90,29.60,34.80,36.60,37.50,40.00,2021-01-01
Customer service occupations,470,35,,30.8,,14.50,20.00,22.20,25.30,32.20,37.00,37.50,37.50,38.90,40.60,2021-01-01
"Process, plant and machine operatives",1351,40,,40.5,,25.20,35.30,37.00,37.50,39.00,42.00,44.90,46.10,48.00,53.50,2021-01-01
"Process, plant and machine operatives",631,40,,39.6,,29.90,36.50,37.00,37.50,39.00,40.20,42.10,43.50,45.00,49.00,2021-01-01
Transport and mobile machine drivers and operatives,720,41.1,,41.3,,23.00,34.90,36.50,37.60,40.00,44.40,47.10,48.00,50.00,57.00,2021-01-01
Elementary occupations,2649,30.4,,28.4,,8.00,12.90,15.40,17.60,23.90,36.90,38.40,39.90,40.00,45.00,2021-01-01
Elementary trades and related occupations,329,40,,38.6,,23.60,34.90,36.50,37.40,39.00,40.00,42.50,44.00,45.20,49.50,2021-01-01
Elementary administration and service occupations,2321,27.5,,26.9,,7.50,12.00,14.50,16.00,21.00,34.50,37.50,38.60,40.00,44.00,2021-01-01
North East,927,37,,33,,16.00,24.00,28.00,30.80,35.30,37.40,37.60,39.00,40.00,42.40,2021-01-01
"North East,  Managers, directors and senior officials",75,37.5,,36.3,,24.70,35.00,35.20,36.20,37.00,37.80,39.80,40.00,40.00,x,2021-01-01
"North East, Corporate managers and directors",56,37.5,,36.2,,24.10,35.00,35.10,36.20,37.00,37.60,39.60,40.00,40.00,x,2021-01-01
"North East, Other managers and proprietors",19,37.5,,36.8,,28.30,34.80,35.90,36.10,37.00,38.40,39.80,40.00,x,x,2021-01-01
"North East,  Professional occupations",217,37,,33.6,,22.40,29.10,32.00,32.50,36.10,37.30,37.50,37.50,37.90,40.00,2021-01-01
"North East, Science, research, engineering and technology professionals",46,37.5,,36.6,,35.00,36.80,37.00,37.00,37.40,x,37.50,38.20,39.30,x,2021-01-01
"North East, Health professionals",56,37.4,,33.3,,19.70,24.10,29.60,30.00,37.00,37.50,37.50,38.80,40.00,x,2021-01-01
"North East, Teaching and other educational professionals",55,32.4,,30,,17.40,x,25.00,26.10,29.90,32.50,36.90,x,37.00,x,2021-01-01
"North East, Business, media and public service professionals",60,37,,34.8,,26.40,34.90,35.00,35.00,36.90,37.00,37.50,37.50,37.90,x,2021-01-01
"North East,  Associate professional occupations",139,37,,35.3,,22.40,32.90,35.00,36.20,37.00,37.50,37.90,39.10,40.00,42.20,2021-01-01
"North East, Science, engineering and technology associate professionals",31,37.4,,36,,24.20,35.00,36.60,36.90,37.00,37.50,37.60,38.60,39.10,x,2021-01-01
"North East, Health and social care associate professionals",30,36,,31.1,,x,23.50,25.00,28.20,32.00,37.00,37.00,37.00,37.30,x,2021-01-01
"North East, Protective service occupations",16,42,,41.3,,x,39.50,39.60,40.00,41.00,42.30,x,43.50,x,x,2021-01-01
"North East, Business and public service associate professionals",57,37,,35.9,,29.80,35.00,36.00,37.00,37.00,37.40,37.50,37.50,39.00,x,2021-01-01
"North East,  Administrative and secretarial occupations",116,36.9,,31.9,,16.00,22.80,26.50,30.00,35.00,37.00,37.00,37.50,37.50,40.00,2021-01-01
"North East, Administrative occupations",99,37,,32.6,,17.90,24.70,29.00,31.10,35.00,37.00,37.30,37.50,37.50,40.00,2021-01-01
"North East, Secretarial and related occupations",17,30,,27.9,,x,17.10,18.50,21.00,26.10,35.00,36.60,37.00,37.50,x,2021-01-01
"North East,  Skilled trades occupations",65,38.6,,38.3,,25.70,36.00,36.90,37.00,37.50,39.90,40.00,41.30,42.50,x,2021-01-01
