Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Elementary trades and related occupations",28,417,4.1,419.2,-2.9,x,284.80,331.20,359.70,384.70,445.90,490.10,520.80,552.80,x,2022-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",211,252,1.3,292.4,2.6,61.80,106.40,128.30,151.50,191.60,338.20,400.00,428.40,460.00,557.00,2022-01-01
East Midlands,1825,495.7,5.2,557.5,4,171.10,279.00,328.70,373.80,433.10,568.50,654.60,708.40,769.20,960.70,2022-01-01
"East Midlands, Managers, directors and senior officials",179,745,8,874,4.8,287.80,468.90,528.50,569.30,670.80,835.50,965.00,1050.80,1162.40,1566.30,2022-01-01
"East Midlands, Corporate managers and directors",139,779.5,5.7,924.6,3.7,286.50,477.10,536.80,580.30,703.60,889.20,1049.40,1153.10,1317.10,1668.70,2022-01-01
"East Midlands, Other managers and proprietors",40,662.2,12.5,699.5,10.7,317.30,455.20,492.90,531.20,584.40,704.00,763.50,799.80,856.70,x,2022-01-01
"East Midlands, Professional occupations",398,704.3,4.2,754.1,3.5,384.10,493.30,528.90,568.50,637.80,769.00,852.40,900.00,961.50,1168.20,2022-01-01
"East Midlands, Science, research, engineering and technology professionals",103,766.6,3.1,815.4,4.6,459.60,538.80,592.20,627.90,692.50,840.30,919.30,976.80,1055.50,x,2022-01-01
"East Midlands, Health professionals",83,667.9,5.2,773.1,6.8,306.80,466.00,515.30,540.50,610.60,759.20,841.10,894.30,980.30,x,2022-01-01
"East Midlands, Teaching and other educational professionals",110,699.6,4.3,691.8,1.6,311.40,478.40,502.90,529.20,609.00,741.50,799.40,852.40,901.00,x,2022-01-01
"East Midlands, Business, media and public service professionals",103,676.8,4.3,743.9,2,392.90,498.30,527.40,565.00,628.60,740.20,813.80,869.70,936.70,x,2022-01-01
"East Midlands, Associate professional occupations",242,563.4,6,613,5.2,287.50,391.30,425.00,457.90,502.60,614.10,689.00,744.80,788.60,958.20,2022-01-01
"East Midlands, Science, engineering and technology associate professionals",55,562.2,6,580.1,3.6,328.10,417.40,441.70,462.00,503.80,604.10,658.10,695.60,734.90,x,2022-01-01
"East Midlands, Health and social care associate professionals",39,435,6.5,433.1,9.1,239.50,299.50,335.70,354.30,398.70,474.10,511.90,527.70,550.50,x,2022-01-01
"East Midlands, Protective service occupations",23,735.5,6.1,728.2,2.5,496.40,560.90,601.10,619.80,664.30,788.30,801.10,820.40,882.60,x,2022-01-01
"East Midlands, Culture, media and sports occupations",16,402.3,-0.4,546,11.8,x,226.60,241.20,272.10,327.80,473.40,x,x,x,x,2022-01-01
"East Midlands, Business and public service associate professionals",109,610,5.8,679.9,4.9,346.50,432.40,464.10,490.40,552.60,670.80,765.40,811.70,898.70,x,2022-01-01
"East Midlands, Administrative and secretarial occupations",198,398.6,4.8,406.2,2,168.30,230.00,263.40,296.00,366.90,435.00,476.90,498.30,528.30,618.80,2022-01-01
"East Midlands, Administrative occupations",162,412.3,5.2,421.8,1.8,172.20,241.60,284.10,320.40,381.70,450.10,488.40,512.80,541.20,627.80,2022-01-01
"East Midlands, Secretarial and related occupations",36,315.8,10,336,6.8,143.50,190.80,201.40,225.00,273.90,371.10,402.40,427.80,455.50,x,2022-01-01
"East Midlands, Skilled trades occupations",137,566.6,7.5,583.9,6.5,301.50,399.90,429.00,451.10,506.70,613.40,675.10,709.50,756.50,890.40,2022-01-01
"East Midlands, Skilled agricultural and related trades",7,418.4,4.8,461,3.5,x,x,343.90,373.50,403.50,449.30,x,x,x,x,2022-01-01
"East Midlands, Skilled metal, electrical and electronic trades",80,629.3,4.9,653.2,3.5,400.00,469.70,499.10,525.00,579.90,683.40,745.50,776.10,804.20,935.90,2022-01-01
"East Midlands, Skilled construction and building trades",19,584.3,6.6,628.7,1.4,386.90,469.00,480.10,509.10,541.10,632.70,676.20,706.20,763.90,x,2022-01-01
"East Midlands, Textiles, printing and other skilled trades",30,397.8,18.5,403.7,17.6,174.30,242.80,282.00,315.20,366.60,430.60,468.50,515.10,545.50,x,2022-01-01
"East Midlands, Caring, leisure and other service occupations",157,334.1,2.9,339.6,3.1,131.30,202.20,231.40,257.20,300.00,380.40,411.20,430.30,459.40,529.80,2022-01-01
"East Midlands, Caring personal service occupations",132,338.7,3.5,342,3.4,141.80,213.50,245.50,266.00,304.50,379.70,412.70,429.80,458.20,528.10,2022-01-01
"East Midlands, Leisure, travel and related personal service occupations",23,306.2,9.8,319.9,1.9,x,152.20,165.20,190.30,236.90,361.20,404.00,422.50,462.60,x,2022-01-01
"East Midlands, Sales and customer service occupations",121,282.5,3,307.4,4.9,111.20,159.10,180.50,201.10,240.60,324.80,376.70,402.60,431.20,518.70,2022-01-01
"East Midlands, Sales occupations",86,265,5,291.1,5.8,101.60,149.90,168.20,187.90,223.70,304.00,354.80,376.80,402.70,497.20,2022-01-01
"East Midlands, Customer service occupations",36,336.3,-1.9,346.5,3.2,128.30,189.40,211.40,237.20,285.40,382.60,425.30,446.30,473.10,x,2022-01-01
"East Midlands, Process, plant and machine operatives",145,519,9.4,551.3,8.6,269.80,380.10,400.00,420.60,461.90,578.80,652.20,694.60,740.30,849.00,2022-01-01
"East Midlands, Process, plant and machine operatives",78,486.9,10.2,525.8,8.2,323.10,384.00,395.20,410.00,447.70,536.30,603.10,646.00,685.20,796.00,2022-01-01
"East Midlands, Transport and mobile machine drivers and operatives",67,569.7,11.7,581,8,202.20,361.10,410.70,435.00,497.30,632.20,705.80,756.40,790.80,x,2022-01-01
"East Midlands, Elementary occupations",249,342.9,0.8,330.8,1.4,62.10,111.40,142.60,173.40,245.50,394.80,444.70,474.00,501.40,587.70,2022-01-01
"East Midlands, Elementary trades and related occupations",31,458.9,9.8,462.8,5.5,x,341.30,375.30,385.70,419.00,484.50,523.40,552.00,580.80,x,2022-01-01
