Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27498,533.7,5.7,623.3,4.5,180.60,301.00,358.60,395.00,462.60,619.10,726.40,787.20,862.40,1098.20,2022-01-01
"Managers, directors and senior officials",2940,830.9,6.6,1018.2,5.4,370.90,501.20,554.90,600.30,714.90,958.30,1149.90,1258.50,1408.60,1851.50,2022-01-01
Corporate managers and directors,2362,913.5,5.9,1093.3,4,374.60,527.00,580.90,651.60,772.80,1054.10,1252.10,1379.90,1523.60,1955.60,2022-01-01
Other managers and proprietors,578,635.9,8.6,711.2,8.4,357.60,460.00,490.00,521.40,576.80,710.30,789.70,833.20,894.30,1058.00,2022-01-01
Professional occupations,7611,757.2,2.2,812.7,2.3,385.60,505.30,552.30,599.10,676.30,832.40,923.30,982.20,1053.00,1260.30,2022-01-01
"Science, research, engineering and technology professionals",1811,834.6,3.6,891.3,2.8,479.10,582.60,632.40,670.80,758.40,919.90,1022.40,1081.50,1149.90,1341.60,2022-01-01
Health professionals,1880,688.8,2.7,749.9,2.3,308.90,450.30,491.70,534.50,616.00,765.90,855.80,903.20,973.40,1199.10,2022-01-01
Teaching and other educational professionals,1781,719,1.5,731.3,1,304.30,468.70,511.00,557.50,651.10,797.30,867.60,909.30,963.90,1121.30,2022-01-01
"Business, media and public service professionals",2139,773.6,1.7,869.3,2.5,431.20,535.20,574.90,619.10,697.00,862.40,958.20,1026.30,1094.60,1341.60,2022-01-01
Associate professional occupations,3799,590,6.2,657.9,3.2,304.80,417.40,450.40,479.10,532.70,655.50,739.80,788.30,847.00,1043.30,2022-01-01
"Science, engineering and technology associate professionals",774,577.5,4.6,613.7,4,371.40,432.40,458.60,480.30,527.80,630.60,693.70,728.30,766.60,896.30,2022-01-01
Health and social care associate professionals,529,434.6,6.3,438,7.1,192.70,276.80,315.40,351.40,397.30,476.30,518.10,541.00,571.00,654.50,2022-01-01
Protective service occupations,430,788.3,0.2,786.5,4.2,503.90,586.70,618.00,643.70,708.80,825.50,885.90,921.80,959.00,1078.80,2022-01-01
"Culture, media and sports occupations",221,478.9,11.5,516.8,,76.00,161.40,208.70,269.60,383.30,527.80,587.20,623.40,680.60,x,2022-01-01
Business and public service associate professionals,1847,628.6,3.5,726.4,3.7,373.20,454.60,479.10,509.60,572.60,694.90,785.80,849.20,923.70,1200.50,2022-01-01
Administrative and secretarial occupations,2920,421.6,4.7,442.6,2.8,172.50,241.50,283.40,323.90,383.30,468.70,516.10,542.80,578.10,709.10,2022-01-01
Administrative occupations,2396,438,5.3,459.2,2.6,184.00,264.00,309.20,351.70,399.70,479.10,528.30,556.00,594.10,725.60,2022-01-01
Secretarial and related occupations,524,354.5,11.7,366.6,5.4,135.00,190.00,216.70,239.20,288.30,392.40,438.50,469.60,498.00,621.30,2022-01-01
Skilled trades occupations,1764,561,7.8,588.5,7.1,299.50,400.90,432.00,460.00,510.00,613.90,675.00,715.30,759.10,891.00,2022-01-01
Skilled agricultural and related trades,109,433.4,2.8,444.9,4.3,239.10,369.20,381.70,389.00,419.40,460.30,496.60,519.70,536.60,613.60,2022-01-01
"Skilled metal, electrical and electronic trades",946,639.4,6.6,669.1,5.4,405.00,479.10,508.70,537.30,586.60,689.90,751.70,788.40,833.80,966.50,2022-01-01
Skilled construction and building trades,294,586,4,610.5,3.6,368.60,450.00,480.00,506.00,544.30,625.70,680.00,716.90,759.40,894.40,2022-01-01
"Textiles, printing and other skilled trades",416,425.2,16.3,427.4,15.4,184.00,258.80,296.60,335.20,386.70,460.60,502.40,526.70,556.80,636.20,2022-01-01
"Caring, leisure and other service occupations",2343,348.7,7.6,352,6.1,127.10,199.90,229.90,256.50,305.20,388.10,427.10,452.40,481.00,564.20,2022-01-01
Caring personal service occupations,1923,349.7,7.9,352.6,6.5,134.10,207.80,236.80,261.90,307.90,387.10,425.90,450.10,477.60,559.30,2022-01-01
"Leisure, travel and related personal service occupations",392,333.1,10,340.3,3.9,100.00,158.50,188.80,218.80,273.90,383.20,422.30,448.10,481.10,582.90,2022-01-01
Community and civil enforcement occupations,28,483.9,2.9,471.7,2.6,286.20,372.40,397.80,413.80,449.40,529.50,552.90,564.80,590.30,x,2022-01-01
Sales and customer service occupations,1826,288.7,4.3,316.6,3.6,107.40,155.70,174.80,196.50,238.50,349.90,397.20,419.60,447.30,538.70,2022-01-01
Sales occupations,1325,258.9,3.6,291.1,2.7,99.10,147.00,161.60,180.00,218.30,306.10,363.90,385.00,411.90,497.40,2022-01-01
Customer service occupations,501,391.4,5.7,384.2,3.6,143.30,203.40,235.70,265.80,345.90,423.10,464.20,489.00,520.20,625.60,2022-01-01
"Process, plant and machine operatives",1563,520.7,7.3,556.3,6.6,258.20,378.70,402.20,424.70,470.90,576.50,646.00,688.20,733.50,872.80,2022-01-01
"Process, plant and machine operatives",763,492.7,8.2,526.3,7.1,306.90,380.00,400.00,418.00,450.60,541.00,596.20,630.00,670.60,788.00,2022-01-01
Transport and mobile machine drivers and operatives,800,557.2,8.7,584.9,6.6,218.50,369.70,408.40,437.80,496.50,620.80,701.20,740.50,791.20,944.50,2022-01-01
Elementary occupations,2732,296.8,3.2,313.7,2.6,69.70,116.80,142.10,162.60,222.00,370.50,419.60,448.20,480.40,572.30,2022-01-01
Elementary trades and related occupations,286,434.7,5.7,438.5,2.7,190.00,304.50,346.10,370.50,400.00,467.80,506.30,529.90,560.80,656.70,2022-01-01
Elementary administration and service occupations,2446,266,4.4,299.1,3.6,65.60,109.30,132.00,152.00,201.90,349.30,403.20,431.30,465.70,560.40,2022-01-01
North East,1015,480.8,4.8,541.9,3.9,164.60,270.80,321.60,365.90,418.90,549.70,636.70,688.10,752.50,936.20,2022-01-01
"North East,  Managers, directors and senior officials",79,716.3,14.1,863.9,6.7,334.00,449.50,499.70,525.50,596.20,844.90,977.80,1055.30,1175.30,x,2022-01-01
"North East, Corporate managers and directors",63,767.7,16.6,925.4,6.3,347.70,471.40,514.90,543.90,668.00,916.50,1044.90,1148.70,1354.90,x,2022-01-01
"North East, Other managers and proprietors",17,555.8,-1.2,634.5,0.7,x,379.20,421.20,464.50,511.40,645.10,743.00,x,x,x,2022-01-01
"North East,  Professional occupations",241,693.7,-2,751,1.4,400.20,492.80,535.30,572.20,636.80,759.30,837.90,882.80,952.50,1092.60,2022-01-01
"North East, Science, research, engineering and technology professionals",50,758.2,4.1,780.6,3.9,479.10,563.70,593.60,635.00,679.40,833.90,900.80,946.30,987.00,x,2022-01-01
"North East, Health professionals",77,643.6,-3.7,773,1.6,375.40,463.00,500.90,537.20,583.10,734.00,825.30,895.30,958.80,x,2022-01-01
"North East, Teaching and other educational professionals",56,697.4,-1.5,730.5,-3.4,373.00,517.50,541.60,574.90,640.60,741.50,806.20,852.40,892.60,x,2022-01-01
"North East, Business, media and public service professionals",58,697,3.9,716.1,2.5,361.80,479.60,524.30,569.60,639.50,745.20,798.70,848.90,907.80,x,2022-01-01
"North East,  Associate professional occupations",141,530.8,7.3,577.9,8.1,262.70,383.30,412.10,431.80,491.10,586.60,658.70,703.10,787.80,901.10,2022-01-01
"North East, Science, engineering and technology associate professionals",35,512.7,7.8,560,9.4,x,406.90,421.90,439.60,477.60,540.50,651.50,693.00,720.50,x,2022-01-01
"North East, Health and social care associate professionals",24,409.1,-2.9,426.4,5.8,x,259.20,280.40,307.40,363.90,444.50,507.90,527.30,x,x,2022-01-01
"North East, Protective service occupations",19,788.4,-1.4,754.8,0.4,490.00,576.40,608.90,633.80,692.30,805.00,835.60,865.10,896.40,x,2022-01-01
"North East, Business and public service associate professionals",58,547.4,7.1,605.7,5.2,289.30,402.20,426.40,448.10,503.50,592.20,658.80,690.20,768.20,x,2022-01-01
"North East,  Administrative and secretarial occupations",114,407.3,2.4,412.3,-0.1,184.90,256.20,287.70,318.20,369.20,433.70,479.10,500.10,527.70,634.00,2022-01-01
"North East, Administrative occupations",95,414.2,2.5,427.1,-1,199.80,266.90,305.40,329.50,385.30,447.30,496.80,514.60,536.20,659.20,2022-01-01
"North East, Secretarial and related occupations",19,340.6,15,337.2,12.5,155.80,192.50,215.10,254.40,292.70,367.80,401.40,424.90,448.50,x,2022-01-01
"North East,  Skilled trades occupations",73,517.5,-0.2,559.5,3.3,240.30,374.20,400.00,418.00,474.40,577.10,643.70,683.30,731.00,x,2022-01-01
"North East, Skilled metal, electrical and electronic trades",40,620.1,5,665,7.5,382.70,459.40,479.20,512.10,559.30,682.90,752.10,792.60,860.40,x,2022-01-01
"North East, Skilled construction and building trades",11,565.5,6.1,550.6,-9.6,x,x,444.60,478.50,515.80,600.00,608.60,x,x,x,2022-01-01
"North East, Textiles, printing and other skilled trades",19,395.8,29.9,369.3,18.8,152.00,212.70,237.70,279.00,363.20,411.00,437.60,457.80,x,x,2022-01-01
"North East,  Caring, leisure and other service occupations",90,361.9,11.6,359,10.8,134.90,207.00,238.20,261.80,314.80,390.40,421.00,438.30,467.00,584.40,2022-01-01
"North East, Caring personal service occupations",75,366.2,10,361.8,10.5,132.30,212.70,242.10,271.40,324.20,393.00,421.90,440.40,473.60,589.30,2022-01-01
"North East, Leisure, travel and related personal service occupations",14,286.5,11.8,325.2,10.6,x,153.50,167.70,202.20,254.10,318.10,369.80,x,x,x,2022-01-01
"North East,  Sales and customer service occupations",87,304,12.1,313.5,7.5,107.50,161.10,189.10,207.80,244.70,354.00,396.40,416.30,440.80,517.50,2022-01-01
"North East, Sales occupations",60,259.2,5.4,284.4,3.1,106.00,152.70,170.80,191.70,221.40,311.50,361.60,379.60,402.50,x,2022-01-01
"North East, Customer service occupations",27,393,10.5,377.1,11.5,130.20,214.10,247.70,296.10,348.00,422.80,454.20,487.70,509.50,x,2022-01-01
"North East,  Process, plant and machine operatives",65,529.8,17.1,547.9,12.1,259.80,379.60,399.60,421.10,481.40,577.40,632.70,663.60,703.80,x,2022-01-01
"North East, Process, plant and machine operatives",36,537.3,17.3,535.6,9.2,287.30,382.60,402.10,423.00,482.20,572.40,618.10,637.70,665.60,x,2022-01-01
"North East, Transport and mobile machine drivers and operatives",29,509.3,13,562.9,15.6,x,373.50,390.80,414.50,476.20,581.90,664.00,716.80,781.90,x,2022-01-01
"North East,  Elementary occupations",126,258.3,2.2,290.3,0.7,71.30,110.30,125.90,151.20,198.30,335.60,388.70,413.50,450.10,546.00,2022-01-01
"North East, Elementary trades and related occupations",11,399.9,-5.7,392.2,-9.7,x,x,x,348.60,360.10,433.60,470.70,490.10,x,x,2022-01-01
"North East, Elementary administration and service occupations",115,245.4,10.5,280.5,3.8,69.00,105.40,123.50,144.10,189.90,304.40,380.00,400.00,433.30,536.30,2022-01-01
North West,2840,504.6,5.3,580.9,5.8,180.50,297.60,351.50,383.90,440.00,582.60,681.30,747.10,808.80,1031.80,2022-01-01
"North West, Managers, directors and senior officials",277,787.4,8.8,902,4.5,369.80,479.10,527.20,576.90,670.80,900.90,1030.20,1102.90,1231.50,1535.20,2022-01-01
"North West, Corporate managers and directors",221,841.4,7.1,966.5,3.3,370.70,491.50,563.90,607.90,737.20,964.00,1116.40,1208.10,1341.60,1666.10,2022-01-01
"North West, Other managers and proprietors",57,613.3,7.9,650.5,7,365.40,426.60,461.10,504.30,544.50,676.20,766.50,822.50,874.30,x,2022-01-01
"North West, Professional occupations",722,749,3.1,797.2,5.1,413.50,513.20,552.70,598.40,670.80,816.60,903.20,963.30,1034.90,1234.00,2022-01-01
"North West, Science, research, engineering and technology professionals",159,801,2.4,840.9,1.5,460.00,571.30,606.10,652.40,734.40,884.90,968.90,1035.30,1093.70,1271.80,2022-01-01
"North West, Health professionals",195,716,2.7,803,8,379.80,491.70,526.60,559.70,629.50,771.50,878.50,923.70,1020.60,1303.70,2022-01-01
"North West, Teaching and other educational professionals",177,741.5,4.7,757.7,5.6,379.00,498.20,545.60,591.60,654.70,807.80,887.00,931.80,982.80,1166.10,2022-01-01
"North West, Business, media and public service professionals",192,740.4,4.6,791.4,4.1,424.40,513.60,552.00,596.00,670.80,810.50,903.20,967.00,1035.00,1223.50,2022-01-01
"North West, Associate professional occupations",361,555.8,7.2,604.4,4.8,266.90,394.60,421.60,448.90,497.10,617.30,689.70,735.60,788.20,967.20,2022-01-01
"North West, Science, engineering and technology associate professionals",72,572.5,9.1,606.5,7,336.30,402.50,432.70,451.90,498.00,636.50,690.70,722.40,757.00,x,2022-01-01
"North West, Health and social care associate professionals",62,412.5,2.3,395.9,2.1,x,236.40,266.50,306.80,375.00,439.50,478.40,507.10,536.90,x,2022-01-01
"North West, Protective service occupations",20,717.7,4,735.2,3,481.20,516.00,530.70,558.70,618.60,788.80,834.70,861.20,x,x,2022-01-01
"North West, Culture, media and sports occupations",19,489.6,-6.8,502.7,-7.1,x,x,x,x,x,555.40,626.30,648.50,x,x,2022-01-01
"North West, Business and public service associate professionals",189,610.8,8.9,668,4.7,370.00,441.20,465.90,487.40,548.40,670.80,747.50,786.30,862.40,1058.40,2022-01-01
"North West, Administrative and secretarial occupations",326,419.5,5.7,442.7,6.2,186.20,259.90,305.90,344.30,387.50,463.10,505.50,532.10,565.40,683.70,2022-01-01
"North West, Administrative occupations",272,432.4,5.6,459.8,5.8,199.40,287.50,334.80,363.70,403.60,479.10,522.80,543.60,574.90,706.10,2022-01-01
"North West, Secretarial and related occupations",55,349.5,6.4,357.9,7.9,134.80,206.90,234.70,253.00,300.20,383.30,417.40,433.30,474.40,x,2022-01-01
"North West, Skilled trades occupations",184,558.4,10,579.4,7.7,308.20,407.20,433.10,459.70,511.10,600.00,660.90,696.50,739.10,873.60,2022-01-01
"North West, Skilled agricultural and related trades",10,432.9,-3.6,425,-7.9,x,x,391.30,416.10,423.80,455.30,475.90,492.50,x,x,2022-01-01
"North West, Skilled metal, electrical and electronic trades",105,615.9,6.6,653.9,5.4,407.60,477.10,507.20,528.40,574.90,672.90,726.70,766.30,812.40,946.50,2022-01-01
"North West, Skilled construction and building trades",27,560,5.9,579.4,4.4,331.80,423.10,465.40,514.80,540.70,591.70,645.30,671.70,717.80,x,2022-01-01
"North West, Textiles, printing and other skilled trades",42,428,17,431,19.7,173.20,267.90,306.00,344.90,392.00,459.80,503.80,544.60,567.40,x,2022-01-01
"North West, Caring, leisure and other service occupations",262,348,7.8,345,7.2,128.50,200.70,230.00,260.60,306.20,383.10,418.20,431.70,456.40,541.80,2022-01-01
"North West, Caring personal service occupations",218,352,7.6,349.3,7.4,138.30,209.80,240.50,272.50,313.10,385.10,422.60,435.60,458.30,544.30,2022-01-01
"North West, Leisure, travel and related personal service occupations",41,317.1,10.1,315.7,8,103.50,155.60,183.90,213.00,256.10,356.40,391.50,407.10,420.90,x,2022-01-01
"North West, Sales and customer service occupations",208,311.2,11,332.4,7.7,115.00,164.90,190.30,209.70,256.60,368.40,404.50,423.90,455.40,539.90,2022-01-01
"North West, Sales occupations",143,269.7,6.6,307,6.7,102.70,152.80,172.10,194.10,229.90,323.10,375.60,397.50,420.50,497.00,2022-01-01
"North West, Customer service occupations",65,394.3,5,388.5,4.5,151.50,224.70,256.90,302.90,363.20,421.50,456.00,474.30,510.00,599.60,2022-01-01
"North West, Process, plant and machine operatives",175,497.3,2.2,541,4.5,263.30,363.80,386.00,410.10,449.50,555.20,630.40,671.60,712.80,861.00,2022-01-01
"North West, Process, plant and machine operatives",82,455.5,-1.2,499.8,1.6,266.00,359.00,377.40,396.50,429.90,511.00,562.10,592.20,645.20,764.40,2022-01-01
"North West, Transport and mobile machine drivers and operatives",93,538.3,8,577,7.8,260.70,369.20,401.20,432.10,484.90,607.10,683.80,713.90,765.40,960.50,2022-01-01
"North West, Elementary occupations",326,302.7,11.1,310.5,4.8,70.30,123.30,147.40,169.40,227.80,368.20,415.10,441.20,472.50,555.40,2022-01-01
"North West, Elementary trades and related occupations",33,455.1,13.8,445.3,7.9,197.10,331.60,361.00,375.90,419.40,480.00,508.30,535.90,553.10,x,2022-01-01
"North West, Elementary administration and service occupations",293,268.8,8.9,295.2,4.9,66.70,112.70,139.10,158.40,208.90,351.30,396.70,424.20,452.90,539.10,2022-01-01
Yorkshire and The Humber,2112,496.8,6.6,563.1,4.9,172.50,287.20,343.30,381.80,436.40,567.60,654.50,714.00,780.90,987.70,2022-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",214,719.8,3.1,867.8,3.5,345.00,460.00,495.60,535.00,614.90,843.30,970.40,1054.10,1188.20,1578.70,2022-01-01
"Yorkshire and The Humber, Corporate managers and directors",169,777.6,1.4,923.2,1.9,332.80,475.40,517.50,555.80,651.50,904.60,1042.10,1149.90,1264.90,1703.80,2022-01-01
"Yorkshire and The Humber, Other managers and proprietors",45,593.9,3.3,658.4,9.3,359.10,440.60,460.00,475.90,537.60,639.40,728.40,800.40,842.40,x,2022-01-01
"Yorkshire and The Humber, Professional occupations",497,707.8,1.3,753,2.3,398.70,491.70,528.90,558.80,636.10,773.10,862.40,922.50,987.10,1159.90,2022-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",111,766.6,0.5,810.4,2.2,442.10,536.90,594.00,638.20,700.40,834.80,935.50,1010.80,1056.30,1199.10,2022-01-01
"Yorkshire and The Humber, Health professionals",121,654.9,-2.8,731.2,-1.4,383.80,466.30,494.20,532.40,602.10,744.30,807.20,878.60,954.30,1127.00,2022-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",122,695.1,0.2,715.6,2,324.20,458.40,493.40,529.00,615.30,751.60,813.50,864.50,954.30,1116.90,2022-01-01
"Yorkshire and The Humber, Business, media and public service professionals",143,707.6,5.5,758.8,5.6,425.10,503.10,537.00,565.40,631.70,777.70,862.40,919.10,992.20,1157.90,2022-01-01
"Yorkshire and The Humber, Associate professional occupations",279,549.3,7.3,610.7,7.7,284.30,402.50,424.10,447.10,497.40,611.60,697.20,764.60,805.40,967.60,2022-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",58,543.1,5.5,618.5,5.4,361.60,411.60,438.90,468.10,504.60,614.70,707.80,745.40,797.60,x,2022-01-01
"Yorkshire and The Humber, Health and social care associate professionals",48,424.1,6.3,404.8,3,x,267.10,315.70,345.90,385.80,447.60,475.60,482.80,509.20,x,2022-01-01
"Yorkshire and The Humber, Protective service occupations",26,714.6,-2,721.8,1.3,502.10,554.80,568.10,594.60,667.40,788.30,802.00,815.40,860.50,x,2022-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",16,437.9,-1.3,478.7,6,x,x,x,x,x,475.90,x,x,x,x,2022-01-01
"Yorkshire and The Humber, Business and public service associate professionals",130,606.7,6.1,676.8,7.5,367.80,431.70,460.00,489.60,537.50,666.60,766.10,825.10,882.30,1080.50,2022-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",231,405.8,5.6,414.6,3,161.90,230.30,260.10,301.90,369.90,446.70,488.70,517.40,545.70,649.90,2022-01-01
"Yorkshire and The Humber, Administrative occupations",189,426.7,6,433.8,3,175.80,250.60,295.90,333.40,384.40,463.80,505.80,530.50,560.90,664.50,2022-01-01
"Yorkshire and The Humber, Secretarial and related occupations",42,310,6.9,328.7,5.7,123.60,170.70,194.90,224.40,256.80,372.00,403.00,421.60,451.50,x,2022-01-01
"Yorkshire and The Humber, Skilled trades occupations",154,560.9,7.4,585.6,5.6,308.80,402.50,426.20,448.20,504.00,608.10,667.30,708.70,746.60,884.50,2022-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",87,623.2,3.9,662,3.1,387.20,461.10,495.10,517.50,578.20,676.10,746.00,800.90,844.60,x,2022-01-01
"Yorkshire and The Humber, Skilled construction and building trades",28,577.7,4.1,602.3,4.9,409.70,460.20,479.60,500.00,535.20,607.30,659.10,687.70,717.60,x,2022-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,421,12.7,408.6,11.4,164.60,265.10,291.20,331.80,395.30,439.40,475.90,500.10,538.60,x,2022-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",187,345.4,6.1,341,3.7,119.90,203.60,233.70,258.90,304.10,378.50,411.60,432.10,467.50,535.20,2022-01-01
"Yorkshire and The Humber, Caring personal service occupations",152,347.5,6,346.6,4.3,133.90,222.60,248.20,266.50,307.60,379.60,414.40,435.00,471.80,537.10,2022-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",33,305.3,8.9,310.5,2.4,85.00,133.00,168.10,193.10,237.40,365.50,396.90,419.00,434.40,x,2022-01-01
"Yorkshire and The Humber, Sales and customer service occupations",158,299.8,9.3,316.6,5.8,115.70,163.80,188.30,203.60,247.40,357.90,395.90,412.30,433.00,514.70,2022-01-01
"Yorkshire and The Humber, Sales occupations",112,271.8,8.6,298.3,6.4,106.70,152.00,168.40,189.90,225.60,313.50,375.40,394.70,416.20,495.00,2022-01-01
"Yorkshire and The Humber, Customer service occupations",45,381,5.1,361.7,4,156.70,212.80,231.00,260.70,339.00,404.20,430.00,450.00,471.30,x,2022-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",154,519.2,7.5,558.7,5.5,300.20,389.80,410.70,428.90,472.60,570.00,629.00,670.80,715.20,865.50,2022-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",84,482.3,4.9,508.3,3,295.20,378.10,394.20,413.10,443.00,520.00,570.00,601.00,631.80,732.40,2022-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",70,579.8,10.4,619.4,8.8,318.40,404.30,439.90,467.90,531.30,641.10,717.10,763.70,812.20,x,2022-01-01
"Yorkshire and The Humber, Elementary occupations",239,285.1,-2.3,307.1,-0.1,65.30,112.30,137.60,157.30,212.10,363.40,416.00,441.40,481.40,568.00,2022-01-01
