Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  North East, Science, research, engineering and technology professionals",39,37.4,-0.1,36.4,-3,32.60,36.00,36.50,36.80,37.00,37.50,37.50,37.60,38.60,x,2020-01-01
"  North East, Health professionals",52,37.5,0,33.3,-2.2,18.70,24.00,29.50,30.00,37.00,37.50,37.50,37.60,39.60,x,2020-01-01
"  North East, Teaching and educational professionals",51,32.5,0,29.8,1.3,16.30,x,24.90,27.00,32.40,32.50,32.50,36.00,36.90,x,2020-01-01
"  North East, Business, media and public service professionals",43,37,-0.1,34,-3.1,22.20,32.00,34.90,35.00,36.50,37.00,x,37.50,37.50,x,2020-01-01
"North East,  Associate professional and technical occupations",138,37,0,35,-0.7,22.20,32.40,35.00,35.50,36.90,37.50,37.50,38.80,39.90,41.20,2020-01-01
"  North East, Science, engineering and technology associate professionals",30,37.5,0,38.5,1.2,33.50,36.80,36.90,37.00,37.00,38.00,39.80,40.00,40.00,x,2020-01-01
"  North East, Health and social care associate professionals",18,36.1,1.3,30.8,2.2,x,x,25.40,28.90,31.30,37.00,37.00,x,x,x,2020-01-01
"  North East, Protective service occupations",10,40,0,38.7,-2.8,x,37.20,38.60,39.10,x,40.80,41.80,x,x,x,2020-01-01
"  North East, Culture, media and sports occupations",8,34.9,-0.2,29.1,11,x,x,x,x,x,37.00,x,x,x,x,2020-01-01
"  North East, Business and public service associate professionals",72,37,0,34.8,-1.8,22.90,34.00,35.00,35.00,36.90,37.00,37.50,37.50,38.00,x,2020-01-01
"North East,  Administrative and secretarial occupations",109,36.2,-1.7,31.5,1.6,16.00,22.50,25.50,29.50,34.00,36.90,37.00,37.50,37.50,40.00,2020-01-01
"  North East, Administrative occupations",94,36.9,0,32.2,2.7,16.10,24.00,27.70,30.00,35.00,37.00,37.00,37.50,37.50,40.00,2020-01-01
"  North East, Secretarial and related occupations",15,30,0,27.3,-6.6,x,17.50,19.00,21.60,26.60,30.30,35.00,36.60,37.00,x,2020-01-01
"North East,  Skilled trades occupations",71,38.9,-2.4,37.2,-7.1,29.70,35.80,36.60,37.00,37.50,39.10,40.00,40.50,41.20,x,2020-01-01
"  North East, Skilled metal, electrical and electronic trades",38,39,-4.3,39.2,-8,34.90,37.00,37.50,37.50,38.30,40.00,40.30,41.20,42.20,x,2020-01-01
"  North East, Skilled construction and building trades",14,39,0,37.3,-6,35.00,36.90,37.00,37.40,x,39.00,x,40.00,x,x,2020-01-01
"  North East, Textiles, printing and other skilled trades",16,35.9,-5.3,32.6,-9.7,x,25.20,27.30,29.20,31.00,36.80,39.90,40.00,x,x,2020-01-01
"North East,  Caring, leisure and other service occupations",86,31.5,-2,29.5,-0.6,12.00,18.90,21.10,23.90,29.20,36.00,37.00,37.30,37.50,41.50,2020-01-01
"  North East, Caring personal service occupations",75,32.3,0.2,30.3,1.9,12.00,19.80,22.00,24.20,29.90,36.90,37.00,37.40,37.50,42.30,2020-01-01
"  North East, Leisure, travel and related personal service occupations",11,26.1,-15.5,23.9,-18.1,x,x,x,18.70,22.50,30.00,33.30,36.00,x,x,2020-01-01
"North East,  Sales and customer service occupations",80,29.5,-1.7,26.4,-6.8,11.70,16.00,17.00,19.80,24.00,34.00,36.50,37.00,37.50,39.90,2020-01-01
"  North East, Sales occupations",53,24.6,-2.9,24.6,-5.8,9.20,15.30,16.00,17.00,20.30,29.30,33.40,35.50,36.80,x,2020-01-01
"  North East, Customer service occupations",27,36.1,-2.4,30,-8.5,14.80,22.60,24.70,30.00,34.90,36.90,37.30,37.40,37.50,x,2020-01-01
"North East,  Process, plant and machine operatives",60,39,-2.3,38.4,-4.6,28.60,34.50,36.00,36.90,37.80,39.90,40.70,42.00,43.50,x,2020-01-01
"  North East, Process, plant and machine operatives",33,38,-2.6,37.4,-5.6,30.40,33.70,34.60,36.00,37.40,39.00,40.00,40.00,41.40,x,2020-01-01
"  North East, Transport and mobile machine drivers and operatives",26,39.8,-0.5,39.6,-3.5,20.20,36.00,36.80,37.00,39.00,40.90,43.60,44.90,45.30,x,2020-01-01
"North East,  Elementary occupations",88,24,-9.4,24.6,-6.3,7.50,11.00,12.40,14.40,18.50,32.00,37.00,37.90,39.00,41.00,2020-01-01
"  North East, Elementary trades and related occupations",13,39,0,36.4,-8.5,x,34.00,35.70,37.40,37.70,39.00,x,40.00,x,x,2020-01-01
"  North East, Elementary administration and service occupations",75,20,-12,22.6,-7.9,7.00,10.10,11.60,12.60,16.00,26.70,34.30,37.00,37.50,x,2020-01-01
North West,2653,36.9,-0.2,32.8,-1.3,16.00,24.00,28.00,31.30,35.00,37.40,37.50,39.00,40.00,42.00,2020-01-01
"North West, Managers, directors and senior officials",253,37.5,0,36,-1.1,24.00,34.90,35.00,36.00,37.00,38.00,40.00,40.00,40.00,42.70,2020-01-01
"  North West, Corporate managers and directors",212,37.5,0,35.9,-1,24.00,35.00,35.00,36.00,37.00,37.50,39.90,40.00,40.00,42.50,2020-01-01
"  North West, Other managers and proprietors",40,37.6,0.3,36.5,-1.5,22.80,32.90,35.00,36.00,37.00,40.00,40.00,40.40,42.00,x,2020-01-01
"North West, Professional occupations",603,36.5,-1.1,33.8,0.9,22.50,29.70,32.40,32.50,35.00,37.00,37.50,37.50,37.60,40.00,2020-01-01
"  North West, Science, research, engineering and technology professionals",115,37.5,0,37.4,1.1,34.80,35.00,36.50,37.00,37.00,37.50,38.60,39.90,40.00,41.60,2020-01-01
"  North West, Health professionals",177,37.5,0,34.3,3.1,21.30,26.60,30.00,31.30,37.40,37.50,37.60,39.90,40.00,40.00,2020-01-01
"  North West, Teaching and educational professionals",167,32.4,0,29.3,0.8,17.70,24.30,26.00,27.50,32.40,32.50,32.50,33.10,35.00,37.00,2020-01-01
"  North West, Business, media and public service professionals",145,37,0,35.5,0.3,29.60,34.90,35.00,35.00,36.30,37.00,37.50,x,37.50,40.00,2020-01-01
"North West, Associate professional and technical occupations",399,37,-1.3,35,-3,22.50,34.50,35.00,35.00,36.90,37.50,37.50,39.00,40.00,40.80,2020-01-01
"  North West, Science, engineering and technology associate professionals",69,37.5,0,37.1,-0.7,33.30,35.20,36.20,37.00,37.00,37.50,39.00,40.00,40.00,x,2020-01-01
"  North West, Health and social care associate professionals",51,35,-5,29.6,-3.7,x,18.70,21.70,24.20,30.10,37.00,37.00,37.00,37.50,x,2020-01-01
"  North West, Protective service occupations",30,40,-2.7,40.6,-4,36.20,37.00,39.10,x,40.00,40.50,41.40,42.00,42.50,x,2020-01-01
"  North West, Culture, media and sports occupations",28,35,-6.6,29.1,-10.2,x,x,20.50,24.50,34.80,37.00,37.50,37.50,38.30,x,2020-01-01
"  North West, Business and public service associate professionals",222,37,-0.9,35.5,-1.1,28.00,35.00,35.00,35.00,36.90,37.50,37.50,37.60,39.10,40.00,2020-01-01
"North West, Administrative and secretarial occupations",316,35,-1.1,30.9,-1.7,14.70,21.00,24.00,27.50,33.90,36.90,37.40,37.50,37.50,40.00,2020-01-01
"  North West, Administrative occupations",253,36,-0.8,31.7,-1.5,15.00,22.50,25.00,29.90,35.00,37.00,37.50,37.50,38.00,40.00,2020-01-01
"  North West, Secretarial and related occupations",63,30.1,0,27.7,-2.6,12.00,18.30,20.00,22.40,26.00,35.00,36.50,37.00,37.40,38.20,2020-01-01
"North West, Skilled trades occupations",173,39,-2.5,37.7,-4.9,29.50,36.00,37.00,37.00,37.90,x,40.00,40.50,42.00,45.10,2020-01-01
