Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27498,37,0,33.2,0,15.90,24.10,28.80,32.20,35.00,37.50,38.00,39.80,40.00,43.00,2022-01-01
"Managers, directors and senior officials",2940,37.5,0,36.4,-0.2,27.60,35.00,35.00,35.60,37.00,37.50,39.90,40.00,40.00,43.50,2022-01-01
Corporate managers and directors,2362,37.5,0,36,-0.1,26.60,x,35.00,35.00,37.00,37.50,39.10,40.00,40.00,42.40,2022-01-01
Other managers and proprietors,578,39,0,38.1,0.2,29.50,35.00,36.80,37.00,37.50,40.00,40.00,41.00,42.70,46.00,2022-01-01
Professional occupations,7611,36.9,-0.1,33.7,0.3,21.00,30.00,32.40,33.00,35.00,37.40,37.50,37.50,37.70,40.00,2022-01-01
"Science, research, engineering and technology professionals",1811,37.5,0,37.1,-0.2,34.90,35.80,36.30,37.00,37.10,37.50,37.80,39.10,40.00,40.50,2022-01-01
Health professionals,1880,37.5,0.3,32.8,0.7,16.00,23.00,26.70,30.00,35.70,37.50,37.50,37.50,39.10,41.20,2022-01-01
Teaching and other educational professionals,1781,32.5,0.1,29,-0.9,14.60,22.40,25.00,27.50,32.20,32.50,34.70,35.00,35.00,37.00,2022-01-01
"Business, media and public service professionals",2139,37,0,35.4,0.1,29.90,x,35.00,35.00,36.00,37.40,37.50,37.50,37.60,40.00,2022-01-01
Associate professional occupations,3799,37.4,1,35.6,1.2,24.00,34.90,35.00,35.30,37.00,37.50,39.50,40.00,40.00,42.00,2022-01-01
"Science, engineering and technology associate professionals",774,37.5,0,37.6,0.3,33.00,35.60,36.60,37.00,37.30,37.90,39.90,40.00,40.10,43.40,2022-01-01
Health and social care associate professionals,529,35.3,0.8,31.3,1,16.10,22.80,25.70,29.60,33.90,37.00,37.00,37.40,37.50,39.90,2022-01-01
Protective service occupations,430,40.2,0.5,40.6,1.5,36.90,39.90,x,x,40.00,40.90,42.00,42.30,43.10,46.90,2022-01-01
"Culture, media and sports occupations",221,35,0,28.5,1.7,5.50,12.70,17.50,21.20,31.70,37.00,37.50,37.50,39.80,40.00,2022-01-01
Business and public service associate professionals,1847,37.3,0.8,35.7,0.3,28.00,x,35.00,35.00,37.00,37.50,37.50,38.90,40.00,40.10,2022-01-01
Administrative and secretarial occupations,2920,35,-0.1,30.9,-0.1,14.40,20.70,23.50,26.70,33.00,37.00,37.50,37.50,37.50,40.00,2022-01-01
