Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,22341,25886,3.8,31646,3.2,8628.00,13756.00,16338.00,18349.00,21960.00,30350.00,35753.00,39093.00,42810.00,55798.00,2020-01-01
"Managers, directors and senior officials",2580,41663,2,56030,-0.7,16536.00,24014.00,26870.00,29805.00,35493.00,49079.00,59073.00,65966.00,74613.00,101532.00,2020-01-01
Corporate managers and directors,2176,44625,0.5,59361,-2.1,16746.00,25138.00,28474.00,31654.00,38000.00,52481.00,63644.00,70869.00,79813.00,107198.00,2020-01-01
Other managers and proprietors,404,30843,3.6,38079,11.7,16000.00,21358.00,23411.00,24467.00,27600.00,35347.00,40000.00,42489.00,45477.00,57088.00,2020-01-01
Professional occupations,5353,36897,2,40469,2.2,16836.00,24078.00,26425.00,28732.00,32968.00,40802.00,45487.00,48581.00,52119.00,65265.00,2020-01-01
"  Science, research, engineering and technology professionals",1262,42109,0.5,45505,1.3,23395.00,29758.00,32105.00,34239.00,38000.00,46464.00,51382.00,54347.00,58337.00,70255.00,2020-01-01
Health professionals,1337,31123,1.8,35326,0.5,11646.00,19090.00,21816.00,24117.00,27789.00,34817.00,38974.00,41445.00,44656.00,56746.00,2020-01-01
Teaching and educational professionals,1421,35570,1.4,36170,3.1,14097.00,22178.00,24730.00,26971.00,31664.00,39700.00,42803.00,44946.00,47697.00,56310.00,2020-01-01
"  Business, media and public service professionals",1333,39081,2.8,45446,3.6,20167.00,26708.00,29000.00,31358.00,35363.00,43663.00,49554.00,53070.00,58250.00,74851.00,2020-01-01
Associate professional and technical occupations,3517,31125,1.4,36049,0.7,15063.00,20797.00,22822.00,24597.00,27905.00,34848.00,40000.00,42475.00,45528.00,56797.00,2020-01-01
"  Science, engineering and technology associate professionals",659,29344,1,31361,1.6,17601.00,20930.00,22601.00,23913.00,26743.00,32000.00,35633.00,38028.00,41064.00,47404.00,2020-01-01
Health and social care associate professionals,370,22895,-0.4,23130,0.9,9577.00,14113.00,16155.00,18011.00,20475.00,25271.00,27607.00,28785.00,30280.00,36255.00,2020-01-01
Protective service occupations,322,39259,2.9,37780,1.6,24768.00,28688.00,30457.00,32046.00,34808.00,41183.00,43284.00,44581.00,46105.00,50850.00,2020-01-01
Business and public service associate professionals,1945,33677,1.2,40496,0.3,17654.00,22770.00,24707.00,26631.00,30201.00,38020.00,43385.00,46739.00,51139.00,67276.00,2020-01-01
Administrative and secretarial occupations,2497,19748,2,21367,1,7825.00,10937.00,12500.00,14277.00,17304.00,22036.00,24799.00,26525.00,28359.00,35150.00,2020-01-01
Administrative occupations,2010,20719,2.5,22303,0.9,8351.00,11915.00,13661.00,15600.00,18437.00,22998.00,25681.00,27262.00,29153.00,36009.00,2020-01-01
Secretarial and related occupations,486,15548,-1.2,17497,0.1,6508.00,8852.00,9996.00,11066.00,13064.00,17776.00,20185.00,21752.00,23866.00,30138.00,2020-01-01
Skilled trades occupations,1564,27573,2.3,28973,2.5,14210.00,19040.00,20551.00,22000.00,24831.00,30494.00,33791.00,35731.00,37941.00,44331.00,2020-01-01
Skilled agricultural and related trades,90,20771,3.5,21212,2.1,10861.00,17476.00,18000.00,18591.00,19754.00,22179.00,23990.00,25160.00,26067.00,x,2020-01-01
"  Skilled metal, electrical and electronic trades",858,31803,1.6,33151,1.9,19116.00,23106.00,24782.00,26353.00,29138.00,34532.00,37653.00,39488.00,41680.00,48272.00,2020-01-01
Skilled construction and building trades,260,28954,4.5,29893,4.3,17042.00,21491.00,22930.00,24314.00,26687.00,31136.00,33784.00,35212.00,37270.00,42848.00,2020-01-01
"  Textiles, printing and other skilled trades",357,19841,0.7,20214,-0.3,9600.00,12498.00,14081.00,15373.00,18034.00,21602.00,24000.00,25167.00,26539.00,30480.00,2020-01-01
