Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,23901,25990,,31437,,8788.00,14163.00,16733.00,18722.00,22210.00,30265.00,35567.00,38890.00,42522.00,54657.00,2021-01-01
"Managers, directors and senior officials",2611,40036,,53387,,16884.00,23437.00,26237.00,28866.00,34000.00,46904.00,56253.00,62032.00,70462.00,96381.00,2021-01-01
Corporate managers and directors,2063,44234,,58444,,16975.00,24771.00,28193.00,30850.00,37500.00,52095.00,62005.00,69510.00,77523.00,105000.00,2021-01-01
Other managers and proprietors,549,30400,,34373,,16800.00,20908.00,22502.00,24048.00,27407.00,34107.00,39062.00,41667.00,44208.00,54474.00,2021-01-01
Professional occupations,6295,37757,,41453,,18574.00,25000.00,27489.00,29749.00,33721.00,41520.00,46008.00,48992.00,52353.00,64775.00,2021-01-01
"Science, research, engineering and technology professionals",1472,41552,,45845,,23960.00,29636.00,31716.00,33989.00,37904.00,46000.00,50892.00,53860.00,57505.00,69107.00,2021-01-01
Health professionals,1407,33318,,36778,,14234.00,21337.00,23676.00,25834.00,29999.00,37213.00,41449.00,44177.00,46689.00,57184.00,2021-01-01
Teaching and other educational professionals,1642,36548,,36896,,15481.00,23608.00,25929.00,27930.00,32442.00,40540.00,43741.00,45644.00,48040.00,56160.00,2021-01-01
"Business, media and public service professionals",1773,38933,,45741,,20460.00,26350.00,28812.00,30913.00,34888.00,43166.00,48807.00,52257.00,56245.00,71893.00,2021-01-01
Associate professional occupations,3591,29137,,33590,,13346.00,19503.00,21342.00,23000.00,26127.00,32532.00,36806.00,39716.00,42601.00,52397.00,2021-01-01
"Science, engineering and technology associate professionals",701,28400,,30379,,17211.00,20913.00,22128.00,23598.00,26000.00,30954.00,33904.00,35785.00,38122.00,45598.00,2021-01-01
Health and social care associate professionals,602,20470,,20858,,8755.00,12436.00,13944.00,15501.00,18186.00,22954.00,25248.00,26519.00,27741.00,31375.00,2021-01-01
Protective service occupations,339,39712,,38835,,25139.00,29443.00,31299.00,32827.00,35957.00,41726.00,44309.00,45839.00,47439.00,52389.00,2021-01-01
Business and public service associate professionals,1766,32075,,37620,,17258.00,22072.00,24000.00,25529.00,28841.00,35747.00,40574.00,43618.00,47838.00,61741.00,2021-01-01
Administrative and secretarial occupations,2900,20500,,22091,,8337.00,11647.00,13376.00,15118.00,18180.00,22785.00,25602.00,27362.00,29353.00,35783.00,2021-01-01
Administrative occupations,2390,21316,,22962,,8784.00,12581.00,14586.00,16380.00,19216.00,23569.00,26414.00,28044.00,30000.00,36470.00,2021-01-01
Secretarial and related occupations,509,15974,,18003,,6228.00,8824.00,9868.00,11050.00,13310.00,18397.00,21142.00,22809.00,24574.00,31516.00,2021-01-01
Skilled trades occupations,1549,26606,,27904,,13475.00,18392.00,19862.00,21225.00,24000.00,29454.00,32506.00,34492.00,36510.00,42747.00,2021-01-01
Skilled agricultural and related trades,90,21152,,21422,,x,17378.00,18073.00,18933.00,19761.00,22569.00,24155.00,25150.00,26345.00,x,2021-01-01
"Skilled metal, electrical and electronic trades",821,30654,,31923,,18588.00,22513.00,24169.00,25541.00,28097.00,33056.00,36095.00,37941.00,39975.00,46582.00,2021-01-01
Skilled construction and building trades,272,28682,,29671,,16933.00,21169.00,22911.00,24364.00,26564.00,30890.00,33693.00,35171.00,37232.00,42981.00,2021-01-01
"Textiles, printing and other skilled trades",366,18924,,19162,,8632.00,11533.00,13135.00,14472.00,17161.00,20609.00,22636.00,23815.00,24978.00,29131.00,2021-01-01
"Caring, leisure and other service occupations",1912,15632,,16385,,6152.00,9212.00,10545.00,11723.00,13725.00,17805.00,20034.00,21219.00,22600.00,26564.00,2021-01-01
Caring personal service occupations,1596,15588,,16221,,6289.00,9503.00,10803.00,11900.00,13778.00,17594.00,19788.00,20961.00,22211.00,25987.00,2021-01-01
"Leisure, travel and related personal service occupations",298,15387,,16823,,5610.00,7896.00,8977.00,10228.00,12767.00,18374.00,20823.00,22445.00,23976.00,28740.00,2021-01-01
Community and civil enforcement occupations,19,23691,,23532,,x,19704.00,20097.00,21285.00,22458.00,25334.00,26472.00,27140.00,28323.00,x,2021-01-01
Sales and customer service occupations,1677,14288,,15873,,5508.00,7879.00,8883.00,9950.00,12000.00,16752.00,19029.00,20305.00,21757.00,26836.00,2021-01-01
Sales occupations,1258,13036,,14710,,5213.00,7438.00,8297.00,9186.00,11105.00,15065.00,17522.00,18561.00,19963.00,24517.00,2021-01-01
Customer service occupations,419,19044,,19367,,7017.00,10593.00,12040.00,13619.00,17036.00,20875.00,23280.00,24649.00,26074.00,31319.00,2021-01-01
"Process, plant and machine operatives",1208,24202,,25977,,12800.00,17701.00,18877.00,20021.00,22127.00,26711.00,30000.00,31858.00,33744.00,39460.00,2021-01-01
"Process, plant and machine operatives",563,22985,,24610,,14366.00,17615.00,18490.00,19416.00,21108.00,25167.00,28011.00,29767.00,31704.00,36711.00,2021-01-01
Transport and mobile machine drivers and operatives,646,25513,,27169,,11321.00,17884.00,19479.00,20733.00,23161.00,28267.00,31785.00,33391.00,35305.00,41621.00,2021-01-01
Elementary occupations,2159,15194,,15661,,3202.00,5804.00,6998.00,8297.00,11246.00,18235.00,20767.00,22183.00,24021.00,28674.00,2021-01-01
Elementary trades and related occupations,254,21024,,21734,,11225.00,16405.00,17269.00,18025.00,19466.00,22545.00,24771.00,25850.00,27228.00,31924.00,2021-01-01
Elementary administration and service occupations,1905,13468,,14850,,2954.00,5261.00,6439.00,7471.00,10007.00,17111.00,19935.00,21391.00,23311.00,28068.00,2021-01-01
North East,822,23273,,26631,,8747.00,13504.00,15863.00,17489.00,20266.00,26755.00,31000.00,33768.00,36736.00,45993.00,2021-01-01
"North East,  Managers, directors and senior officials",70,31515,,41872,,16347.00,20247.00,22501.00,24132.00,27515.00,40873.00,46997.00,50091.00,54162.00,x,2021-01-01
"North East, Corporate managers and directors",52,33643,,45270,,17040.00,20887.00,23530.00,25200.00,27684.00,44224.00,50021.00,53613.00,61989.00,x,2021-01-01
"North East, Other managers and proprietors",18,28409,,32235,,x,17952.00,19913.00,22507.00,25421.00,32190.00,38720.00,x,x,x,2021-01-01
"North East,  Professional occupations",183,35558,,38019,,18917.00,24879.00,27000.00,29000.00,32455.00,38618.00,42292.00,45019.00,48077.00,x,2021-01-01
