Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,23385,31602,7.1,38224,8,11004.00,17995.00,21216.00,23541.00,27440.00,36538.00,42519.00,46084.00,50344.00,65227.00,2024-01-01
"Managers, directors and senior officials",2697,48962,7.1,68086,9.9,21545.00,29900.00,32586.00,35852.00,42040.00,57469.00,68638.00,76324.00,85588.00,115378.00,2024-01-01
Corporate managers and directors,2134,54424,7.8,74798,10.3,22255.00,31435.00,35238.00,39128.00,46533.00,63915.00,76867.00,84758.00,94245.00,126002.00,2024-01-01
Other managers and proprietors,562,37057,7.1,42603,8,19984.00,26176.00,28266.00,30221.00,33521.00,40800.00,45374.00,48337.00,51381.00,62456.00,2024-01-01
Professional occupations,6744,43010,6.1,47666,7.5,21292.00,28825.00,31519.00,34091.00,38572.00,47504.00,52960.00,56266.00,60630.00,74507.00,2024-01-01
"Science, research, engineering and technology professionals",1639,48654,6.2,54842,8.7,28283.00,34565.00,37087.00,39183.00,44037.00,54080.00,60195.00,64023.00,68250.00,82300.00,2024-01-01
Health professionals,1696,38455,7.3,41762,5.8,14196.00,24103.00,27260.00,29937.00,34494.00,42545.00,47333.00,50104.00,53305.00,64388.00,2024-01-01
Teaching and other educational professionals,1490,40812,6.6,41009,7.1,17491.00,26242.00,29258.00,31652.00,36463.00,44985.00,48473.00,50750.00,53836.00,63379.00,2024-01-01
"Business, media and public service professionals",1919,44469,5.7,51920,8.1,24119.00,30000.00,32582.00,35360.00,39997.00,49779.00,56337.00,60533.00,65590.00,80879.00,2024-01-01
Associate professional occupations,3606,33521,4.2,38370,4.4,16191.00,23048.00,25153.00,26803.00,30041.00,37427.00,42366.00,45367.00,49124.00,60946.00,2024-01-01
"Science, engineering and technology associate professionals",689,33193,4.9,35764,5.6,21363.00,25209.00,26535.00,27908.00,30461.00,36401.00,40240.00,42580.00,44852.00,53097.00,2024-01-01
Health and social care associate professionals,574,24633,7.1,24649,6.8,11548.00,15516.00,17491.00,19290.00,22265.00,26787.00,29402.00,30669.00,32157.00,36573.00,2024-01-01
Protective service occupations,350,44571,4.7,43416,5.4,28420.00,32741.00,34859.00,36915.00,40374.00,47573.00,50067.00,51091.00,53331.00,58974.00,2024-01-01
"Culture, media and sports occupations",207,26185,2.1,34392,2.6,3813.00,8659.00,12089.00,15927.00,21788.00,29880.00,34346.00,36400.00,40000.00,48968.00,2024-01-01
Business and public service associate professionals,1786,36356,3.4,43258,4.1,19714.00,25480.00,27260.00,29203.00,32741.00,40913.00,46498.00,50275.00,55341.00,72991.00,2024-01-01
Administrative and secretarial occupations,2388,24954,8.9,25512,8.1,9741.00,13984.00,16271.00,18644.00,22400.00,27331.00,30240.00,31924.00,34221.00,41168.00,2024-01-01
Administrative occupations,1968,25763,8.8,26384,8,10348.00,15188.00,17902.00,20116.00,23508.00,28149.00,30941.00,32669.00,35030.00,41982.00,2024-01-01
