Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,22389,27774,6.9,33449,6.4,9600.00,15551.00,18200.00,20223.00,23939.00,32313.00,37818.00,41056.00,44786.00,57191.00,2022-01-01
"Managers, directors and senior officials",2576,42186,5.4,57889,8.4,17739.00,24911.00,27549.00,30361.00,36123.00,49329.00,59205.00,65140.00,73546.00,100000.00,2022-01-01
Corporate managers and directors,2070,46000,4,62728,7.3,17518.00,26000.00,29225.00,32452.00,39463.00,54033.00,64629.00,71694.00,80000.00,107836.00,2022-01-01
Other managers and proprietors,506,32706,7.6,38084,10.8,18078.00,23041.00,24362.00,25892.00,29176.00,36855.00,41166.00,43400.00,46433.00,57511.00,2022-01-01
Professional occupations,6296,38610,2.3,42144,1.7,18559.00,25440.00,28000.00,30408.00,34500.00,42253.00,47036.00,49869.00,53419.00,64972.00,2022-01-01
"Science, research, engineering and technology professionals",1493,42907,3.3,46917,2.3,24475.00,30706.00,33000.00,35147.00,39271.00,47284.00,52281.00,55624.00,59412.00,70754.00,2022-01-01
Health professionals,1513,33935,1.9,37044,0.7,13446.00,21344.00,24002.00,26177.00,30496.00,38168.00,42138.00,44948.00,47941.00,56901.00,2022-01-01
Teaching and other educational professionals,1560,36961,1.1,37351,1.2,15282.00,23359.00,26043.00,28708.00,33133.00,40725.00,44075.00,46350.00,48840.00,57151.00,2022-01-01
"Business, media and public service professionals",1730,39853,2.4,46806,2.3,21485.00,27259.00,29717.00,31839.00,35881.00,44164.00,49691.00,53324.00,57355.00,72731.00,2022-01-01
Associate professional occupations,3116,31160,6.9,35383,5.3,15093.00,21149.00,23139.00,24920.00,27966.00,34895.00,39772.00,42421.00,45457.00,56000.00,2022-01-01
"Science, engineering and technology associate professionals",651,29952,5.5,32034,5.4,18927.00,22129.00,23615.00,25042.00,27393.00,32789.00,35953.00,37853.00,39996.00,46916.00,2022-01-01
