Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
Protective service occupations,323,40,-0.5,40.1,-1.3,35.60,37.90,39.90,x,40.00,40.70,41.90,42.10,42.80,45.90,2023-01-01
"Culture, media and sports occupations",252,35,0,28.1,-1.4,5.20,12.00,15.00,20.00,32.00,37.00,37.50,37.50,39.00,40.00,2023-01-01
Business and public service associate professionals,2198,37,-0.8,35.7,-0.1,28.00,35.00,35.00,35.00,36.90,37.50,37.50,38.90,40.00,40.00,2023-01-01
Administrative and secretarial occupations,2984,35,0.1,30.9,0,14.30,20.70,23.50,27.00,33.80,37.00,37.50,37.50,37.50,40.00,2023-01-01
Administrative occupations,2449,36.1,0.2,31.5,0.1,15.00,22.00,25.00,29.90,35.00,37.00,37.50,37.50,37.60,40.00,2023-01-01
Secretarial and related occupations,535,30.1,-0.1,27.9,-0.7,11.50,17.00,19.90,21.30,25.10,35.00,36.80,37.10,37.50,40.00,2023-01-01
Skilled trades occupations,1700,40,0,38.8,-1.2,27.50,36.00,37.00,37.30,38.70,40.00,41.90,42.80,44.30,48.00,2023-01-01
Skilled agricultural and related trades,107,39,2.6,37,1.6,22.50,35.00,36.80,37.00,37.30,40.00,40.00,40.50,42.20,45.00,2023-01-01
"Skilled metal, electrical and electronic trades",874,40,0,40.7,-1,35.10,37.00,37.50,37.90,39.40,40.50,42.50,43.60,45.00,48.80,2023-01-01
Skilled construction and building trades,299,40,0,39.9,-1.3,35.00,37.00,37.30,37.70,39.30,40.00,42.00,42.60,44.20,48.00,2023-01-01
"Textiles, printing and other skilled trades",420,37.4,-0.1,34.7,-1.6,17.90,24.10,27.70,30.50,35.00,39.50,40.00,41.40,43.20,47.40,2023-01-01
"Caring, leisure and other service occupations",2288,31,0.1,29.3,-0.4,11.10,17.90,20.00,22.50,27.50,35.00,37.30,37.50,38.20,42.70,2023-01-01
Caring personal service occupations,1897,31,1,29.5,-0.1,11.50,18.20,20.80,23.00,27.50,34.90,37.20,37.50,37.90,43.10,2023-01-01
"Leisure, travel and related personal service occupations",373,30,-2.9,28.1,-1.5,9.30,15.90,17.90,20.00,25.00,35.50,37.30,37.50,39.00,40.70,2023-01-01
Community and civil enforcement occupations,18,37,0,34.7,-2,x,31.80,35.00,35.90,36.90,37.00,37.00,37.80,39.10,x,2023-01-01
Sales and customer service occupations,1646,26.7,-3,26.6,-1.2,10.30,15.20,16.50,18.50,22.10,32.00,36.30,37.30,37.60,40.00,2023-01-01
Sales occupations,1244,24,-2.8,25.2,-1.5,9.70,14.00,15.90,16.90,20.20,28.80,33.90,36.60,37.50,40.00,2023-01-01
Customer service occupations,402,35,0,30.8,1.8,15.00,20.00,22.80,25.60,32.90,36.90,37.50,37.50,38.00,40.00,2023-01-01
"Process, plant and machine operatives",1244,40,0,40.1,0.2,23.90,35.00,37.00,37.50,39.00,42.00,44.80,46.00,48.00,53.00,2023-01-01
"Process, plant and machine operatives",580,39.8,-0.3,38.8,-0.8,27.60,36.00,37.00,37.40,38.40,40.00,41.90,42.50,44.00,48.40,2023-01-01
Transport and mobile machine drivers and operatives,664,41.9,0.4,41.2,0.9,21.50,34.50,37.00,38.00,40.00,44.80,47.30,48.10,50.00,56.30,2023-01-01
Elementary occupations,2828,28.5,-2.1,27.2,-1.6,7.10,11.60,14.00,16.00,21.00,35.30,37.50,39.40,40.00,44.40,2023-01-01
Elementary trades and related occupations,299,39.1,-1.1,37.1,-0.9,19.10,31.30,34.50,36.10,37.50,40.00,41.50,42.50,44.50,49.00,2023-01-01
Elementary administration and service occupations,2529,25.2,-3.1,26,-1.5,6.70,10.70,12.90,15.00,19.90,32.90,37.20,38.30,40.00,43.60,2023-01-01
North East,1007,37,0.3,32.9,0.4,16.00,24.00,27.90,31.30,35.00,37.40,37.50,38.60,39.90,42.00,2023-01-01
"North East,  Managers, directors and senior officials",80,37.5,0,35.9,-0.2,24.30,34.80,35.00,36.90,37.00,37.60,39.00,40.00,40.00,x,2023-01-01
"North East, Corporate managers and directors",59,37.5,0,36,0.7,27.00,35.00,35.00,37.00,37.00,37.50,39.00,39.90,40.00,x,2023-01-01
"North East, Other managers and proprietors",21,37.5,0,35.6,-3.5,23.00,30.50,33.60,36.20,37.00,39.00,x,40.00,40.00,x,2023-01-01
"North East,  Professional occupations",252,37,0.3,33.8,0.1,21.90,30.00,32.40,33.30,36.10,37.40,37.50,37.50,37.50,39.90,2023-01-01
"North East, Science, research, engineering and technology professionals",52,37.5,0,37.1,-1.1,33.20,35.90,36.50,36.90,37.30,37.50,37.50,37.60,39.10,x,2023-01-01
"North East, Health professionals",86,37.4,,33.5,0.3,18.70,24.00,30.00,32.90,37.30,37.50,37.50,37.50,37.50,40.60,2023-01-01
"North East, Teaching and other educational professionals",47,32.5,-0.1,29.3,-1.8,16.70,21.90,24.90,26.00,32.40,32.50,33.10,35.00,37.00,x,2023-01-01
"North East, Business, media and public service professionals",67,37,0,35,-0.1,25.30,35.00,35.00,35.00,36.90,37.00,37.50,37.50,37.50,x,2023-01-01
"North East,  Associate professional occupations",156,37,0,35.3,0.4,22.50,33.50,35.00,36.50,37.00,37.40,37.60,39.00,39.90,41.50,2023-01-01
"North East, Science, engineering and technology associate professionals",37,37.3,-0.2,37.2,0.9,33.40,36.80,36.90,37.00,37.00,37.50,38.90,39.60,40.00,x,2023-01-01
"North East, Health and social care associate professionals",26,36.9,2.3,31.5,3.3,16.00,21.00,25.00,29.50,35.00,37.00,37.00,37.00,37.40,x,2023-01-01
"North East, Protective service occupations",17,40,-0.3,40.8,-0.3,37.00,x,x,x,x,40.80,42.00,42.40,42.50,x,2023-01-01
"North East, Business and public service associate professionals",71,37,0,35.3,1.8,28.70,33.40,35.00,35.00,36.90,37.00,37.50,37.50,37.80,x,2023-01-01
"North East,  Administrative and secretarial occupations",118,36.8,1.7,31.5,-0.2,16.00,22.50,25.00,28.60,34.50,37.00,37.40,37.50,37.50,39.90,2023-01-01
"North East, Administrative occupations",99,36.9,0.1,32.3,0.9,18.30,24.00,26.50,30.00,35.00,37.00,37.40,37.50,37.50,40.00,2023-01-01
"North East, Secretarial and related occupations",20,30,-8.4,27.6,-5.7,11.80,17.20,20.60,22.40,25.20,34.90,36.00,36.70,37.40,x,2023-01-01
"North East,  Skilled trades occupations",70,38.9,-0.1,38.4,0.3,28.60,36.80,37.00,37.20,37.80,39.70,40.00,41.80,42.70,47.50,2023-01-01
"North East, Skilled metal, electrical and electronic trades",36,39.6,-0.4,40.9,-0.7,36.60,37.50,37.50,38.00,38.80,40.00,41.90,42.80,44.00,x,2023-01-01
"North East, Skilled construction and building trades",14,39,,38.7,2.3,36.50,x,x,37.00,37.50,39.00,39.80,x,40.70,x,2023-01-01
"North East, Textiles, printing and other skilled trades",17,37,3.4,33.8,1.5,x,21.30,24.00,28.70,33.60,38.40,39.80,40.00,41.80,x,2023-01-01
"North East,  Caring, leisure and other service occupations",89,33.2,2.5,31,1.4,14.40,22.00,23.90,25.10,30.10,36.90,37.00,37.50,37.70,42.50,2023-01-01
"North East, Caring personal service occupations",74,33.4,2.5,31.7,1.8,15.00,22.50,24.00,26.10,31.10,36.90,37.40,37.50,38.50,43.80,2023-01-01
"North East, Leisure, travel and related personal service occupations",14,30.1,6.6,27.5,3.4,x,16.00,16.60,20.10,24.60,36.00,36.90,37.00,37.30,x,2023-01-01
"North East,  Sales and customer service occupations",75,26,-9.8,26.6,-2.1,12.00,16.00,17.20,19.50,22.00,31.70,36.00,36.90,37.50,40.00,2023-01-01
"North East, Sales occupations",52,23.5,-4.9,25,-2.6,11.30,15.60,16.00,17.50,20.30,27.10,32.00,35.00,37.20,40.00,2023-01-01
"North East, Customer service occupations",23,35,0,30.3,-0.8,15.10,20.00,20.90,24.00,30.00,36.90,37.20,37.40,37.50,x,2023-01-01
"North East,  Process, plant and machine operatives",55,40,1.3,40.6,0.7,26.50,36.80,37.00,37.50,39.00,41.40,43.00,45.00,46.80,53.10,2023-01-01
"North East, Process, plant and machine operatives",29,39.9,2.6,39.8,2.7,35.00,37.20,37.50,37.50,38.90,40.00,41.70,42.00,43.00,x,2023-01-01
"North East, Transport and mobile machine drivers and operatives",26,40.5,-1.6,41.4,-1.6,24.70,32.00,35.40,37.00,39.20,43.50,46.10,48.00,48.60,x,2023-01-01
"North East,  Elementary occupations",111,25.3,0.4,25.6,-1.9,6.50,11.00,12.50,15.00,20.00,31.70,37.00,37.60,39.20,42.30,2023-01-01
"North East, Elementary trades and related occupations",13,38.6,2.1,36.1,4.1,x,33.40,35.00,36.20,37.50,39.30,40.00,41.60,x,x,2023-01-01
"North East, Elementary administration and service occupations",99,22.4,-6.6,24.3,-3.6,6.20,10.00,12.00,13.80,18.00,29.50,35.10,37.00,38.30,41.40,2023-01-01
North West,2904,37,0,33.3,-0.3,16.00,25.00,29.80,32.50,35.00,37.50,37.50,39.00,40.00,42.50,2023-01-01
"North West, Managers, directors and senior officials",279,37.5,0,36.4,-0.7,28.00,35.00,35.00,36.20,37.00,37.80,39.90,40.00,40.00,43.00,2023-01-01
"North West, Corporate managers and directors",221,37.5,-0.1,35.9,-1.2,26.00,35.00,35.00,35.90,37.00,37.50,39.10,40.00,40.00,42.00,2023-01-01
"North West, Other managers and proprietors",58,38.9,-0.2,38.6,0.4,30.10,35.00,36.50,37.00,37.50,40.00,40.00,40.60,42.50,x,2023-01-01
"North West, Professional occupations",794,37,0.3,34.5,0.5,23.60,32.20,32.50,34.90,36.00,37.50,37.50,37.50,37.80,40.00,2023-01-01
"North West, Science, research, engineering and technology professionals",187,37.5,0,37.4,-0.4,34.50,36.00,36.80,37.00,37.40,37.50,38.00,39.00,40.00,40.70,2023-01-01
"North West, Health professionals",242,37.5,-0.1,33.9,-1.6,19.00,27.00,30.00,34.00,37.50,37.50,37.50,37.50,38.00,41.00,2023-01-01
"North West, Teaching and other educational professionals",153,32.5,0.3,29.6,-0.2,16.50,24.70,27.50,28.00,32.40,32.50,34.00,35.00,35.00,37.00,2023-01-01
"North West, Business, media and public service professionals",213,37,0,36,0.4,31.90,x,35.00,35.00,36.80,37.50,37.50,37.50,38.00,40.00,2023-01-01
"North West, Associate professional occupations",418,37,-0.3,35,-0.1,23.00,33.30,35.00,35.00,36.90,37.50,37.60,38.80,39.90,40.70,2023-01-01
"North West, Science, engineering and technology associate professionals",88,37.5,0,37.1,-1.6,31.50,35.00,36.20,37.00,37.00,37.50,39.00,40.00,40.00,x,2023-01-01
"North West, Health and social care associate professionals",66,35,0,31,2.7,16.00,22.40,25.00,28.00,32.50,36.70,37.00,37.40,37.50,x,2023-01-01
"North West, Protective service occupations",20,40,-3.9,41,-3.9,36.10,37.50,37.80,39.90,x,40.60,42.00,42.10,42.70,x,2023-01-01
"North West, Culture, media and sports occupations",27,35,-1.7,28.6,0.2,x,x,17.90,x,32.10,36.30,37.50,x,37.50,x,2023-01-01
"North West, Business and public service associate professionals",217,37.3,-0.1,35.7,0.3,28.30,34.90,35.00,35.00,36.90,37.50,37.50,38.70,39.90,40.00,2023-01-01
"North West, Administrative and secretarial occupations",335,36,0,31.7,0.1,15.90,22.50,25.40,30.00,35.00,37.00,37.50,37.50,37.60,40.00,2023-01-01
"North West, Administrative occupations",277,36.8,0.8,32.4,0.4,16.00,24.00,28.00,32.00,35.00,37.00,37.50,37.50,38.40,40.00,2023-01-01
"North West, Secretarial and related occupations",58,30.1,-3.1,28.5,-0.7,14.00,18.90,20.40,22.50,26.00,35.00,36.80,37.50,37.50,39.00,2023-01-01
"North West, Skilled trades occupations",181,39.9,0,39,-0.2,28.10,36.50,37.00,37.50,38.80,40.00,41.50,42.70,44.50,48.00,2023-01-01
"North West, Skilled agricultural and related trades",11,37.5,-0.3,37.1,4.1,x,34.80,36.00,37.00,37.30,40.00,40.00,41.80,x,x,2023-01-01
"North West, Skilled metal, electrical and electronic trades",99,40,0,40.5,-0.4,36.00,37.40,37.50,38.00,39.20,40.20,42.00,43.10,44.80,48.20,2023-01-01
"North West, Skilled construction and building trades",31,39.9,1.8,39.7,0.9,34.50,36.80,37.00,37.50,39.00,x,40.00,41.90,43.60,x,2023-01-01
"North West, Textiles, printing and other skilled trades",40,37.5,-3.8,35.3,-2,18.40,24.00,28.00,30.00,36.30,39.80,40.50,42.20,44.80,x,2023-01-01
"North West, Caring, leisure and other service occupations",252,32,2.1,29.7,0.4,11.80,18.50,21.00,23.30,28.10,35.00,37.50,37.50,38.30,42.00,2023-01-01
"North West, Caring personal service occupations",214,32,1.6,29.9,-0.1,12.00,18.70,21.00,23.60,28.20,35.00,37.50,37.50,38.00,42.50,2023-01-01
"North West, Leisure, travel and related personal service occupations",37,32.9,9.7,28.6,2.9,9.60,15.70,19.60,22.20,27.20,36.50,37.50,38.00,38.90,x,2023-01-01
"North West, Sales and customer service occupations",187,28.9,-3.7,27.5,-2.5,12.00,16.10,17.90,20.00,23.80,33.80,36.90,37.50,37.80,40.00,2023-01-01
"North West, Sales occupations",138,25.5,-3.7,26.1,-2.2,10.70,15.50,16.60,18.40,21.50,30.00,35.00,37.00,37.50,40.00,2023-01-01
"North West, Customer service occupations",49,35,0,31.4,0.2,15.60,20.10,23.40,27.60,33.90,37.00,37.50,37.50,38.40,40.10,2023-01-01
"North West, Process, plant and machine operatives",135,40,0,40.3,1.5,26.70,35.00,36.80,37.40,38.90,42.00,44.90,46.00,47.70,52.30,2023-01-01
"North West, Process, plant and machine operatives",59,39,0,38.3,1,28.30,35.00,36.20,37.00,37.50,40.00,40.40,41.50,42.80,48.00,2023-01-01
"North West, Transport and mobile machine drivers and operatives",76,42.5,2.9,41.8,1.3,25.60,35.80,37.00,38.00,40.00,45.00,47.10,48.00,50.00,55.60,2023-01-01
"North West, Elementary occupations",324,28.3,-5.7,27.2,-2.6,7.20,11.80,13.90,16.00,21.20,35.20,37.50,39.10,40.00,44.30,2023-01-01
"North West, Elementary trades and related occupations",30,38.9,-0.1,36.7,-1.6,18.00,28.60,34.70,36.10,37.50,40.00,42.50,43.90,45.00,x,2023-01-01
"North West, Elementary administration and service occupations",294,26.3,-2.8,26.2,-2.6,6.90,10.90,13.10,15.00,19.90,33.50,37.20,38.30,40.00,43.70,2023-01-01
Yorkshire and The Humber,2133,37,0,33.2,-0.2,15.50,24.00,29.00,32.00,35.00,37.50,38.00,39.80,40.00,42.90,2023-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",208,37.5,0,36.3,-0.6,26.70,35.00,35.00,36.50,37.00,37.50,39.80,40.00,40.00,42.50,2023-01-01
"Yorkshire and The Humber, Corporate managers and directors",163,37.5,0,35.8,-0.2,25.00,34.90,35.00,36.00,37.00,37.50,39.00,39.90,40.00,41.50,2023-01-01
"Yorkshire and The Humber, Other managers and proprietors",45,37.6,-5.5,38,-1.9,30.50,35.00,36.50,37.00,37.50,39.90,40.00,40.80,42.00,x,2023-01-01
"Yorkshire and The Humber, Professional occupations",513,37,0,34.2,0.8,22.50,32.00,32.50,34.50,35.00,37.30,37.50,37.50,37.90,40.00,2023-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",131,37.5,0,37.5,0.5,34.90,35.00,36.20,36.90,37.00,37.50,38.00,39.50,40.00,40.40,2023-01-01
"Yorkshire and The Humber, Health professionals",114,37.5,-0.1,32.7,-2,15.20,24.00,28.40,30.00,35.60,37.50,37.50,37.70,39.60,40.20,2023-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",114,32.5,0,30,1.5,17.10,24.20,27.40,29.90,32.40,32.50,35.00,36.80,37.00,x,2023-01-01
"Yorkshire and The Humber, Business, media and public service professionals",155,37,0,35.6,0.4,29.50,35.00,x,35.00,36.90,37.30,37.50,x,37.50,40.00,2023-01-01
"Yorkshire and The Humber, Associate professional occupations",330,37,-1.1,35,-0.8,21.80,32.40,35.00,35.00,37.00,37.50,38.70,x,40.00,41.90,2023-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",66,37.5,0,37.6,-1.1,30.60,35.00,36.60,37.00,37.00,38.60,40.00,40.00,40.80,x,2023-01-01
"Yorkshire and The Humber, Health and social care associate professionals",57,35,-3,30.8,-2.2,15.10,21.90,25.30,29.90,32.50,36.90,x,x,37.00,x,2023-01-01
"Yorkshire and The Humber, Protective service occupations",30,40,,40.3,1.7,37.00,38.90,x,x,x,40.00,41.30,42.00,43.20,x,2023-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",16,33,-5.7,24.9,-7.3,x,x,x,x,x,35.30,37.40,37.50,x,x,2023-01-01
"Yorkshire and The Humber, Business and public service associate professionals",161,37.3,-0.4,35.5,-0.5,24.00,34.50,35.00,36.20,37.00,37.50,37.50,39.00,40.00,40.00,2023-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",223,35,0.1,30.7,-0.2,13.80,20.00,23.00,26.20,32.70,37.00,37.40,37.50,37.50,40.00,2023-01-01
"Yorkshire and The Humber, Administrative occupations",182,36.6,1,31.8,0.8,14.80,22.40,25.00,30.00,35.00,37.00,37.50,37.50,37.70,40.00,2023-01-01
"Yorkshire and The Humber, Secretarial and related occupations",41,27.8,-3.4,25.8,-4.6,8.90,15.00,16.90,18.80,22.40,30.70,35.00,36.60,37.00,x,2023-01-01
"Yorkshire and The Humber, Skilled trades occupations",151,40,0,40.2,0.5,32.00,37.00,37.00,37.50,39.30,41.00,42.80,44.00,45.00,49.10,2023-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",84,40,0,41.7,-0.5,35.90,37.50,38.20,39.00,40.00,42.00,43.70,45.00,46.30,51.50,2023-01-01
"Yorkshire and The Humber, Skilled construction and building trades",28,40,0,41.1,-2.1,37.00,37.00,37.50,39.00,39.80,40.00,42.50,42.90,44.00,x,2023-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,37.5,0,35.9,3.2,17.70,26.80,31.70,34.60,36.80,40.00,41.50,42.80,44.10,x,2023-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",184,30.8,-2.4,29.2,-0.2,12.00,18.60,21.30,23.60,27.60,34.50,37.00,37.50,37.50,41.20,2023-01-01
"Yorkshire and The Humber, Caring personal service occupations",155,31.1,-2.1,29.4,-0.9,13.50,19.10,22.00,24.00,27.70,34.50,37.00,37.50,37.50,41.40,2023-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",28,30,0.3,28,3.1,11.20,16.10,18.80,20.30,26.20,33.00,37.00,37.50,39.00,x,2023-01-01
"Yorkshire and The Humber, Sales and customer service occupations",145,27.6,-1.9,26.8,-2.4,10.00,15.90,16.60,18.40,22.50,32.00,36.50,37.40,38.00,40.00,2023-01-01
"Yorkshire and The Humber, Sales occupations",107,24.3,-5.3,25.2,-4,9.20,13.80,16.00,16.50,20.00,29.40,33.80,36.50,37.50,40.00,2023-01-01
"Yorkshire and The Humber, Customer service occupations",38,35,0,31.3,2.9,16.40,21.00,24.00,26.90,32.90,37.00,37.50,37.70,39.10,x,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",125,40,0,41.2,0.6,28.50,36.00,37.40,38.00,39.50,42.00,45.00,47.00,48.70,55.00,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",64,39.3,-0.1,38.7,0.4,27.60,35.00,36.10,37.30,38.00,40.00,41.40,42.50,43.80,49.10,2023-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",61,42.5,-3.4,43.9,-0.1,29.80,37.50,39.00,39.90,40.40,45.50,48.90,50.50,52.50,59.30,2023-01-01
"Yorkshire and The Humber, Elementary occupations",255,28.2,0.8,27.1,0.1,7.50,11.50,13.80,16.00,21.00,35.00,37.50,39.20,40.00,44.20,2023-01-01
"Yorkshire and The Humber, Elementary trades and related occupations",30,39,-1.3,36.7,2,19.90,32.00,34.30,35.60,37.50,40.00,40.10,40.80,42.30,x,2023-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",225,24.3,-1,25.9,-0.6,7.20,10.60,12.50,15.00,19.50,32.00,37.30,38.10,40.00,43.50,2023-01-01
East Midlands,1858,37,0,32.9,-1.1,14.30,22.50,27.50,30.60,35.00,37.50,39.00,40.00,40.00,43.60,2023-01-01
"East Midlands, Managers, directors and senior officials",170,37.5,0,36.3,0.2,24.00,35.00,35.00,36.80,37.20,38.90,40.00,40.00,40.00,44.30,2023-01-01
"East Midlands, Corporate managers and directors",126,37.5,0,35.7,-0.3,24.00,34.90,35.00,36.40,37.00,37.50,39.60,40.00,40.00,42.10,2023-01-01
"East Midlands, Other managers and proprietors",44,39.9,2,37.9,0.7,24.70,35.40,37.00,37.00,37.70,40.00,40.00,41.40,43.50,x,2023-01-01
"East Midlands, Professional occupations",416,37,0,33.7,-0.6,20.70,29.30,32.50,32.50,35.40,37.40,37.50,37.50,39.00,40.00,2023-01-01
"East Midlands, Science, research, engineering and technology professionals",110,37.5,0,37.9,-0.1,35.00,36.90,37.00,37.00,37.40,37.50,39.70,40.00,40.00,41.20,2023-01-01
"East Midlands, Health professionals",94,37.3,-0.1,31.7,-5,15.00,22.50,24.00,27.80,34.30,37.50,37.50,37.50,38.50,40.30,2023-01-01
"East Midlands, Teaching and other educational professionals",97,32.5,,29.3,0,15.10,22.10,26.00,27.50,32.10,32.50,32.50,33.90,37.00,37.00,2023-01-01
"East Midlands, Business, media and public service professionals",115,37,0,35,-0.4,24.00,34.50,35.00,35.00,37.00,37.50,x,37.50,38.80,40.00,2023-01-01
"East Midlands, Associate professional occupations",275,37.4,-0.3,34.9,-2,21.00,32.50,35.00,36.10,37.00,37.50,39.80,x,40.00,41.70,2023-01-01
"East Midlands, Science, engineering and technology associate professionals",62,37.5,0,38,1.2,33.70,36.90,x,37.00,37.50,39.00,40.00,40.00,40.90,x,2023-01-01
"East Midlands, Health and social care associate professionals",42,36.7,-0.6,30.4,-6.5,x,21.00,22.80,26.80,30.30,x,37.00,37.30,37.50,x,2023-01-01
"East Midlands, Protective service occupations",24,40,0,39.6,0.6,35.00,37.00,38.60,39.90,x,40.00,40.40,41.50,42.00,x,2023-01-01
"East Midlands, Culture, media and sports occupations",18,34.3,-7,25.9,-14.7,x,x,x,x,x,35.00,37.00,37.50,x,x,2023-01-01
"East Midlands, Business and public service associate professionals",130,37.4,-0.3,35.2,-1.3,24.00,34.50,35.00,36.20,37.00,37.50,38.90,39.90,40.00,40.00,2023-01-01
"East Midlands, Administrative and secretarial occupations",201,35,0.1,30.3,-0.3,13.00,20.00,22.30,24.80,30.10,37.00,37.40,37.50,38.00,40.00,2023-01-01
"East Midlands, Administrative occupations",166,36.7,0.5,30.8,-1,12.80,20.00,22.50,26.60,33.60,37.00,37.50,37.50,38.50,40.00,2023-01-01
"East Midlands, Secretarial and related occupations",35,29.9,6.9,28.1,3.7,13.80,18.20,20.00,21.20,24.60,34.00,36.70,37.00,37.50,x,2023-01-01
"East Midlands, Skilled trades occupations",146,39.8,-0.5,38.5,-2.4,25.00,36.00,37.00,37.00,38.10,40.00,42.00,43.30,44.90,48.60,2023-01-01
"East Midlands, Skilled agricultural and related trades",6,38.3,1.9,36.4,-0.2,x,x,x,36.20,37.40,40.00,41.90,x,x,x,2023-01-01
"East Midlands, Skilled metal, electrical and electronic trades",81,40,0,41.1,-0.6,36.30,37.00,37.50,38.00,39.60,41.30,43.10,44.30,45.50,49.40,2023-01-01
"East Midlands, Skilled construction and building trades",22,40,0,39.6,-4.7,32.30,37.00,x,37.00,38.30,40.00,42.50,44.60,45.20,x,2023-01-01
"East Midlands, Textiles, printing and other skilled trades",36,37,-0.9,32.5,-4.4,15.00,19.30,24.00,26.80,32.10,38.20,39.50,40.00,40.20,x,2023-01-01
"East Midlands, Caring, leisure and other service occupations",161,30.4,-0.3,28.7,-1.8,10.10,17.30,20.00,22.20,26.60,34.00,37.00,37.40,37.70,42.40,2023-01-01
"East Midlands, Caring personal service occupations",137,31.2,3,29,-0.9,10.50,18.00,20.00,22.80,27.50,34.00,37.00,37.50,37.80,42.70,2023-01-01
"East Midlands, Leisure, travel and related personal service occupations",23,25.4,-16.3,26.3,-6.5,x,15.00,16.10,19.10,22.50,31.20,37.00,37.30,37.50,x,2023-01-01
"East Midlands, Sales and customer service occupations",109,26.9,-2.6,26.5,-0.8,10.00,15.10,16.50,19.00,22.50,31.60,36.40,37.30,37.50,40.00,2023-01-01
"East Midlands, Sales occupations",82,24.4,-6.2,25.2,-2.4,9.50,14.30,15.90,16.90,20.50,29.60,33.50,36.30,37.50,40.00,2023-01-01
"East Midlands, Customer service occupations",27,35,12.2,30.5,5.8,14.10,20.10,23.20,25.00,31.90,37.00,37.50,x,37.50,x,2023-01-01
"East Midlands, Process, plant and machine operatives",117,40,0,40.5,0.7,24.60,35.40,37.00,37.50,39.80,42.10,44.90,46.50,48.00,54.00,2023-01-01
"East Midlands, Process, plant and machine operatives",60,40,0.5,39.1,-0.4,29.90,36.00,37.00,37.40,39.00,40.10,42.00,43.40,44.30,48.00,2023-01-01
"East Midlands, Transport and mobile machine drivers and operatives",57,42.5,0.5,41.9,1.1,21.10,33.50,37.00,39.00,40.00,45.40,48.00,49.50,51.60,57.90,2023-01-01
"East Midlands, Elementary occupations",264,32.5,-0.3,28.4,-1.1,6.80,11.40,14.60,17.10,23.80,37.10,39.30,40.00,40.00,45.00,2023-01-01
"East Midlands, Elementary trades and related occupations",32,39.9,1.6,38.8,1.8,22.80,34.50,36.60,37.30,38.00,40.00,42.40,43.80,45.20,x,2023-01-01
"East Midlands, Elementary administration and service occupations",232,29.6,0.3,26.9,-1.3,6.40,10.10,12.50,15.90,20.40,36.40,38.00,39.90,40.00,44.00,2023-01-01
