Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27645,37,0,33.1,-0.4,15.30,24.00,29.10,32.40,35.00,37.50,37.60,39.30,40.00,42.50,2023-01-01
"Managers, directors and senior officials",2903,37.5,0,36.3,-0.1,28.00,35.00,35.00,35.00,37.00,37.50,39.90,40.00,40.00,42.50,2023-01-01
Corporate managers and directors,2294,37.5,-0.1,36,0,28.00,35.00,35.00,35.00,37.00,37.50,39.10,40.00,40.00,42.00,2023-01-01
Other managers and proprietors,609,38,-2.6,37.6,-1.2,28.00,35.00,36.10,36.90,37.50,40.00,40.00,40.00,42.00,45.50,2023-01-01
Professional occupations,7810,37,0.3,33.8,0.3,21.00,30.10,32.50,34.50,35.00,37.50,37.50,37.50,37.90,40.00,2023-01-01
"Science, research, engineering and technology professionals",1941,37.5,0,37.2,0.3,34.50,35.00,36.80,37.00,37.30,37.50,38.00,39.70,40.00,40.20,2023-01-01
Health professionals,1940,37.5,-0.1,32.1,-2,14.30,22.50,25.90,30.00,35.50,37.50,37.50,37.50,38.20,40.00,2023-01-01
Teaching and other educational professionals,1590,32.5,0,29.1,0.5,14.30,22.20,25.00,27.50,32.40,32.50,35.00,35.00,36.00,37.00,2023-01-01
"Business, media and public service professionals",2339,37,0,35.5,0.3,30.00,35.00,x,35.00,36.00,37.40,37.50,37.50,37.90,40.00,2023-01-01
Associate professional occupations,4242,37,-1.1,35.2,-1.2,22.50,34.00,35.00,35.00,36.90,37.50,38.30,39.90,40.00,41.60,2023-01-01
"Science, engineering and technology associate professionals",846,37.5,0,37.2,-1,32.00,35.00,36.30,37.00,37.00,37.50,39.80,40.00,40.00,42.80,2023-01-01
Health and social care associate professionals,622,35,-0.8,31,-0.8,16.00,22.10,25.00,29.30,33.10,36.90,37.00,37.10,37.50,39.30,2023-01-01
