Date,Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile
2023-01-01,Scotland,2307,587.4,11.6,663.3,11.3,198.10,336.90,399.00,437.80,510.70,680.60,792.70,858.40,919.30,1169.00
2023-01-01,South East,3846,592.9,8,680.1,7.8,195.20,337.10,402.50,444.10,516.50,685.70,802.90,868.40,954.20,1218.90
2023-01-01,South West,2370,539,7.8,607.8,7.7,180.80,299.90,366.20,413.40,478.40,622.90,720.40,780.30,845.20,1064.80
2023-01-01,United Kingdom,27645,574.9,7.7,669.9,7.5,195.50,330.10,393.80,432.40,502.00,665.50,775.60,840.10,919.90,1182.70
2023-01-01,Wales,1211,536.6,7.9,590.6,7.8,184.20,312.60,376.40,413.60,469.70,611.50,705.00,766.60,824.10,1025.60
2023-01-01,West Midlands,2284,552.9,6.9,630,8,194.40,323.40,384.20,421.60,483.10,633.80,736.60,795.40,863.10,1074.20
2023-01-01,Yorkshire and The Humber,2133,536.6,8,604.6,7.4,188.80,312.60,373.80,414.00,473.50,613.30,705.30,768.70,837.20,1058.80
2024-01-01,East,2478,590.4,5.5,683.5,8.4,192.00,312.80,380.20,440.00,512.70,680.40,792.20,862.40,943.80,1195.90
2024-01-01,East Midlands,1871,565.1,7.2,629,6.7,191.30,322.40,393.70,442.00,500.00,635.80,730.60,792.10,862.00,1079.00
2024-01-01,London,4382,789.4,6.4,968.4,6.9,263.10,476.70,529.70,579.20,681.00,915.30,1073.40,1177.30,1303.00,1725.50
2024-01-01,North East,947,556.3,7.1,619.6,6.8,201.10,325.70,391.20,440.80,495.60,630.00,717.00,776.20,847.60,1046.20
2024-01-01,North West,2931,593.5,7.5,677.2,8,223.00,363.80,428.00,460.20,526.70,678.30,785.80,848.00,924.30,1164.00
2024-01-01,Northern Ireland,1043,560.5,7.3,624,4.2,183.00,317.20,385.80,437.60,499.70,637.80,735.80,787.60,837.40,1054.10
2024-01-01,Scotland,2422,612.3,4.2,686.1,3.4,213.60,357.80,425.70,467.40,536.30,705.70,818.60,883.40,934.90,1174.00
2024-01-01,South East,3901,633.5,6.9,724.9,6.6,214.60,373.00,437.30,479.10,552.00,728.30,847.50,919.90,1002.20,1289.00
2024-01-01,South West,2309,575.6,6.8,643.6,5.9,193.30,330.50,399.00,446.00,508.10,661.80,753.80,816.00,881.60,1111.30
2024-01-01,United Kingdom,27882,613.3,6.7,715.5,6.8,214.10,360.00,429.00,466.40,536.60,704.30,818.60,887.50,967.30,1249.30
2024-01-01,Wales,1217,565.4,5.4,619.4,4.9,199.10,336.80,399.00,443.70,496.30,641.20,737.80,798.70,859.20,1036.80
2024-01-01,West Midlands,2204,582.4,5.3,666.8,5.8,210.60,352.20,416.80,456.00,514.50,669.40,766.10,829.10,898.50,1132.50
2024-01-01,Yorkshire and The Humber,2178,574.9,7.1,649.9,7.5,221.50,358.40,418.50,454.70,511.10,652.80,751.00,814.50,883.70,1099.10
