Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27882,37,-0.1,33.1,-0.1,15.30,24.10,29.30,32.40,35.00,37.50,37.60,39.10,40.00,42.30,2024-01-01
"Managers, directors and senior officials",3035,37.5,0,36.3,0,28.70,35.00,35.00,35.60,37.00,37.50,39.90,40.00,40.00,42.50,2024-01-01
Corporate managers and directors,2386,37.5,0,36,0.1,28.30,x,35.00,35.00,37.00,37.50,39.10,40.00,40.00,41.40,2024-01-01
Other managers and proprietors,649,37.7,-0.8,37.5,-0.4,29.30,35.00,36.00,37.00,37.50,39.90,40.00,40.00,41.40,45.00,2024-01-01
Professional occupations,7930,36.9,-0.2,33.6,-0.7,21.00,30.00,32.50,34.00,35.00,37.40,37.50,37.50,37.60,40.00,2024-01-01
"Science, research, engineering and technology professionals",1892,37.5,0,37,-0.5,35.00,35.40,36.50,37.00,37.10,37.50,37.90,38.80,39.90,40.00,2024-01-01
Health professionals,2068,37.4,-0.2,32.2,0,15.00,22.70,25.80,30.00,35.00,37.50,37.50,37.50,37.80,40.00,2024-01-01
Teaching and other educational professionals,1725,32.5,0,29,-0.4,14.30,22.10,25.00,27.50,32.40,32.50,35.00,35.00,35.50,37.00,2024-01-01
"Business, media and public service professionals",2245,37,0,35.5,-0.1,30.00,35.00,35.00,35.00,36.10,37.40,37.50,37.50,37.90,40.00,2024-01-01
Associate professional occupations,4329,37,0.1,35,-0.4,22.40,34.00,35.00,35.00,36.90,37.50,38.00,39.90,40.00,41.10,2024-01-01
"Science, engineering and technology associate professionals",810,37.5,0,37.3,0.2,32.50,35.00,36.40,36.90,37.00,37.50,39.10,40.00,40.00,42.50,2024-01-01
Health and social care associate professionals,679,35,0,31.4,1,16.40,22.50,25.30,29.50,34.00,36.90,37.00,37.40,37.50,39.90,2024-01-01
Protective service occupations,407,40,0,40.1,0,36.00,37.90,39.90,x,40.00,40.40,41.90,42.20,43.00,46.20,2024-01-01
"Culture, media and sports occupations",283,35,0,27.4,-2.5,4.60,9.70,13.80,18.70,29.80,37.00,37.50,37.50,38.60,40.00,2024-01-01
Business and public service associate professionals,2150,37,0,35.4,-0.7,27.00,35.00,35.00,35.00,36.90,37.50,37.50,38.00,39.90,40.00,2024-01-01
Administrative and secretarial occupations,2776,35,0,31,0.4,14.90,21.00,24.00,27.80,34.00,37.00,37.50,37.50,37.50,40.00,2024-01-01
Administrative occupations,2286,36.1,0,31.7,0.5,15.00,22.40,25.50,30.00,35.00,37.00,37.50,37.50,37.70,40.00,2024-01-01
Secretarial and related occupations,490,30,-0.2,27.8,-0.4,11.30,16.90,19.80,21.40,25.00,35.00,36.80,37.10,37.50,39.90,2024-01-01
Skilled trades occupations,1686,40,0,38.9,0.1,27.50,36.00,37.00,37.40,38.60,40.00,42.00,43.00,44.60,48.00,2024-01-01
Skilled agricultural and related trades,103,38.3,-1.8,36.2,-2.1,20.70,33.00,35.90,36.80,37.40,40.00,40.00,40.50,41.50,45.00,2024-01-01
"Skilled metal, electrical and electronic trades",870,40,0,40.8,0.2,35.80,37.00,37.50,37.90,39.20,40.70,42.50,44.00,45.00,48.90,2024-01-01
Skilled construction and building trades,298,40,0,39.9,0.1,35.00,37.00,37.50,38.00,39.70,40.00,42.00,42.80,44.30,48.00,2024-01-01
"Textiles, printing and other skilled trades",415,37.5,0.1,34.9,0.4,17.90,24.80,28.00,30.60,35.00,39.90,40.10,41.80,43.50,48.00,2024-01-01
"Caring, leisure and other service occupations",2429,31.5,1.6,29.6,1.2,11.20,18.00,20.50,22.90,27.80,35.00,37.40,37.50,38.60,43.50,2024-01-01
Caring personal service occupations,2021,31.5,1.6,29.9,1.4,11.50,18.50,21.00,23.00,28.00,35.00,37.40,37.50,38.60,44.20,2024-01-01
"Leisure, travel and related personal service occupations",386,30,0,28,-0.1,9.70,15.50,17.50,20.00,25.00,35.40,37.40,37.50,39.00,40.50,2024-01-01
