Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27498,14.79,4.8,18.75,4.4,9.80,10.55,11.05,11.63,13.01,17.06,20.00,21.75,23.88,30.36,2022-01-01
"Managers, directors and senior officials",2940,22.12,5.8,27.96,5.6,11.53,13.93,15.09,16.36,19.21,25.64,30.57,33.67,37.79,50.38,2022-01-01
Corporate managers and directors,2362,24.57,4.7,30.37,4.2,12.00,14.98,16.52,18.15,21.15,28.2,33.58,36.97,40.89,53.29,2022-01-01
Other managers and proprietors,578,15.97,6.2,18.68,8.2,10.73,12.00,12.68,13.31,14.55,17.89,19.94,21.32,22.95,27.55,2022-01-01
Professional occupations,7611,22.18,1.9,24.14,2.1,13.62,16.35,17.38,18.36,20.29,24.27,26.58,27.96,29.72,35.69,2022-01-01
"Science, research, engineering and technology professionals",1811,22.37,3.4,24.04,3.1,13.37,16.12,17.28,18.21,20.37,24.49,27.22,28.64,30.56,35.78,2022-01-01
Health professionals,1880,20.61,2.4,22.88,1.7,13.81,16.17,16.84,17.57,19.41,22.41,24.34,25.51,27.14,33.14,2022-01-01
Teaching and other educational professionals,1781,24.5,2.5,25.19,1.8,15.14,18.09,19.32,20.46,22.68,26.06,28.11,29.39,31.03,36.07,2022-01-01
"Business, media and public service professionals",2139,21.59,2.4,24.54,2.3,13.00,15.51,16.73,17.67,19.71,23.86,26.37,28.02,29.80,36.43,2022-01-01
Associate professional occupations,3799,15.95,4.9,18.48,2,10.68,12.04,12.68,13.24,14.55,17.56,19.70,20.72,22.15,27.16,2022-01-01
"Science, engineering and technology associate professionals",774,15,4.7,16.34,3.7,10.53,11.70,12.26,12.77,13.71,16.35,17.85,18.66,19.73,22.92,2022-01-01
Health and social care associate professionals,529,12.87,4.1,13.99,6,9.84,10.59,11.01,11.38,12.16,13.71,14.82,15.44,16.12,18.32,2022-01-01
Protective service occupations,430,19.71,0,19.36,2.6,12.99,14.79,15.33,16.18,17.99,20.57,21.71,22.49,23.21,25.17,2022-01-01
"Culture, media and sports occupations",221,14.16,7.1,18.1,,9.89,10.70,11.28,11.9,12.99,15.59,17.54,18.59,20.16,25.86,2022-01-01
Business and public service associate professionals,1847,17.17,3.2,20.37,3.5,11.18,12.77,13.42,14.19,15.59,18.91,21.15,22.75,25.01,32.48,2022-01-01
Administrative and secretarial occupations,2920,12.62,4.7,14.34,3.1,9.90,10.42,10.79,11.07,11.75,13.58,14.71,15.50,16.58,20.64,2022-01-01
Administrative occupations,2396,12.91,4.6,14.59,3.1,10.00,10.66,11.01,11.27,12.02,13.9,15.02,15.93,16.97,21.17,2022-01-01
Secretarial and related occupations,524,11.28,4.3,13.06,3.4,9.54,9.98,10.05,10.26,10.72,12.19,13.10,13.71,14.62,17.82,2022-01-01
Skilled trades occupations,1764,13.76,7.9,14.98,7,9.81,10.68,11.12,11.68,12.66,15,16.29,17.09,17.96,20.67,2022-01-01
Skilled agricultural and related trades,109,11.54,6.1,12.23,5.3,9.59,10.00,10.20,10.44,10.95,12.02,12.61,13.13,13.73,15.72,2022-01-01
"Skilled metal, electrical and electronic trades",946,15.45,6.6,16.3,5.8,10.60,12.09,12.73,13.3,14.43,16.54,17.85,18.45,19.41,22.24,2022-01-01
Skilled construction and building trades,294,14.5,5.1,15.13,4.4,10.07,11.50,12.02,12.5,13.61,15.32,16.35,17.04,17.82,20.28,2022-01-01
"Textiles, printing and other skilled trades",416,11,11.8,12.12,13.3,9.50,9.77,9.98,10.01,10.57,11.58,12.30,12.75,13.22,15.15,2022-01-01
"Caring, leisure and other service occupations",2343,11.12,7.1,11.97,6,9.55,9.97,10.07,10.25,10.63,11.69,12.48,12.97,13.59,15.56,2022-01-01
Caring personal service occupations,1923,11.16,7,11.95,6.3,9.64,10.00,10.15,10.33,10.7,11.75,12.54,13.02,13.65,15.59,2022-01-01
"Leisure, travel and related personal service occupations",392,10.68,6.8,11.96,4.1,9.50,9.55,9.75,9.97,10.22,11.24,11.93,12.39,13.06,15.00,2022-01-01
Community and civil enforcement occupations,28,13.23,4.3,13.33,4,9.92,10.54,10.81,11.5,12.42,14.14,15.05,15.40,15.69,x,2022-01-01
Sales and customer service occupations,1826,10.41,4.2,11.76,3.7,9.49,9.58,9.73,9.88,10.04,10.9,11.49,11.96,12.57,14.84,2022-01-01
Sales occupations,1325,10.19,4.3,11.35,2.6,9.47,9.50,9.67,9.78,10,10.54,11.03,11.38,11.81,13.66,2022-01-01
Customer service occupations,501,11.36,8.5,12.69,5.5,9.50,9.83,10.00,10.22,10.79,12.05,13.01,13.61,14.42,16.97,2022-01-01
"Process, plant and machine operatives",1563,12.46,8.5,13.91,7.9,9.70,10.25,10.57,10.96,11.65,13.36,14.50,15.18,16.10,18.88,2022-01-01
"Process, plant and machine operatives",763,12.15,8.6,13.45,8.3,9.61,10.11,10.44,10.72,11.41,13.06,14.10,14.83,15.75,18.57,2022-01-01
Transport and mobile machine drivers and operatives,800,12.71,8.7,14.33,7.9,9.75,10.40,10.81,11.17,11.92,13.69,14.84,15.50,16.40,19.19,2022-01-01
Elementary occupations,2732,10.18,6.4,11.38,5.6,8.94,9.50,9.50,9.61,9.91,10.71,11.35,11.82,12.41,13.95,2022-01-01
Elementary trades and related occupations,286,10.79,7.6,11.73,6,9.50,9.68,9.90,10,10.38,11.34,12.00,12.29,12.76,14.66,2022-01-01
Elementary administration and service occupations,2446,10.1,6.3,11.32,5.7,8.72,x,9.50,9.59,9.88,10.62,11.24,11.71,12.33,13.84,2022-01-01
