Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
North East,1015,13.33,4.7,16.51,4.6,9.59,10.09,10.47,10.93,11.89,15.04,17.38,18.78,20.38,25.48,2022-01-01
"North East,  Managers, directors and senior officials",79,19.38,11.5,23.99,7.6,10.75,12.50,13.41,14.39,16.44,22.98,26.60,28.09,31.77,x,2022-01-01
"North East, Corporate managers and directors",63,21.26,12.3,25.86,7.4,11.00,12.93,14.37,15,18.38,24.6,27.99,30.58,35.97,x,2022-01-01
"North East, Other managers and proprietors",17,14.6,2.3,17.21,0.5,x,10.81,11.44,12.03,13.44,16.15,19.00,x,x,x,2022-01-01
"North East,  Professional occupations",241,20.33,1.1,22.22,0.8,13.38,15.83,16.60,17.4,18.89,22.13,24.17,25.30,26.86,32.21,2022-01-01
"North East, Science, research, engineering and technology professionals",50,20.04,1.7,20.82,1.5,12.66,15.66,16.75,17.23,18.37,22.3,23.51,24.54,26.06,x,2022-01-01
"North East, Health professionals",77,20,0.8,23.13,1.3,13.56,15.83,16.29,17,18.41,21.86,23.66,24.49,25.28,x,2022-01-01
"North East, Teaching and other educational professionals",56,22.87,-3.3,24.53,-2.7,14.81,17.98,18.56,18.88,21.02,24.78,28.45,29.71,31.62,x,2022-01-01
"North East, Business, media and public service professionals",58,19.33,4.2,20.49,2.1,12.30,14.28,15.33,16.19,17.88,20.54,22.06,23.14,25.47,x,2022-01-01
"North East,  Associate professional occupations",141,14.44,5.7,16.47,8.6,10.21,11.34,11.89,12.33,13.35,15.86,17.48,18.51,19.97,23.16,2022-01-01
"North East, Science, engineering and technology associate professionals",35,13.61,6.9,15.17,6.6,10.27,11.27,11.44,12.04,12.94,14.46,16.13,17.40,18.35,x,2022-01-01
"North East, Health and social care associate professionals",24,12.35,1.8,13.98,7.8,9.67,10.21,10.66,11.07,11.66,12.93,14.25,15.13,15.81,x,2022-01-01
"North East, Protective service occupations",19,19.64,6.3,18.45,1.3,12.30,14.29,14.91,15.17,17.14,19.97,20.46,20.80,21.38,x,2022-01-01
"North East, Business and public service associate professionals",58,15.45,10,17.46,8.9,10.43,11.70,12.16,12.96,14.01,16.67,17.80,19.35,21.11,x,2022-01-01
"North East,  Administrative and secretarial occupations",114,11.73,2.3,13.05,0.9,9.78,10.31,10.59,10.83,11.15,12.77,13.80,14.23,14.70,17.31,2022-01-01
"North East, Administrative occupations",95,12.04,2.6,13.34,0.7,9.99,10.58,10.84,11.01,11.46,13.32,14.05,14.30,15.00,17.76,2022-01-01
"North East, Secretarial and related occupations",19,10.53,6.1,11.49,6.9,9.50,9.62,9.75,9.9,10.16,11.02,11.54,11.95,12.44,x,2022-01-01
"North East,  Skilled trades occupations",73,13.3,1.2,14.61,3.2,9.51,10.04,10.50,11,12.23,14.61,16.21,16.68,17.50,x,2022-01-01
"North East, Skilled metal, electrical and electronic trades",40,15.3,5.3,16.15,6.6,10.33,11.89,12.41,13.1,13.79,16.48,17.60,18.37,19.03,x,2022-01-01
"North East, Skilled construction and building trades",11,14.53,1.4,14.56,-5,x,10.81,11.38,12.76,13.72,15.06,16.35,16.52,x,x,2022-01-01
"North East, Textiles, printing and other skilled trades",19,10.3,12,11.08,10,x,9.50,9.53,9.75,10,10.76,11.01,11.50,12.39,x,2022-01-01
"North East,  Caring, leisure and other service occupations",90,10.73,7.3,11.75,10,9.50,9.79,9.93,10,10.36,11.14,11.83,12.39,12.90,15.17,2022-01-01
"North East, Caring personal service occupations",75,10.8,7.9,11.62,9.4,9.51,9.87,10.00,10.09,10.45,11.2,11.89,12.40,12.90,x,2022-01-01
"North East, Leisure, travel and related personal service occupations",14,10,4.9,12.2,12.3,x,9.50,9.71,9.78,9.92,10.4,11.20,x,x,x,2022-01-01
"North East,  Sales and customer service occupations",87,10.35,4.6,11.54,6.6,9.50,9.65,9.78,9.9,10.08,10.75,11.40,11.66,12.09,14.39,2022-01-01
"North East, Sales occupations",60,10.14,4.6,11.08,2.8,9.50,9.52,9.73,9.8,10,10.35,10.89,11.18,11.52,x,2022-01-01
"North East, Customer service occupations",27,11.27,11.1,12.38,13,9.50,9.81,10.11,10.38,10.65,11.65,12.87,13.33,13.91,x,2022-01-01
"North East,  Process, plant and machine operatives",65,12.24,13,13.59,11.7,9.60,10.10,10.45,10.89,11.48,13.4,14.28,15.17,16.14,x,2022-01-01
"North East, Process, plant and machine operatives",36,13.09,17.7,13.79,10.6,9.73,10.24,10.76,11.15,11.96,13.91,15.16,15.87,16.89,x,2022-01-01
"North East, Transport and mobile machine drivers and operatives",29,11.59,8.4,13.37,12.8,9.52,9.90,10.29,10.52,11.14,12.34,13.52,13.96,14.92,x,2022-01-01
"North East,  Elementary occupations",126,9.98,4.4,11.14,6.6,8.00,x,9.50,9.51,9.78,10.25,10.97,11.50,12.20,13.60,2022-01-01
"North East, Elementary trades and related occupations",11,10.29,-2,11.31,1.6,x,9.50,9.55,9.73,10,11.01,11.65,12.21,x,x,2022-01-01
"North East, Elementary administration and service occupations",115,9.94,4.5,11.12,7.7,8.00,x,9.50,9.5,9.77,10.18,10.90,11.39,12.07,13.59,2022-01-01
North West,2840,13.81,4.6,17.4,5,9.69,10.25,10.67,11.12,12.31,15.93,18.62,20.22,22.22,28.20,2022-01-01
"North West, Managers, directors and senior officials",277,20.75,8,24.56,3.8,10.99,13.29,14.29,15.32,18.2,23.77,27.52,29.25,32.93,41.90,2022-01-01
"North West, Corporate managers and directors",221,22.31,3.9,26.66,2.4,11.50,14.13,15.46,16.74,19.55,26.05,29.45,32.78,36.34,45.88,2022-01-01
"North West, Other managers and proprietors",57,15.14,5.3,16.88,6.5,10.23,11.59,12.45,12.94,13.74,17.84,19.82,21.04,21.85,x,2022-01-01
"North West, Professional occupations",722,21.55,2.9,23.23,4.2,13.27,16.12,16.86,17.81,19.86,23.71,26.25,27.45,29.12,34.86,2022-01-01
"North West, Science, research, engineering and technology professionals",159,21.33,1.7,22.43,2.3,12.60,15.56,16.60,17.4,19.25,23.43,25.76,26.93,28.66,33.20,2022-01-01
"North West, Health professionals",195,20.23,1.9,23.38,6.8,14.02,16.17,16.59,17.48,19.31,22.04,24.15,25.50,27.37,34.98,2022-01-01
"North West, Teaching and other educational professionals",177,24.58,1.6,25.52,5.2,15.14,17.53,19.05,20.15,22.88,26.75,28.67,30.03,32.22,37.90,2022-01-01
"North West, Business, media and public service professionals",192,20.4,3.5,22.05,3.2,12.18,14.57,15.89,16.94,18.64,22.42,24.97,26.32,28.05,33.07,2022-01-01
"North West, Associate professional occupations",361,15.04,4.8,17.22,4.5,10.25,11.46,11.88,12.47,13.58,16.67,18.43,19.76,20.84,25.55,2022-01-01
"North West, Science, engineering and technology associate professionals",72,14.01,3,16.09,5.4,10.19,11.02,11.62,11.98,12.98,16.19,17.45,18.51,19.94,x,2022-01-01
"North West, Health and social care associate professionals",62,11.8,0.6,13.09,6.4,9.65,10.06,10.35,10.54,11.38,12.74,13.71,14.67,15.10,x,2022-01-01
"North West, Protective service occupations",20,16.91,-7.7,17.23,-5.7,11.88,12.58,13.34,14.01,15.03,18.24,19.80,19.96,21.83,x,2022-01-01
"North West, Culture, media and sports occupations",19,14.14,2.8,17.65,-1,10.21,10.85,11.38,11.9,12.73,15.71,17.63,18.57,x,x,2022-01-01
"North West, Business and public service associate professionals",189,16.67,5.5,18.79,4.3,10.98,12.30,13.07,13.75,15.09,18.34,20.31,21.34,22.80,28.72,2022-01-01
"North West, Administrative and secretarial occupations",326,12.32,7.2,13.96,5.2,9.90,10.36,10.71,11.01,11.49,13.29,14.28,14.90,15.91,19.78,2022-01-01
"North West, Administrative occupations",272,12.63,6.6,14.23,5.2,10.00,10.54,10.96,11.13,11.67,13.66,14.43,15.34,16.44,20.52,2022-01-01
"North West, Secretarial and related occupations",55,11.09,8.1,12.48,5.3,9.57,9.97,10.00,10.16,10.53,11.53,12.72,13.05,13.66,x,2022-01-01
"North West, Skilled trades occupations",184,13.8,10.2,14.8,6.9,9.79,10.62,11.11,11.68,12.7,14.85,16.19,16.99,17.89,20.71,2022-01-01
"North West, Skilled agricultural and related trades",10,11.69,5.1,11.92,0.5,x,9.87,10.13,10.26,11.2,11.83,12.46,12.69,x,x,2022-01-01
"North West, Skilled metal, electrical and electronic trades",105,15.02,3.9,16.07,5.2,10.60,12.08,12.72,13.22,14.23,16.32,17.61,18.20,19.17,22.66,2022-01-01
"North West, Skilled construction and building trades",27,14.43,10,14.75,6.1,9.99,11.53,12.24,12.79,13.8,15.08,16.20,16.90,17.69,x,2022-01-01
"North West, Textiles, printing and other skilled trades",42,11,12.4,11.96,13.9,9.50,9.79,x,10,10.5,11.5,12.00,12.32,13.01,x,2022-01-01
"North West, Caring, leisure and other service occupations",262,10.81,7,11.64,7.3,9.55,9.90,10.00,10.11,10.39,11.36,12.08,12.57,13.12,14.70,2022-01-01
"North West, Caring personal service occupations",218,10.93,7.3,11.68,7.4,9.60,9.93,10.02,10.17,10.48,11.43,12.22,12.73,13.32,14.78,2022-01-01
"North West, Leisure, travel and related personal service occupations",41,10.23,6.4,11.36,7.7,9.50,9.61,9.85,9.94,10.03,10.73,11.22,11.48,12.01,x,2022-01-01
"North West, Sales and customer service occupations",208,10.41,6.3,11.8,4.9,9.47,9.58,9.71,9.87,10.05,10.85,11.43,11.83,12.48,14.55,2022-01-01
"North West, Sales occupations",143,10.15,5.5,11.48,3.7,9.43,9.50,9.67,9.77,10,10.49,10.93,11.22,11.64,13.24,2022-01-01
"North West, Customer service occupations",65,11.19,7.3,12.4,6.2,9.50,9.79,9.99,10.23,10.78,11.96,12.73,13.17,13.82,15.67,2022-01-01
"North West, Process, plant and machine operatives",175,12.16,3.9,13.62,5.6,9.62,10.01,10.32,10.68,11.35,13.26,14.18,14.82,15.67,18.65,2022-01-01
"North West, Process, plant and machine operatives",82,11.63,1.5,13.2,3.7,9.50,9.99,10.07,10.32,10.99,12.62,14.03,14.57,15.31,18.56,2022-01-01
"North West, Transport and mobile machine drivers and operatives",93,12.7,8.1,13.96,7.4,9.72,10.28,10.64,11,11.69,13.52,14.42,15.16,15.89,18.71,2022-01-01
"North West, Elementary occupations",326,10.03,5.2,11.12,3.9,8.36,x,9.50,9.58,9.86,10.45,11.03,11.44,11.96,13.48,2022-01-01
"North West, Elementary trades and related occupations",33,10.87,8.7,11.95,7.3,9.50,9.90,10.00,10.21,10.5,11.29,12.03,12.41,13.06,x,2022-01-01
"North West, Elementary administration and service occupations",293,10,5.3,10.99,3.4,8.02,x,9.50,9.51,9.79,10.31,10.94,11.30,11.83,13.24,2022-01-01
Yorkshire and The Humber,2112,13.49,4.6,16.9,4.6,9.65,10.25,10.63,11.09,12.15,15.33,17.65,19.34,21.26,27.05,2022-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",214,19.19,0.1,23.78,2.6,10.89,12.46,13.39,14.38,16.52,22.44,26.20,28.29,31.81,42.51,2022-01-01
"Yorkshire and The Humber, Corporate managers and directors",169,21.12,1.7,25.71,1.3,11.26,13.12,14.29,15.45,18.01,24.53,28.10,31.12,34.19,46.55,2022-01-01
"Yorkshire and The Humber, Other managers and proprietors",45,14.85,3.3,17.03,7.3,10.42,11.24,11.52,12.21,13.33,16.38,18.04,19.57,20.92,x,2022-01-01
"Yorkshire and The Humber, Professional occupations",497,20.72,2.4,22.22,2.4,13.09,15.33,16.29,17.06,18.92,22.82,24.84,26.25,27.92,32.71,2022-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",111,20.5,1.2,21.73,1.8,12.22,14.70,15.93,16.98,18.33,22.6,24.86,27.01,28.52,32.21,2022-01-01
"Yorkshire and The Humber, Health professionals",121,20.43,4,21.92,0.7,13.68,16.11,16.45,16.88,18.66,21.63,23.46,24.60,25.73,x,2022-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",122,23.5,-1.6,24.23,0.8,13.73,16.28,17.49,18.71,21.2,24.89,27.27,28.66,30.91,35.13,2022-01-01
"Yorkshire and The Humber, Business, media and public service professionals",143,19.87,7.3,21.43,6.1,12.65,14.43,15.53,16.42,18.01,21.27,23.97,25.42,27.23,31.73,2022-01-01
"Yorkshire and The Humber, Associate professional occupations",279,14.95,5.7,17.3,5,10.39,11.46,11.98,12.54,13.61,16.57,18.43,19.75,21.29,25.44,2022-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",58,14.27,6.4,16.27,3.9,10.40,11.14,11.76,12.31,13.16,16.08,17.60,18.70,19.74,x,2022-01-01
"Yorkshire and The Humber, Health and social care associate professionals",48,12.18,1.8,12.86,2.2,9.65,10.34,10.75,11.02,11.46,12.77,13.38,13.96,14.71,x,2022-01-01
"Yorkshire and The Humber, Protective service occupations",26,19.71,0,18.23,1.1,12.87,13.91,14.59,14.97,16.83,19.75,20.28,21.18,21.68,x,2022-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",16,13.96,-3.6,17.81,2.9,x,11.16,11.46,11.75,12.88,15.22,16.78,x,x,x,2022-01-01
"Yorkshire and The Humber, Business and public service associate professionals",130,16.57,5.8,18.96,4.8,10.72,12.19,12.73,13.32,14.85,17.97,20.49,21.64,23.31,x,2022-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",231,12.02,5.6,13.52,3.4,9.72,10.20,10.46,10.83,11.42,12.92,13.98,14.39,15.13,18.31,2022-01-01
"Yorkshire and The Humber, Administrative occupations",189,12.27,5.3,13.78,3.5,9.86,10.40,10.73,11.06,11.57,13.29,14.25,14.63,15.38,18.97,2022-01-01
"Yorkshire and The Humber, Secretarial and related occupations",42,10.95,7.6,12.18,4.3,9.50,9.90,10.00,10.02,10.38,11.63,12.42,12.98,13.54,x,2022-01-01
"Yorkshire and The Humber, Skilled trades occupations",154,13.49,5.6,14.63,4.2,9.75,10.54,11.00,11.33,12.41,14.94,16.08,16.73,17.51,19.58,2022-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",87,15.01,2.6,15.79,1.5,10.12,11.57,12.41,12.82,14,16.32,17.39,18.11,18.89,21.18,2022-01-01
"Yorkshire and The Humber, Skilled construction and building trades",28,13.67,3.2,14.35,3.6,10.25,11.31,11.71,12,12.92,15,15.97,16.26,16.78,x,2022-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,10.8,7.6,11.76,9.6,9.50,9.68,10.00,10.2,10.55,11.12,11.69,11.97,12.44,x,2022-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",187,10.75,5.4,11.64,5,9.53,9.81,9.98,10.1,10.38,11.37,12.06,12.52,13.09,15.18,2022-01-01
"Yorkshire and The Humber, Caring personal service occupations",152,10.9,6.5,11.67,5.4,9.59,9.90,10.00,10.18,10.41,11.53,12.19,12.76,13.29,15.28,2022-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",33,10.26,4.2,11.41,3.1,9.50,9.58,9.70,9.8,10,10.62,11.20,11.75,12.23,x,2022-01-01
"Yorkshire and The Humber, Sales and customer service occupations",158,10.23,3.3,11.51,4.9,9.50,9.60,9.72,9.82,10,10.66,11.11,11.52,12.16,14.37,2022-01-01
"Yorkshire and The Humber, Sales occupations",112,10.06,4.6,11.33,5.7,9.50,9.55,9.68,9.77,9.97,10.41,10.85,11.07,11.55,13.50,2022-01-01
"Yorkshire and The Humber, Customer service occupations",45,10.96,5.1,11.91,3.2,9.50,9.65,9.87,10,10.38,11.38,12.00,12.58,13.17,x,2022-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",154,12.46,9.4,13.62,7.2,9.76,10.34,10.54,10.95,11.62,13.11,14.09,14.63,15.40,17.62,2022-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",84,11.94,6.6,13.17,7.1,9.60,10.14,10.39,10.56,11.34,12.83,13.62,14.30,14.86,x,2022-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",70,12.79,11.2,14.1,7.5,9.86,10.57,11.00,11.31,12.14,13.58,14.53,15.00,15.94,x,2022-01-01
"Yorkshire and The Humber, Elementary occupations",239,10.11,5.5,11.31,5.1,9.18,x,9.50,9.57,9.83,10.63,11.31,11.70,12.28,13.52,2022-01-01
"Yorkshire and The Humber, Elementary trades and related occupations",28,10.75,5.5,11.66,2.4,9.50,9.50,9.62,9.93,10.34,11.4,11.96,12.05,12.63,x,2022-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",211,10,5.3,11.25,6.1,9.00,x,9.50,9.55,9.78,10.52,11.19,11.61,12.25,13.31,2022-01-01
East Midlands,1825,13.45,5.3,16.74,5.4,9.65,10.24,10.62,11.07,12.12,15.31,17.60,19.23,20.87,26.61,2022-01-01
"East Midlands, Managers, directors and senior officials",179,20.09,8.9,24.13,5.8,11.27,13.20,14.42,15.58,17.9,22.1,25.41,27.90,31.62,41.89,2022-01-01
"East Midlands, Corporate managers and directors",139,21.47,8.4,25.8,4.6,11.53,14.01,15.00,16.9,19.22,23.9,27.93,30.87,34.25,44.36,2022-01-01
"East Midlands, Other managers and proprietors",40,16.51,7.8,18.62,12.3,10.79,12.06,12.83,13.49,15.13,17.67,19.44,20.41,21.56,x,2022-01-01
"East Midlands, Professional occupations",398,20.74,4.1,22.25,3.8,13.08,15.78,16.54,17.43,19.16,22.6,24.99,26.31,27.77,32.55,2022-01-01
"East Midlands, Science, research, engineering and technology professionals",103,20.14,4,21.53,4.2,12.46,14.79,15.86,16.81,18.25,22.01,24.57,25.99,27.82,x,2022-01-01
"East Midlands, Health professionals",83,20.03,3.4,23.17,6,14.64,16.51,16.82,17.51,19.3,21.54,23.81,24.91,26.83,x,2022-01-01
"East Midlands, Teaching and other educational professionals",110,23.66,0,23.6,1.6,14.34,17.56,18.84,20.11,21.8,25.24,26.94,27.85,29.04,33.00,2022-01-01
"East Midlands, Business, media and public service professionals",103,19.14,3.3,21.11,3.5,12.19,14.45,15.41,16.14,17.5,20.64,22.91,24.16,26.26,x,2022-01-01
"East Midlands, Associate professional occupations",242,14.96,4.5,17.21,5.2,10.46,11.67,12.25,12.69,13.72,16.37,18.40,19.63,20.53,25.47,2022-01-01
"East Midlands, Science, engineering and technology associate professionals",55,14.41,4.1,15.49,6.6,10.25,11.48,11.94,12.38,13.29,15.49,16.46,17.58,18.43,x,2022-01-01
"East Midlands, Health and social care associate professionals",39,12.78,4.9,13.31,4.8,9.70,10.71,11.00,11.32,11.96,13.56,14.64,14.97,15.33,x,2022-01-01
"East Midlands, Protective service occupations",23,19.66,1.4,18.47,1,13.00,14.69,14.99,15.55,17.28,19.75,20.31,20.61,x,x,2022-01-01
"East Midlands, Culture, media and sports occupations",16,12.49,0.4,18.01,5,x,10.26,10.43,10.85,12.02,13,x,x,x,x,2022-01-01
"East Midlands, Business and public service associate professionals",109,16.51,5.4,19.02,6,10.89,12.40,12.82,13.37,14.85,18.35,20.49,22.24,24.42,x,2022-01-01
"East Midlands, Administrative and secretarial occupations",198,11.94,5.9,13.37,2.9,9.66,10.11,10.38,10.61,11.16,12.69,13.72,14.37,15.22,18.84,2022-01-01
"East Midlands, Administrative occupations",162,12.09,5.1,13.56,3,9.79,10.33,10.54,10.87,11.46,12.95,13.92,14.61,15.40,19.37,2022-01-01
"East Midlands, Secretarial and related occupations",36,10.81,5.2,12.38,4.2,9.54,9.79,9.97,10,10.4,11.46,12.47,12.81,13.78,x,2022-01-01
"East Midlands, Skilled trades occupations",137,13.79,10.1,14.79,7.4,9.77,10.73,11.14,11.66,12.49,15,16.03,17.00,17.73,20.31,2022-01-01
"East Midlands, Skilled agricultural and related trades",7,11.87,11.7,12.62,4,x,x,10.35,10.64,11.13,12,x,x,x,x,2022-01-01
"East Midlands, Skilled metal, electrical and electronic trades",80,15.1,5.7,15.81,6.3,10.77,11.86,12.33,12.7,14.05,16.2,17.40,18.21,19.05,x,2022-01-01
"East Midlands, Skilled construction and building trades",19,14.72,11.7,15.11,5,10.10,11.66,11.99,12.39,13.83,15.32,15.78,16.04,17.60,x,2022-01-01
"East Midlands, Textiles, printing and other skilled trades",30,10.79,13.8,11.88,13.3,9.50,9.59,9.78,9.9,10.49,11.26,12.00,12.57,13.31,x,2022-01-01
"East Midlands, Caring, leisure and other service occupations",157,10.87,7.7,11.64,7.4,9.51,9.87,9.98,10.09,10.43,11.36,12.12,12.65,13.39,15.18,2022-01-01
"East Midlands, Caring personal service occupations",132,10.94,8.3,11.66,7.7,9.60,9.93,10.00,10.15,10.49,11.47,12.23,12.72,13.51,15.24,2022-01-01
"East Midlands, Leisure, travel and related personal service occupations",23,10.41,5.3,11.39,7.1,9.18,9.50,9.67,9.8,9.99,10.9,11.50,11.72,12.48,x,2022-01-01
"East Midlands, Sales and customer service occupations",121,10.24,5.4,11.51,5.2,9.50,9.58,9.72,9.85,10,10.59,11.10,11.47,11.92,14.30,2022-01-01
"East Midlands, Sales occupations",86,10.13,6,11.28,5.1,9.50,9.55,9.70,9.79,10,10.4,10.77,11.04,11.46,13.58,2022-01-01
"East Midlands, Customer service occupations",36,10.93,7.6,12.02,5.8,9.50,9.64,9.80,9.99,10.25,11.4,11.88,12.37,13.04,x,2022-01-01
"East Midlands, Process, plant and machine operatives",145,12.22,10.3,13.7,10.8,9.75,10.14,10.49,10.83,11.56,13.17,14.38,15.07,15.98,18.33,2022-01-01
"East Midlands, Process, plant and machine operatives",78,12.01,11.9,13.39,9.9,9.75,10.14,10.40,10.65,11.29,12.85,13.95,14.60,15.74,18.25,2022-01-01
"East Midlands, Transport and mobile machine drivers and operatives",67,12.51,8.4,14.04,11.5,9.74,10.13,10.64,11.06,11.79,13.49,14.79,15.34,16.10,x,2022-01-01
"East Midlands, Elementary occupations",249,10.4,7.1,11.53,7.4,8.99,9.50,9.51,9.68,10,10.98,11.76,12.12,12.67,14.09,2022-01-01
"East Midlands, Elementary trades and related occupations",31,11.09,9.7,12.14,10,9.50,9.80,10.00,10.25,10.65,11.98,12.44,12.83,13.39,x,2022-01-01
