Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,25910,479.1,0,575.8,0.7,156.80,258.20,304.00,344.90,408.00,565.3,666.90,728.40,800.70,1045.20,2020-01-01
"Managers, directors and senior officials",2844,772.8,-2.1,965.5,-2.4,316.10,451.80,503.40,556.10,657.80,913.5,1100.10,1213.50,1365.20,1809.20,2020-01-01
Corporate managers and directors,2395,835.3,-3.1,1024.9,-2.7,322.70,478.60,539.00,582.60,709.10,988.4,1180.60,1311.60,1438.40,1907.20,2020-01-01
Other managers and proprietors,450,562.7,-2.1,649.1,0.6,291.80,382.60,419.20,451.80,500.00,623.2,735.60,785.80,844.10,1026.50,2020-01-01
Professional occupations,6247,716.1,0.6,770.1,0.3,341.40,469.60,515.60,556.70,634.10,787.1,874.70,935.20,1004.10,1238.20,2020-01-01
"  Science, research, engineering and technology professionals",1426,793.4,-1.3,844.1,-1,441.10,558.20,600.00,638.40,721.20,872,968.20,1027.20,1102.00,1301.00,2020-01-01
Health professionals,1628,633.9,-0.1,714.2,-0.2,250.80,404.40,457.00,490.10,570.50,712.7,795.30,852.90,913.70,1188.30,2020-01-01
Teaching and educational professionals,1626,689.4,1.9,703.8,3,283.00,445.20,477.30,519.30,610.30,772.8,829.60,868.50,927.10,1086.50,2020-01-01
"  Business, media and public service professionals",1566,739,-0.1,829.8,-0.1,391.10,510.50,552.00,589.30,667.90,818,929.20,996.60,1077.80,1341.80,2020-01-01
Associate professional and technical occupations,4062,574.9,-1.2,645.3,-1.9,287.50,389.90,424.10,459.70,513.20,636.9,725.40,772.90,829.70,1031.10,2020-01-01
"  Science, engineering and technology associate professionals",746,540.7,-1.8,583.8,0.1,326.70,391.10,421.40,446.10,491.60,589,663.60,696.20,754.20,886.70,2020-01-01
Health and social care associate professionals,433,447.5,-0.8,451.5,1.3,195.00,277.60,315.10,349.00,402.50,491.8,534.80,556.40,584.70,698.50,2020-01-01
Protective service occupations,340,754.6,3.1,737.9,2.5,486.40,550.90,581.60,615.10,677.50,786.7,818.50,843.50,879.10,986.70,2020-01-01
"  Culture, media and sports occupations",274,405.3,-9.6,464.2,-5.1,48.00,119.70,173.40,219.00,327.80,472.4,532.60,574.90,613.30,777.30,2020-01-01
Business and public service associate professionals,2269,604.5,-3.8,710.7,-2.7,338.60,421.60,458.10,485.70,551.70,682.3,770.30,833.80,912.30,1173.60,2020-01-01
Administrative and secretarial occupations,2849,376.3,-1.5,404.1,-1.2,148.30,207.50,239.60,271.20,331.40,419.9,473.80,504.10,542.40,670.80,2020-01-01
Administrative occupations,2291,394.2,-0.4,423,-0.9,160.00,229.10,262.50,297.00,351.90,437.6,488.20,518.00,560.60,687.50,2020-01-01
Secretarial and related occupations,558,293.1,-6,326.9,-3.1,112.10,166.10,185.90,204.00,245.20,343.4,387.10,419.60,459.70,573.40,2020-01-01
Skilled trades occupations,1758,474.9,-8.2,507.8,-7,243.30,328.00,356.50,380.00,425.00,526.8,579.80,618.90,664.10,796.30,2020-01-01
Skilled agricultural and related trades,104,392.1,-0.7,393.4,-3.1,213.90,314.10,335.00,346.50,369.10,420,454.50,465.90,479.10,542.40,2020-01-01
"  Skilled metal, electrical and electronic trades",930,554.4,-7.6,586.9,-6.9,320.80,396.70,425.30,450.00,501.40,600.1,665.80,697.90,748.30,889.00,2020-01-01
Skilled construction and building trades,296,495,-7.6,508.4,-9.6,276.00,360.00,383.30,405.70,456.80,537.1,576.90,599.50,629.80,728.20,2020-01-01
"  Textiles, printing and other skilled trades",429,351.8,-9.4,363.2,-9,162.10,222.20,247.40,273.30,314.30,383.5,419.90,444.60,472.60,551.40,2020-01-01
"Caring, leisure and other service occupations",2422,308.2,1.8,318,2.4,115.20,174.40,199.90,225.60,269.50,347.1,388.80,410.50,437.90,515.50,2020-01-01
Caring personal service occupations,2057,312.2,3,321,3.6,123.10,183.40,209.00,233.70,275.40,348.8,390.00,411.30,438.60,512.90,2020-01-01
"  Leisure, travel and related personal service occupations",366,275.5,-7.8,301.1,-4.1,80.70,133.30,152.70,178.50,228.90,332.5,375.70,405.50,429.60,530.60,2020-01-01
Sales and customer service occupations,1980,270.7,1.9,298.2,1.3,97.70,139.60,157.40,178.80,219.70,324.9,366.10,388.70,420.50,523.70,2020-01-01
Sales occupations,1415,233.6,1.8,264.5,1.5,89.60,129.00,144.70,159.50,195.50,278.1,329.00,350.60,375.70,457.30,2020-01-01
Customer service occupations,565,368.4,1.2,382.5,0.2,131.00,201.00,237.30,271.40,337.50,404.2,452.20,479.10,516.80,636.40,2020-01-01
"Process, plant and machine operatives",1340,444.6,-5.9,479.5,-4.5,232.80,314.00,344.00,363.00,402.20,495.7,556.60,587.40,630.00,747.00,2020-01-01
"  Process, plant and machine operatives",648,426,-3.5,459.1,-3.4,261.60,319.80,342.50,357.30,390.20,472.9,531.70,561.50,592.50,692.70,2020-01-01
Transport and mobile machine drivers and operatives,692,464.5,-7.2,498.6,-5.1,201.90,309.10,345.70,370.30,418.50,518,578.20,621.60,660.70,790.80,2020-01-01
Elementary occupations,2408,252.6,-5.6,288.5,2.1,60.20,98.50,118.20,139.40,187.70,313.6,364.70,391.40,422.00,520.30,2020-01-01
Elementary trades and related occupations,326,390,-0.6,409,0.2,215.00,294.30,317.70,337.50,360.10,419.9,460.10,488.70,520.20,617.10,2020-01-01
Elementary administration and service occupations,2082,214.4,-10.2,269.6,1.7,55.40,90.50,106.80,125.10,164.00,276.7,340.10,368.20,399.60,498.60,2020-01-01
North East,896,436,-0.5,507.5,0.3,148.10,246.10,287.50,322.90,379.80,504,587.40,643.90,717.20,899.00,2020-01-01
"North East,  Managers, directors and senior officials",79,653.4,0.7,815.1,0.3,275.00,400.90,441.80,469.00,537.60,787.7,977.30,1053.80,1169.70,x,2020-01-01
"  North East, Corporate managers and directors",63,694.4,0.1,862.6,1.4,267.60,393.60,444.00,477.50,560.00,846.9,1046.30,1138.50,1271.70,x,2020-01-01
"  North East, Other managers and proprietors",16,525.1,-2.1,630.3,-0.3,x,415.90,437.30,460.70,492.80,620,733.60,x,x,x,2020-01-01
"North East,  Professional occupations",185,689.4,2.5,740.4,1.3,364.00,472.10,504.00,541.30,620.90,757.2,828.50,884.00,940.70,1196.70,2020-01-01
"  North East, Science, research, engineering and technology professionals",39,753.8,2.5,770.1,-0.5,467.50,537.80,585.90,613.70,678.60,818.3,887.60,935.20,980.50,x,2020-01-01
"  North East, Health professionals",52,656.5,1.5,783.1,5.7,360.70,450.50,483.50,528.30,601.00,739.1,858.50,918.90,1014.90,x,2020-01-01
"  North East, Teaching and educational professionals",51,692,3,739.1,5.1,362.60,476.70,504.00,545.40,638.20,748.4,817.10,865.00,930.60,x,2020-01-01
"  North East, Business, media and public service professionals",43,639.9,-4.4,663.4,-6.6,297.50,409.10,468.80,488.70,552.00,719,781.20,815.20,865.70,x,2020-01-01
"North East,  Associate professional and technical occupations",138,504.4,-5,551.8,-2.5,239.10,353.40,379.50,405.60,460.00,564.5,618.70,657.50,715.00,863.00,2020-01-01
"  North East, Science, engineering and technology associate professionals",30,497.6,-3.7,552.2,1.4,321.70,377.10,395.20,420.80,465.40,534.1,602.00,647.80,x,x,2020-01-01
"  North East, Health and social care associate professionals",18,423.5,0.5,396.9,-4.4,x,239.70,265.40,290.40,363.60,463.1,506.70,524.60,x,x,2020-01-01
"  North East, Protective service occupations",10,748.9,-0.2,690.6,-0.3,x,558.30,617.40,641.40,686.20,769.3,794.00,x,x,x,2020-01-01
"  North East, Business and public service associate professionals",72,522.6,-5.2,590.3,-3.5,283.20,370.50,383.40,414.00,475.10,591,643.00,682.30,728.50,x,2020-01-01
"North East,  Administrative and secretarial occupations",109,374.7,2,387.9,0.6,161.00,229.80,264.50,294.00,335.60,405.7,455.50,479.40,507.40,610.60,2020-01-01
"  North East, Administrative occupations",94,384.9,2.2,403.3,1.3,170.10,254.00,285.20,305.50,353.10,420.2,472.00,496.70,515.40,631.30,2020-01-01
"  North East, Secretarial and related occupations",15,283.2,-4.1,292.6,-6.8,133.70,171.80,188.50,202.50,253.10,323.9,367.50,387.70,x,x,2020-01-01
"North East,  Skilled trades occupations",71,470.2,-10.7,500.1,-9.4,248.70,326.50,347.60,375.50,429.00,524.4,568.00,583.80,620.70,x,2020-01-01
"  North East, Skilled metal, electrical and electronic trades",38,542.5,-14.4,574.3,-11.3,298.90,400.30,426.00,449.50,503.10,576.9,622.40,679.10,725.20,x,2020-01-01
"  North East, Skilled construction and building trades",14,485,-8.7,485.3,-12.1,x,371.50,402.30,412.50,457.30,505.8,557.00,x,x,x,2020-01-01
"  North East, Textiles, printing and other skilled trades",16,327.6,-15.7,353.2,-7.8,x,221.30,249.60,260.70,302.50,366.4,390.40,x,x,x,2020-01-01
"North East,  Caring, leisure and other service occupations",86,315.7,3,311.3,1.9,110.40,177.80,206.30,231.10,280.50,345.3,382.20,403.60,420.00,475.80,2020-01-01
"  North East, Caring personal service occupations",75,324.3,5.6,320.9,5.9,116.80,189.30,224.30,249.50,290.40,352.9,389.80,409.50,428.30,479.10,2020-01-01
"  North East, Leisure, travel and related personal service occupations",11,230.7,-18.4,245.3,-22.9,x,x,145.70,155.40,184.40,257,318.30,346.10,x,x,2020-01-01
"North East,  Sales and customer service occupations",80,261.8,-3.2,284.8,-1.6,104.60,141.90,157.30,174.70,216.20,316.1,354.80,374.70,394.90,485.50,2020-01-01
"  North East, Sales occupations",53,230.1,4,250.3,-0.2,90.20,138.00,145.30,157.60,195.70,269.5,309.20,329.60,347.30,x,2020-01-01
"  North East, Customer service occupations",27,367.6,1.7,353.9,-3.7,111.70,173.50,214.40,244.60,325.80,387.2,413.60,431.60,459.10,x,2020-01-01
"North East,  Process, plant and machine operatives",60,429,-5.9,460.9,-4.5,258.70,309.50,341.30,359.80,397.60,482.3,547.50,581.00,605.60,x,2020-01-01
"  North East, Process, plant and machine operatives",33,438.6,-8.2,474.6,-4,278.30,311.10,351.60,363.30,398.60,517.1,575.10,594.90,627.70,x,2020-01-01
"  North East, Transport and mobile machine drivers and operatives",26,414.7,-7.8,443.6,-5.2,190.10,301.50,330.60,347.80,393.50,447.1,511.30,540.70,582.90,x,2020-01-01
"North East,  Elementary occupations",88,205.1,-10.9,251.4,-5.8,61.30,92.70,105.10,117.00,149.10,279.6,336.50,364.30,389.80,470.50,2020-01-01
"  North East, Elementary trades and related occupations",13,354.6,-16.1,372.4,-15.8,x,280.00,295.50,307.80,334.60,382.5,402.90,424.40,x,x,2020-01-01
"  North East, Elementary administration and service occupations",75,163.4,-16.8,230.3,-5.6,56.60,85.40,96.20,107.90,135.30,218.9,299.30,338.80,372.10,x,2020-01-01
North West,2653,460,1,535.9,0.8,156.90,252.80,295.50,335.60,391.30,534.2,631.90,690.00,764.70,966.80,2020-01-01
"North West, Managers, directors and senior officials",253,704.7,0.1,834.4,-3.6,251.60,400.90,449.60,510.80,602.90,798.7,958.20,1047.40,1149.90,1533.20,2020-01-01
"  North West, Corporate managers and directors",212,740.1,-1.3,878.6,-4,275.00,426.20,502.00,563.00,650.70,855.3,1000.40,1115.30,1235.10,1601.90,2020-01-01
"  North West, Other managers and proprietors",40,492.7,-7,601.4,-3.9,198.40,351.60,371.90,396.80,436.40,567.3,684.30,730.80,x,x,2020-01-01
"North West, Professional occupations",603,712.5,1.7,755.5,1.4,383.30,482.60,524.80,561.00,633.80,780.4,862.80,913.40,976.40,1167.10,2020-01-01
"  North West, Science, research, engineering and technology professionals",115,766.6,0,792.8,0.1,416.80,528.50,572.10,616.60,699.30,838.9,922.40,974.50,1028.30,1186.50,2020-01-01
