date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-01-15,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-15,Petrol,118.03,2021-01-15,Mini Cooper (3-door),2021,City Car,12.34,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-15,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-18,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-18,Petrol,118.26,2021-01-18,Mini Cooper (3-door),2021,City Car,12.36,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-18,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-19,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-19,Petrol,118.46,2021-01-19,Mini Cooper (3-door),2021,City Car,12.38,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-19,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-20,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-20,Petrol,118.74,2021-01-20,Mini Cooper (3-door),2021,City Car,12.41,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-20,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-21,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-21,Petrol,118.91,2021-01-21,Mini Cooper (3-door),2021,City Car,12.43,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-21,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-22,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-22,Petrol,119.11,2021-01-22,Mini Cooper (3-door),2021,City Car,12.45,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-22,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-25,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-25,Petrol,119.31,2021-01-25,Mini Cooper (3-door),2021,City Car,12.47,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-25,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
