Year,Units,Cars and Taxis,Light commercial vehicles,Heavy goods vehicles,Other vehicles: Motorcycles,Other vehicles: Buses and Coaches,Total other vehicles,All Motor Vehicles
2011,Billion vehicle miles,241.0,41.6,16.0,2.9,2.9,5.8,304.3
2012,Billion vehicle miles,240.9,42.5,15.6,2.6,2.9,5.5,304.6
2013,Billion vehicle miles,241.3,43.2,15.8,2.6,2.8,5.5,305.8
2014,Billion vehicle miles,246.9,45.8,16.2,2.7,2.8,5.6,314.5
2015,Billion vehicle miles,250.3,47.8,16.8,2.7,2.7,5.5,320.4
2016,Billion vehicle miles,254.8,50.8,16.9,2.8,2.6,5.4,327.9
2017,Billion vehicle miles,257.9,52.2,17.1,2.7,2.5,5.3,332.5
2018,Billion vehicle miles,259.1,52.8,17.2,2.7,2.4,5.1,334.2
2019,Billion vehicle miles,262.9,53.5,17.2,2.7,2.4,5.0,338.6
2020,Billion vehicle miles,197.3,48.6,16.2,2.2,1.6,3.8,265.9
2021,Billion vehicle miles,221.4,54.4,17.5,2.5,1.8,4.3,297.6
2022,Billion vehicle miles,244.0,57.5,17.4,2.8,2.0,4.8,323.7
2023,Billion vehicle miles,251.3,57.8,16.9,2.9,1.9,4.8,330.8
