REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.59
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.95
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.26
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.30
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,2.35
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,2.34
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.02
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,10.48
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,9.55
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,11.10
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,3.92
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,4.89
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,4.98
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,5.93
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,5.50
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.52
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,6.13
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,7.21
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,8.01
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.03
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,8.25
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,1.78
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,2.14
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,2.34
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,9.81
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,8.43
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,10.47
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,9.84
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,2.64
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,355.75
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,454.91
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,562.05
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,464.06
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,451.36
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,262.86
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,268.52
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,325.06
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,312.01
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,318.60
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,308.60
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,10.06
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,11.07
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,7.82
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,8.34
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,8.87
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.27
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,8.45
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,8.13
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,8.71
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,9.07
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.62
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,7.51
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,32.81
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,35.30
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,35.63
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,36.28
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,36.61
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,39.33
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,45.81
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,47.08
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,57.65
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,13.87
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,15.83
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,11.62
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,10.53
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,11.55
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,36.71
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,36.11
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,34.85
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,16.26
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,17.24
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,16.82
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,20.72
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,24.28
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,21.92
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,25.59
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,29.22
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,31.67
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,33.13
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,32.56
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,9.93
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,9.96
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,10.75
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,43.35
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,45.20
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,49.04
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,14.49
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.03
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,5.28
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.50
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,3.25
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.06
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,2.97
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,4.01
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.46
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.38
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,7.01
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,8.06
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,9.41
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,9.36
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,8.82
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,10.37
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,10.86
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,2.86
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.18
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.81
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,11.53
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,12.01
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,14.18
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,15.42
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,15.09
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,13.74
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,13.80
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,3.54
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,26.33
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,27.54
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,27.71
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,32.07
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,36.39
