REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,5.49
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.90
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,6.61
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.39
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,7.18
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,7.27
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,7.41
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,7.30
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,7.72
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,8.92
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,9.13
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,12.11
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,5.51
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,5.75
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,6.37
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,7.11
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,7.35
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.78
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.98
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,5.06
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,7.86
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,8.07
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,10.35
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,11.26
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,12.28
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.29
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.96
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,7.19
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,13.25
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,14.86
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,15.24
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,16.66
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,19.64
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,20.41
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,6.20
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,7.71
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,7.11
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,9.39
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,9.59
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,9.18
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,10.46
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,10.02
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,16.97
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,11.03
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,12.78
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,6.71
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,6.90
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,14.47
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,14.20
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,13.86
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,15.74
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,16.43
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,21.74
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,24.59
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,24.75
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,29.62
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,29.17
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,29.86
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,36.64
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,45.22
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,69.42
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,83.00
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,90.16
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,86.97
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,25.60
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,25.08
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,5.67
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,6.50
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,10.63
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,28.90
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,9.83
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,10.07
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,7.74
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,9.56
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,18.15
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,16.66
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,19.06
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,20.39
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,12.27
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,18.75
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,21.35
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,8.61
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,11.47
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,11.91
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,12.30
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,13.06
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,14.60
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,16.25
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,16.33
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,15.68
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,17.43
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,16.43
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,16.65
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,6.59
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,15.70
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,18.66
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,18.67
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,23.14
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,18.99
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,7.09
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,9.18
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,9.22
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,13.72
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,9.36
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,6.77
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.68
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,8.95
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,2.62
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,5.52
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,2.18
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,12.86
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,7.87
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,5.36
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,13.58
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,6.86
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,4.52
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,4.66
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,1.24
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.90
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.02
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.08
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,3.94
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,4.80
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,10.41
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,2.32
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,1.35
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.01
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.67
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,11.60
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.91
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.77
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,5.14
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,5.32
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,6.66
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,5.54
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,6.09
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,6.00
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,4.91
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,6.65
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,7.36
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,8.18
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,8.69
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,8.82
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.20
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,8.85
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,9.33
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.68
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,9.08
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.30
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.67
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,15.56
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,40.68
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,44.98
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,49.13
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,30.23
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,29.21
CHL,Chile,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,43.23
CHL,Chile,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,58.72
CHL,Chile,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,42.93
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,5.44
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,6.21
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,10.24
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,10.96
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,12.56
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,13.52
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,14.23
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,7.34
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,15.25
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,17.26
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,15.90
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,18.83
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,17.89
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,21.79
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,24.62
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,5.72
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,6.21
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,7.22
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,7.76
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,9.04
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,9.60
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,9.53
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,5.11
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,14.67
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.83
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.89
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,11.70
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,11.88
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,13.16
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,13.23
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,14.71
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,15.82
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,17.23
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,20.18
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,19.60
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,24.36
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,30.27
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,6.84
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.72
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,7.13
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,5.59
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,6.03
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,6.41
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,10.81
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,10.99
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,11.60
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,7.27
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,7.83
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.74
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,5.12
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,8.48
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,9.37
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,8.93
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,7.61
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,5.36
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.05
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,5.23
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.49
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,7.14
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.44
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,7.33
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,7.37
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,8.51
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,9.09
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.66
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.59
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.19
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.74
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,10.06
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,9.50
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,177.86
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,186.67
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,182.04
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,216.87
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,534.37
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,8.48
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,8.78
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,7.48
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,7.56
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,27.70
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,28.43
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,31.60
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,31.21
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,10.28
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,10.88
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,12.31
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,14.90
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,16.56
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,18.13
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,19.61
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,22.84
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,23.43
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,25.34
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,6.39
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,7.00
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,6.96
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,7.22
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,31.57
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,34.59
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.32
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,7.58
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,18.35
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,19.30
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,11.56
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,13.08
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,13.79
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,49.45
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,15.49
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,16.42
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,19.78
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,18.66
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,20.02
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,17.90
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,18.62
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,19.26
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,18.29
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,23.13
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,25.96
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,27.87
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,33.22
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,8.18
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,9.28
