STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,3.832686666,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,3.00371889,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,3.688174548,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,4.100836879,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998,,7.930690485,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,3.207986524,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,SWE,Sweden,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,3.408187223,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,ARM,Armenia,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,632.5411335,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,ARM,Armenia,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,521.9683656,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,ARM,Armenia,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,551.4834206,,,,,,0,Units,1,One
